Experiment:, Cathode characterisation
Start date:, p?tek 4. listopadu 2022
Start time:, 13:37:32 +01:00
Time (s), Voltage (V), Current Density (A/cm2)
247.55, 0.05000733, -0.5549058
247.65, 0.05196469, -0.389808
247.7, 0.05306965, -0.3204168
247.75, 0.0539694, -0.2762446
247.8, 0.05507436, -0.222204
247.85, 0.05600568, -0.2060701
247.9, 0.05707907, -0.1701998
248, 0.059068, -0.1282204
248.05, 0.06017296, -0.1053511
248.1, 0.06107271, -0.09814569
248.15, 0.06200404, -0.08921725
248.2, 0.06296693, -0.0746498
248.25, 0.06396139, -0.06070891
248.35, 0.06609239, -0.03032089
248.4, 0.06711842, -0.01731983
248.45, 0.06808131, -0.01622335
248.5, 0.0692652, -0.001499263
248.55, 0.07018074, -0.005728523
248.6, 0.07115941, -0.001655901
248.65, 0.0720276, -0.0005594268
248.75, 0.07411124, 0.007899093
248.8, 0.07518463, 0.01886384
248.85, 0.07617909, 0.01761073
248.9, 0.07715777, 0.02246655
248.95, 0.07799438, 0.01855056
249, 0.07908356, 0.02716572
249.05, 0.08004645, 0.02638253
249.1, 0.08113563, 0.03562424
249.2, 0.08328241, 0.03656408
249.25, 0.08427687, 0.03437113
249.3, 0.08533448, 0.03954023
249.35, 0.08634473, 0.03750391
249.45, 0.08820737, 0.0354676
249.5, 0.08923341, 0.04157653
249.55, 0.09021209, 0.03813047
249.6, 0.09120654, 0.04188982
249.65, 0.09213787, 0.04235973
249.7, 0.09303763, 0.0406367
249.75, 0.09418994, 0.04737219
249.8, 0.09521597, 0.04721555
249.9, 0.09717333, 0.04298629
249.95, 0.09827829, 0.04799874
250, 0.09920962, 0.04392612
250.05, 0.1000304, 0.04157653
250.1, 0.1010565, 0.04549251
250.15, 0.1021614, 0.05003506
250.2, 0.103219, 0.04893858
250.3, 0.1051448, 0.04423941
250.35, 0.1061077, 0.04690227
250.4, 0.1071338, 0.04658899
250.45, 0.1080967, 0.04564916
250.5, 0.1091385, 0.04972177
250.6, 0.111159, 0.04956514
250.65, 0.1120745, 0.04455268
250.7, 0.1129743, 0.04643235
250.75, 0.1140476, 0.05222801
250.8, 0.1151684, 0.05019169
250.85, 0.1161786, 0.05348112
250.9, 0.1171415, 0.04690227
250.95, 0.1180886, 0.04831202
251.05, 0.120046, 0.04956514
251.1, 0.1211194, 0.05316784
251.15, 0.1221612, 0.05160145
251.2, 0.1231872, 0.05097489
251.25, 0.1241186, 0.04925186
251.3, 0.1251288, 0.05175809
251.35, 0.1261233, 0.04987842
251.45, 0.1280807, 0.05175809
251.5, 0.1290751, 0.05050497
251.55, 0.1301485, 0.05520415
251.6, 0.1312535, 0.05191473
251.65, 0.1322163, 0.05066161
251.7, 0.1333055, 0.05489087
251.75, 0.1342526, 0.04878194
251.85, 0.1360837, 0.05050497
251.9, 0.1370624, 0.05254128
251.95, 0.1381042, 0.05191473
252, 0.1390987, 0.05442095
252.05, 0.1400774, 0.05113153
252.1, 0.1410245, 0.05144481
252.15, 0.1419874, 0.04987842
252.2, 0.1430292, 0.0537944
252.3, 0.1450339, 0.05222801
252.35, 0.1460284, 0.0545776
252.4, 0.1471333, 0.05207136
252.45, 0.1482541, 0.0545776
252.55, 0.1501956, 0.05348112
252.6, 0.1511743, 0.05066161
252.65, 0.152153, 0.05144481
252.7, 0.1532264, 0.05442095
252.75, 0.1542208, 0.05050497
252.8, 0.1553258, 0.05285456
252.9, 0.1573147, 0.05191473
252.95, 0.1582776, 0.04752883
253, 0.159209, 0.0478421
253.05, 0.1601876, 0.05128817
253.1, 0.1611032, 0.0486253
253.15, 0.1620187, 0.04925186
253.2, 0.1630447, 0.04925186
253.25, 0.1640392, 0.04987842
253.3, 0.1650494, 0.05222801
253.35, 0.1660281, 0.04705891
253.45, 0.1680644, 0.05019169
253.5, 0.1690431, 0.04987842
253.55, 0.1701007, 0.05395104
253.6, 0.171032, 0.04831202
253.65, 0.1719633, 0.04658899
253.7, 0.1729578, 0.04956514
253.8, 0.1748678, 0.04627572
253.85, 0.1759254, 0.04878194
253.9, 0.1770619, 0.05160145
253.95, 0.1781038, 0.04893858
254, 0.1790509, 0.04611908
254.05, 0.1801243, 0.04987842
254.15, 0.1821763, 0.04690227
254.2, 0.1832497, 0.04768547
254.25, 0.184181, 0.04799874
254.3, 0.1851913, 0.04768547
254.35, 0.18617, 0.04721555
254.4, 0.1871802, 0.04909522
254.45, 0.1882694, 0.04925186
254.55, 0.1901952, 0.0458058
254.6, 0.1911739, 0.04752883
254.65, 0.1921052, 0.04533588
254.7, 0.1930681, 0.04643235
254.75, 0.1941257, 0.04627572
254.85, 0.1960041, 0.0458058
254.9, 0.196967, 0.04768547
254.95, 0.1979457, 0.04423941
255, 0.1989401, 0.0486253
255.05, 0.199982, 0.04721555
255.1, 0.2010396, 0.04831202
255.15, 0.2020182, 0.04564916
255.2, 0.2029969, 0.04721555
255.3, 0.2050963, 0.04674564
255.35, 0.2059961, 0.04408276
255.4, 0.206959, 0.04596243
255.5, 0.2090426, 0.04549251
255.55, 0.2101476, 0.0450226
255.65, 0.2123259, 0.0478421
255.7, 0.2132415, 0.04267301
255.75, 0.2142202, 0.04173318
255.8, 0.2152778, 0.04126326
255.85, 0.2162722, 0.04345621
255.9, 0.217172, 0.04220309
256, 0.2192241, 0.04329957
256.05, 0.2202501, 0.04126326
256.1, 0.2211341, 0.04282965
256.15, 0.2221443, 0.04094998
256.2, 0.2231703, 0.04173318
256.25, 0.224149, 0.0406367
256.3, 0.2252066, 0.04282965
256.35, 0.2261853, 0.03766055
256.45, 0.2281269, 0.04157653
256.5, 0.2292003, 0.03969686
256.55, 0.2301789, 0.03938359
256.6, 0.2313313, 0.0406367
256.65, 0.2322626, 0.03734728
256.7, 0.2331623, 0.03938359
256.75, 0.2341568, 0.03672072
256.8, 0.2350723, 0.04001015
256.9, 0.2370612, 0.03797383
256.95, 0.2380084, 0.03390121
257, 0.2390344, 0.03609416
257.05, 0.2400131, 0.03593753
257.1, 0.2412443, 0.03844375
257.2, 0.2431859, 0.03515432
257.25, 0.2440857, 0.03578088
257.3, 0.245159, 0.03766055
257.35, 0.2461851, 0.03452777
257.4, 0.2470848, 0.03499769
257.45, 0.2481424, 0.03531097
257.5, 0.2491685, 0.03484105
257.6, 0.2510627, 0.03405785
257.65, 0.2520098, 0.0354676
257.7, 0.253099, 0.03640744
257.75, 0.2541408, 0.03515432
257.8, 0.2551984, 0.03640744
257.85, 0.2561929, 0.03515432
257.9, 0.2571715, 0.03468441
257.95, 0.2582765, 0.03640744
258.05, 0.2602023, 0.03343129
258.1, 0.2611178, 0.03437113
258.15, 0.2622228, 0.0354676
258.2, 0.2632962, 0.03311801
258.25, 0.2642591, 0.03421449
258.35, 0.2661533, 0.03233482
258.4, 0.2671162, 0.03296138
258.45, 0.268158, 0.03343129
258.5, 0.2689946, 0.03076843
258.55, 0.2699417, 0.03280474
258.6, 0.2710151, 0.03249146
258.65, 0.271978, 0.03499769
258.75, 0.274109, 0.03233482
258.8, 0.2751192, 0.03452777
258.85, 0.2762873, 0.03531097
258.9, 0.2775028, 0.03437113
258.95, 0.2784025, 0.03405785
259, 0.2793654, 0.03437113
259.1, 0.2812755, 0.03405785
259.15, 0.2821752, 0.03139498
259.2, 0.2831065, 0.03045515
259.25, 0.2840379, 0.03296138
259.3, 0.2851112, 0.03374457
259.35, 0.2860741, 0.03233482
259.45, 0.2880788, 0.03343129
259.5, 0.2891996, 0.03202154
259.55, 0.290052, 0.03076843
259.6, 0.2912674, 0.03170826
259.65, 0.2921514, 0.03155162
259.7, 0.2930827, 0.03202154
259.75, 0.2942193, 0.03280474
259.8, 0.295119, 0.03029851
259.85, 0.2960503, 0.03280474
259.9, 0.2970606, 0.03061179
260, 0.2990811, 0.03249146
260.05, 0.3001071, 0.03139498
260.1, 0.3011489, 0.03061179
260.15, 0.3022065, 0.03092507
260.25, 0.3041481, 0.03123834
260.3, 0.3052373, 0.03014187
260.35, 0.3062002, 0.0310817
260.4, 0.3072736, 0.03202154
260.45, 0.3082996, 0.03092507
260.5, 0.3092625, 0.03045515
260.55, 0.3102728, 0.02935867
260.6, 0.3112514, 0.03076843
260.7, 0.3132088, 0.03092507
260.75, 0.3142033, 0.0318649
260.8, 0.3152466, 0.02920203
260.85, 0.3161946, 0.03123834
260.9, 0.3173005, 0.03014187
260.95, 0.3184065, 0.03076843
261, 0.3193545, 0.02982859
261.1, 0.3212504, 0.03170826
261.15, 0.3221984, 0.03014187
261.2, 0.3231464, 0.02998523
261.25, 0.3240943, 0.0310817
261.3, 0.3248843, 0.02982859
261.4, 0.3270963, 0.03139498
261.45, 0.3280442, 0.03061179
261.5, 0.3289922, 0.02888875
261.55, 0.3299402, 0.02920203
261.6, 0.3308882, 0.0310817
261.65, 0.3318361, 0.03045515
261.7, 0.3329421, 0.03076843
261.75, 0.3340481, 0.02920203
261.85, 0.336102, 0.03045515
261.9, 0.33705, 0.0290454
261.95, 0.337998, 0.02967195
262, 0.3391039, 0.03014187
262.05, 0.3400519, 0.0290454
262.1, 0.3409999, 0.03061179
262.2, 0.3430538, 0.03029851
262.25, 0.3440018, 0.02935867
262.3, 0.3451078, 0.03045515
262.35, 0.3460557, 0.02982859
262.4, 0.3470037, 0.03014187
262.45, 0.3482677, 0.03029851
262.5, 0.3490577, 0.02935867
262.6, 0.3509536, 0.03014187
262.65, 0.3519016, 0.03014187
262.7, 0.3530076, 0.03045515
262.75, 0.3541135, 0.02967195
262.8, 0.3550615, 0.03045515
262.9, 0.3571154, 0.03014187
262.95, 0.3580634, 0.02779228
263, 0.3590114, 0.02967195
263.05, 0.3599594, 0.03170826
263.1, 0.3609074, 0.02967195
