Experiment:, Cathode characterisation
Start date:, ?tvrtek 8. prosince 2022
Start time:, 18:53:09 +01:00
Time (s), Voltage (V), Current Density (A/cm2)
342.55, 0.05044932, -0.614742
342.65, 0.05262766, -0.3702281
342.7, 0.05360634, -0.3121149
342.75, 0.05460081, -0.2690391
342.8, 0.05570577, -0.2196978
342.85, 0.05663709, -0.1988647
342.9, 0.05771048, -0.1816344
343, 0.05950999, -0.1742724
343.05, 0.06040974, -0.1667537
343.1, 0.06137263, -0.1346426
343.15, 0.06230395, -0.1275939
343.2, 0.06339313, -0.1103636
343.25, 0.06446651, -0.09344652
343.35, 0.06639231, -0.07856578
343.4, 0.06740256, -0.06446825
343.45, 0.06850751, -0.05538317
343.5, 0.06951776, -0.05835932
343.55, 0.07048066, -0.05491325
343.6, 0.07144355, -0.04786448
343.65, 0.07231174, -0.04927424
343.75, 0.07434802, -0.03361031
343.8, 0.07546876, -0.01684991
343.85, 0.07646323, -0.02139245
343.9, 0.07739455, -0.02092253
343.95, 0.07848372, -0.01324721
344, 0.07944661, -0.01731983
344.05, 0.08045687, -0.01215073
344.1, 0.08134084, -0.00431877
344.2, 0.0832982, -0.008391391
344.25, 0.08434001, -0.001029345
344.3, 0.08533448, 0.002103441
344.35, 0.08640786, 0.006645979
344.4, 0.08737076, 0.003043275
344.5, 0.08940704, 0.01338147
344.55, 0.09036993, 0.00868229
344.6, 0.09144333, 0.01040532
344.65, 0.09232729, 0.007429176
344.7, 0.09325862, 0.01040532
344.75, 0.09426887, 0.0151045
344.8, 0.09532648, 0.01479122
344.85, 0.09633671, 0.01526114
344.9, 0.09742589, 0.02074351
345, 0.09941483, 0.01651425
345.05, 0.1004093, 0.01917712
345.1, 0.1012775, 0.01620097
345.15, 0.1022561, 0.02199663
345.25, 0.1042609, 0.01980368
345.3, 0.1052711, 0.02512941
345.35, 0.1063603, 0.02450286
345.4, 0.1073705, 0.02356302
345.45, 0.1084124, 0.02450286
345.5, 0.1094068, 0.02622589
345.55, 0.1105118, 0.02716572
345.6, 0.1113168, 0.02215327
345.7, 0.1131795, 0.02606925
345.75, 0.1143633, 0.03170826
345.8, 0.1154841, 0.027479
345.85, 0.1164312, 0.02638253
345.9, 0.1174572, 0.02873212
345.95, 0.1185306, 0.0290454
346, 0.1194777, 0.027479
346.05, 0.1205669, 0.03139498
346.15, 0.1225716, 0.02920203
346.2, 0.1235503, 0.0282622
346.25, 0.1244501, 0.02935867
346.3, 0.1255077, 0.02967195
346.4, 0.127465, 0.02935867
346.45, 0.1285858, 0.0310817
346.5, 0.129596, 0.03076843
346.55, 0.1305116, 0.02841884
346.6, 0.1315534, 0.0310817
346.65, 0.1324531, 0.02794892
346.7, 0.1333055, 0.02779228
346.75, 0.1343947, 0.03139498
346.85, 0.1363047, 0.03421449
346.9, 0.1373939, 0.03123834
346.95, 0.1384357, 0.03155162
347, 0.1393197, 0.02857548
347.05, 0.1402036, 0.03014187
347.1, 0.1412139, 0.03092507
347.2, 0.1431397, 0.03014187
347.25, 0.1441026, 0.03233482
347.3, 0.1451602, 0.03217818
347.35, 0.1463125, 0.03311801
347.4, 0.1473385, 0.03123834
347.45, 0.1482225, 0.02967195
347.5, 0.149359, 0.03280474
347.55, 0.1502903, 0.0318649
347.65, 0.1523108, 0.03405785
347.7, 0.1533842, 0.0318649
347.75, 0.1542524, 0.0310817
347.8, 0.1552153, 0.03076843
347.85, 0.1563045, 0.03217818
347.9, 0.15722, 0.0310817
348, 0.1590984, 0.03014187
348.05, 0.1601876, 0.03468441
348.1, 0.1611505, 0.03202154
348.15, 0.162145, 0.03076843
348.2, 0.1630763, 0.0290454
348.25, 0.1641339, 0.03123834
348.35, 0.1662491, 0.03202154
348.4, 0.1673225, 0.02888875
348.45, 0.1680802, 0.02967195
348.5, 0.1691694, 0.03076843
348.55, 0.1702428, 0.03155162
348.6, 0.1713004, 0.02935867
348.65, 0.1723422, 0.02841884
348.7, 0.1733682, 0.03045515
348.8, 0.1752309, 0.02810556
348.85, 0.1763358, 0.02638253
348.9, 0.1771566, 0.0266958
348.95, 0.1781669, 0.02779228
349.05, 0.1802663, 0.02606925
349.1, 0.1813555, 0.02982859
349.15, 0.1822079, 0.02685244
349.2, 0.1833128, 0.02935867
349.25, 0.1842757, 0.02638253
349.3, 0.1853491, 0.03139498
349.35, 0.1863436, 0.02497277
349.4, 0.1873223, 0.02873212
349.45, 0.1883799, 0.02951531
349.55, 0.1903372, 0.02481613
349.6, 0.1912686, 0.02810556
349.65, 0.1923577, 0.02951531
349.7, 0.1934311, 0.02779228
349.75, 0.1943151, 0.02700908
349.8, 0.1954201, 0.02967195
349.85, 0.196383, 0.02512941
349.95, 0.1982614, 0.0238763
350, 0.1993663, 0.02732236
350.05, 0.2003134, 0.02528605
350.1, 0.2013711, 0.02638253
350.15, 0.2023655, 0.02810556
350.25, 0.2042597, 0.02434622
350.3, 0.2053647, 0.0266958
350.35, 0.2063592, 0.02450286
350.4, 0.2072905, 0.02622589
350.45, 0.2082376, 0.0238763
350.5, 0.2092952, 0.02732236
350.55, 0.2104001, 0.02544269
350.6, 0.2114578, 0.0266958
350.65, 0.2124838, 0.02544269
350.75, 0.2144412, 0.02591261
350.8, 0.2154198, 0.02450286
350.85, 0.2164774, 0.02544269
350.95, 0.2182612, 0.02418958
351, 0.2193345, 0.02810556
351.1, 0.2213393, 0.02685244
351.2, 0.2234545, 0.02450286
351.25, 0.2243226, 0.02418958
351.35, 0.2264852, 0.02544269
351.4, 0.2274007, 0.02340638
351.45, 0.2282847, 0.02183999
351.5, 0.2293108, 0.02606925
351.55, 0.2302263, 0.02246655
351.6, 0.2312839, 0.02732236
351.65, 0.2323573, 0.02544269
351.7, 0.2333202, 0.02528605
351.75, 0.2342515, 0.02356302
351.8, 0.2353249, 0.02653916
351.9, 0.2373454, 0.02371966
351.95, 0.2382925, 0.02262319
352, 0.2391765, 0.02434622
352.1, 0.2413232, 0.02434622
352.15, 0.2424124, 0.02262319
