Experiment:, Cathode characterisation
Start date:, p?tek 27. ledna 2023
Start time:, 12:45:48 +01:00
Time (s), Voltage (V), Current Density (A/cm2)
460.05, 0.3999323, 0.08042307
460.1, 0.4010383, 0.07948323
460.15, 0.4019862, 0.08167619
460.2, 0.4030922, 0.08120627
460.25, 0.4040402, 0.08198947
460.3, 0.4049881, 0.08120627
460.35, 0.4060941, 0.08167619
460.4, 0.4068841, 0.0813629
460.45, 0.4079901, 0.08104963
460.5, 0.4090961, 0.08261602
460.55, 0.410044, 0.08167619
460.6, 0.41115, 0.08308594
460.65, 0.412098, 0.08292931
460.7, 0.4130459, 0.08261602
460.75, 0.4139939, 0.08355586
460.8, 0.4149419, 0.08418241
460.85, 0.4160478, 0.08245938
460.9, 0.4169958, 0.08324257
460.95, 0.4179438, 0.08465233
461, 0.4190498, 0.08433905
461.05, 0.4199978, 0.08245938
461.1, 0.4211037, 0.08418241
461.15, 0.4220517, 0.08465233
461.2, 0.4229997, 0.08402578
461.25, 0.4241056, 0.08465233
461.3, 0.4250536, 0.08465233
461.35, 0.4260016, 0.08606208
461.4, 0.4269496, 0.08496562
461.45, 0.4278975, 0.08496562
461.5, 0.4290035, 0.08527889
461.55, 0.4299515, 0.08543553
461.6, 0.4308994, 0.08527889
461.65, 0.4320054, 0.08527889
461.7, 0.4331114, 0.08606208
461.75, 0.4339013, 0.08512225
461.8, 0.4350073, 0.08590545
461.85, 0.4359553, 0.08684529
461.9, 0.4369033, 0.0873152
461.95, 0.4380093, 0.086532
462, 0.4389572, 0.08559217
462.05, 0.4399052, 0.08700192
462.1, 0.4408532, 0.08841167
462.15, 0.4419591, 0.0888816
462.2, 0.4429071, 0.08762848
462.25, 0.4438551, 0.08825504
462.3, 0.444961, 0.08825504
462.35, 0.4459091, 0.086532
462.4, 0.446857, 0.08715856
462.45, 0.447805, 0.08621872
462.5, 0.448911, 0.08825504
462.55, 0.4500169, 0.08856832
462.6, 0.4509649, 0.08794177
462.65, 0.4519129, 0.08747184
462.7, 0.4530188, 0.08872496
462.75, 0.4539668, 0.08903823
462.8, 0.4550728, 0.08966479
462.85, 0.4560207, 0.08841167
462.9, 0.4569688, 0.08903823
462.95, 0.4579167, 0.08794177
463, 0.4587067, 0.08809839
463.05, 0.4599707, 0.08903823
463.1, 0.4609186, 0.08919487
463.15, 0.4617086, 0.0888816
463.2, 0.4628146, 0.08950816
463.25, 0.4637626, 0.09013471
463.3, 0.4647105, 0.09154446
463.35, 0.4656585, 0.08935151
463.4, 0.4666065, 0.09091791
463.45, 0.4677125, 0.08935151
463.5, 0.4686604, 0.09029134
463.55, 0.4696084, 0.09138783
463.6, 0.4707144, 0.08919487
463.65, 0.4716623, 0.08872496
463.7, 0.4726103, 0.09091791
463.75, 0.4737163, 0.09013471
463.8, 0.4746643, 0.08966479
463.85, 0.4757702, 0.08919487
463.9, 0.4768762, 0.09232766
463.95, 0.4776662, 0.09013471
464, 0.4787721, 0.08950816
464.05, 0.4797201, 0.08966479
464.1, 0.4806681, 0.0888816
464.15, 0.4819321, 0.09091791
464.2, 0.48288, 0.08966479
464.25, 0.48367, 0.09154446
464.3, 0.484618, 0.09060463
464.35, 0.485724, 0.09217101
464.4, 0.4866719, 0.09123117
464.45, 0.4876199, 0.09138783
464.5, 0.4887259, 0.09044799
464.55, 0.4896739, 0.09185775
464.6, 0.4906218, 0.09123117
464.65, 0.4915698, 0.09107454
464.7, 0.4926758, 0.09154446
464.75, 0.4936238, 0.09060463
464.8, 0.4948877, 0.09217101
464.85, 0.4956777, 0.09060463
464.9, 0.4966257, 0.09138783
464.95, 0.4977316, 0.09185775
465, 0.4986796, 0.09123117
465.05, 0.4996276, 0.09217101
465.1, 0.5007336, 0.09076127
465.15, 0.5016815, 0.0924843
465.2, 0.5026295, 0.09123117
465.25, 0.5035775, 0.09060463
465.3, 0.5045254, 0.09264094
465.35, 0.5056314, 0.09295422
465.4, 0.5067374, 0.09279758
465.45, 0.5076854, 0.0932675
465.5, 0.5086333, 0.09311084
465.55, 0.5097393, 0.0932675
465.6, 0.5106873, 0.09358077
465.65, 0.5117933, 0.09358077
465.7, 0.5128992, 0.09342413
465.75, 0.5141632, 0.09279758
465.8, 0.5155851, 0.09232766
465.85, 0.5166911, 0.09389405
465.9, 0.5179551, 0.09420733
465.95, 0.519219, 0.09342413
466, 0.520009, 0.09279758
466.05, 0.520957, 0.09311084
466.1, 0.522063, 0.09483389
466.15, 0.5231689, 0.09452061
466.2, 0.5239589, 0.09452061
466.25, 0.5250649, 0.09358077
466.3, 0.5260128, 0.09311084
466.35, 0.5271188, 0.0924843
466.4, 0.5282248, 0.09358077
466.45, 0.5291727, 0.09420733
466.5, 0.5299627, 0.09389405
466.55, 0.5309107, 0.09452061
466.6, 0.5318587, 0.0968702
466.65, 0.5328067, 0.09546044
466.7, 0.5337546, 0.09452061
466.75, 0.5348606, 0.09389405
466.8, 0.5358086, 0.09608699
466.85, 0.5369146, 0.09358077
466.9, 0.5378625, 0.09311084
466.95, 0.5388105, 0.09342413
467, 0.5399165, 0.09546044
467.05, 0.5408645, 0.09546044
467.1, 0.5419704, 0.09420733
467.15, 0.5429184, 0.09389405
467.2, 0.5438664, 0.09514717
467.25, 0.5446563, 0.09499053
467.3, 0.5456043, 0.09499053
467.35, 0.5468683, 0.09467725
467.4, 0.5478163, 0.09593036
467.45, 0.5489222, 0.09514717
467.5, 0.5498702, 0.09436397
467.55, 0.5508182, 0.09499053
467.6, 0.5519242, 0.09734011
467.65, 0.5528721, 0.09561708
467.7, 0.5539781, 0.0968702
467.75, 0.554926, 0.0953038
467.8, 0.555874, 0.09640028
467.85, 0.55698, 0.09671356
467.9, 0.557928, 0.09577372
467.95, 0.558876, 0.09640028
468, 0.5598239, 0.09655692
468.05, 0.5609299, 0.09781004
468.1, 0.5618779, 0.09734011
468.15, 0.5628259, 0.09671356
468.2, 0.5639318, 0.09577372
468.25, 0.5648798, 0.09608699
468.3, 0.5659857, 0.09608699
468.35, 0.5669338, 0.09593036
468.4, 0.5678818, 0.09812331
468.45, 0.5686717, 0.09624365
468.5, 0.5699357, 0.09734011
468.55, 0.5707256, 0.0968702
468.6, 0.5716736, 0.09812331
468.65, 0.5727795, 0.09781004
468.7, 0.5738856, 0.09734011
468.75, 0.5746756, 0.09859323
468.8, 0.5756235, 0.09671356
468.85, 0.5765715, 0.09874986
468.9, 0.5776774, 0.09843659
468.95, 0.5787835, 0.09937642
469, 0.5795735, 0.1004729
469.05, 0.5806794, 0.09859323
469.1, 0.5817853, 0.09843659
469.15, 0.5827333, 0.09906314
469.2, 0.5835233, 0.09953307
469.25, 0.5846293, 0.09796667
469.3, 0.5855772, 0.09796667
469.35, 0.5866832, 0.100003
469.4, 0.5876312, 0.1015694
469.45, 0.5887371, 0.09890651
469.5, 0.5895271, 0.09859323
469.55, 0.5904751, 0.09874986
469.6, 0.5915811, 0.09812331
469.65, 0.5926871, 0.09953307
469.7, 0.593635, 0.09890651
469.75, 0.594741, 0.09874986
469.8, 0.595689, 0.1004729
469.85, 0.596637, 0.09984634
469.9, 0.5975849, 0.09953307
469.95, 0.5986909, 0.09984634
470, 0.5996388, 0.09702684
470.05, 0.6007448, 0.09921978
470.1, 0.6016929, 0.09781004
470.15, 0.6026408, 0.09874986
470.2, 0.6035888, 0.09953307
470.25, 0.6046947, 0.09953307
470.3, 0.6056427, 0.100003
470.35, 0.6065907, 0.100003
470.4, 0.6076967, 0.09937642
470.45, 0.6086446, 0.09937642
470.5, 0.6095926, 0.09953307
470.55, 0.6106985, 0.09827995
470.6, 0.6116465, 0.09843659
470.65, 0.6125945, 0.09937642
470.7, 0.6135425, 0.09968971
470.75, 0.6146485, 0.09781004
470.8, 0.6155964, 0.09906314
470.85, 0.6165444, 0.09843659
470.9, 0.6176503, 0.1001596
470.95, 0.6187564, 0.09921978
471, 0.6198623, 0.1007862
471.05, 0.6206523, 0.09953307
471.1, 0.6219162, 0.09968971
471.15, 0.6228642, 0.09890651
471.2, 0.6236542, 0.1003163
471.25, 0.6246022, 0.09874986
471.3, 0.6257082, 0.09859323
471.35, 0.6266561, 0.09953307
471.4, 0.6276041, 0.09796667
471.45, 0.6285521, 0.09984634
471.5, 0.629658, 0.1032924
471.55, 0.6306061, 0.1007862
471.6, 0.631712, 0.09953307
471.65, 0.632502, 0.1012561
471.7, 0.6336079, 0.09921978
471.75, 0.6345559, 0.1004729
471.8, 0.6355039, 0.1004729
471.85, 0.6366099, 0.101726
471.9, 0.6375578, 0.100003
471.95, 0.6386638, 0.1010995
472, 0.6396118, 0.09921978
472.05, 0.6405598, 0.09968971
472.1, 0.6416658, 0.1006295
472.15, 0.6426137, 0.1004729
472.2, 0.6435617, 0.09953307
472.25, 0.6445096, 0.1006295
472.3, 0.6454576, 0.09937642
472.35, 0.6465636, 0.09937642
472.4, 0.6475116, 0.1004729
472.45, 0.6483015, 0.1001596
472.5, 0.6494075, 0.1001596
472.55, 0.6505135, 0.09937642
472.6, 0.6513034, 0.1010995
472.65, 0.6522515, 0.1007862
472.7, 0.6533574, 0.1006295
472.75, 0.6543054, 0.1001596
472.8, 0.6552534, 0.1018827
472.85, 0.6565173, 0.101726
472.9, 0.6576233, 0.1006295
472.95, 0.6585713, 0.1009428
473, 0.6595193, 0.101726
473.05, 0.6606252, 0.1006295
473.1, 0.6615732, 0.1021959
473.15, 0.6625211, 0.1004729
473.2, 0.6636271, 0.1014127
473.25, 0.6645751, 0.09984634
473.3, 0.6656811, 0.1015694
473.35, 0.666629, 0.1007862
473.4, 0.667577, 0.1023526
473.45, 0.668525, 0.1028225
473.5, 0.669473, 0.1012561
473.55, 0.6704209, 0.1014127
473.6, 0.6713689, 0.1025092
473.65, 0.6723168, 0.1007862
473.7, 0.6734228, 0.09984634
473.75, 0.6742129, 0.1014127
473.8, 0.6751608, 0.1014127
473.85, 0.6762668, 0.1004729
473.9, 0.6773728, 0.1009428
473.95, 0.6783207, 0.1018827
474, 0.6792687, 0.1014127
474.05, 0.6802167, 0.1023526
474.1, 0.6811647, 0.1010995
474.15, 0.6822706, 0.1018827
474.2, 0.6832186, 0.1014127
474.25, 0.6841666, 0.101726
474.3, 0.6852726, 0.1012561
474.35, 0.6862205, 0.1025092
474.4, 0.6873265, 0.1018827
474.45, 0.6881164, 0.1018827
474.5, 0.6892224, 0.1020393
474.55, 0.6901703, 0.101726
474.6, 0.6911184, 0.1026659
474.65, 0.6922244, 0.1032924
474.7, 0.6931723, 0.1026659
474.75, 0.6941203, 0.1028225
474.8, 0.6950682, 0.1018827
474.85, 0.6961742, 0.1020393
474.9, 0.6972802, 0.1025092
474.95, 0.6982282, 0.103449
475, 0.6991761, 0.1021959
475.05, 0.7002821, 0.1007862
475.1, 0.70123, 0.1023526
475.15, 0.7023361, 0.1025092
475.2, 0.7032841, 0.1010995
475.25, 0.704232, 0.1010995
475.3, 0.70518, 0.1031358
475.35, 0.706286, 0.1025092
475.4, 0.7072339, 0.1031358
475.45, 0.7081819, 0.1025092
475.5, 0.7092879, 0.1042322
475.55, 0.7102358, 0.1032924
475.6, 0.7111838, 0.103919
475.65, 0.7121318, 0.1053287
475.7, 0.7130798, 0.1037623
475.75, 0.7141858, 0.1047022
475.8, 0.7149757, 0.103919
475.85, 0.7159237, 0.1059553
475.9, 0.7171876, 0.1053287
475.95, 0.7181356, 0.1043889
476, 0.7190837, 0.1036057
476.05, 0.7200316, 0.1025092
476.1, 0.7209796, 0.1029791
476.15, 0.7219275, 0.1025092
476.2, 0.7231915, 0.1040756
476.25, 0.7242975, 0.1047022
476.3, 0.7252455, 0.1043889
476.35, 0.7261934, 0.1047022
476.4, 0.7271414, 0.1031358
476.45, 0.7280893, 0.103449
476.5, 0.7290373, 0.1043889
476.55, 0.7301434, 0.1025092
476.6, 0.7312493, 0.1029791
476.65, 0.7321973, 0.1029791
476.7, 0.7331452, 0.1036057
476.75, 0.7339352, 0.103919
476.8, 0.7350411, 0.1045455
476.85, 0.7361472, 0.1051721
476.9, 0.7369372, 0.1043889
476.95, 0.7380431, 0.105642
477, 0.739149, 0.1047022
477.05, 0.740255, 0.1031358
477.1, 0.7412031, 0.1042322
477.15, 0.742151, 0.1036057
477.2, 0.743099, 0.1054853
477.25, 0.7442049, 0.1050154
477.3, 0.7451529, 0.1043889
477.35, 0.7461008, 0.1021959
477.4, 0.7470489, 0.1045455
477.45, 0.7481548, 0.103449
477.5, 0.7489448, 0.1043889
477.55, 0.7500508, 0.1037623
477.6, 0.7511567, 0.1047022
477.65, 0.7519467, 0.1032924
477.7, 0.7530527, 0.1047022
477.75, 0.7540007, 0.1053287
477.8, 0.7549486, 0.1068951
477.85, 0.7558966, 0.1053287
477.9, 0.7570026, 0.1048588
477.95, 0.7579505, 0.1047022
478, 0.7588986, 0.1042322
478.05, 0.7601625, 0.1051721
478.1, 0.7612684, 0.1059553
478.15, 0.7622164, 0.1037623
478.2, 0.7631644, 0.1029791
478.25, 0.7641124, 0.103449
