Experiment:, Cathode characterisation
Start date:, st?eda 22. ?nora 2023
Start time:, 14:50:22 +01:00
Time (s), Voltage (V), Current Density (A/cm2)
1084.55, 0.05005468, -0.6253935
1084.65, 0.05221725, -0.4333538
1084.7, 0.05321172, -0.3766503
1084.75, 0.05433246, -0.323393
1084.8, 0.05529535, -0.2950412
1084.85, 0.05643188, -0.2568212
1084.9, 0.05742635, -0.2369281
1085, 0.05935213, -0.2027807
1085.05, 0.06025189, -0.1886832
1085.1, 0.06137263, -0.1604881
1085.15, 0.06228817, -0.1526562
1085.2, 0.06345627, -0.1257142
1085.25, 0.0641666, -0.1346426
1085.35, 0.06621867, -0.09313323
1085.4, 0.06716578, -0.08655439
1085.45, 0.06830231, -0.06619129
1085.5, 0.06931256, -0.05726284
1085.55, 0.0704333, -0.04206883
1085.6, 0.07149091, -0.03376696
1085.65, 0.07235909, -0.03799621
1085.7, 0.07329042, -0.03486342
1085.8, 0.07542141, -0.009487867
1085.85, 0.07641587, -0.006355081
1085.9, 0.07741033, -0.001029345
1085.95, 0.07842059, 0.002103441
1086, 0.07935191, 0.003356554
1086.05, 0.08025166, 0.004296389
1086.15, 0.08220901, 0.01494786
1086.2, 0.08332976, 0.02121343
1086.25, 0.08434001, 0.02246655
1086.3, 0.08531869, 0.02450286
1086.35, 0.0862658, 0.02544269
1086.4, 0.08729184, 0.03076843
1086.5, 0.08935969, 0.0378172
1086.55, 0.09016473, 0.02920203
1086.6, 0.09123812, 0.04235973
1086.65, 0.09229573, 0.04298629
1086.7, 0.09316391, 0.03797383
1086.75, 0.09417415, 0.04658899
1086.8, 0.09523176, 0.04627572
1086.85, 0.09616309, 0.04658899
1086.9, 0.09726804, 0.05583071
1087, 0.0993359, 0.05269792
1087.05, 0.1002988, 0.05175809
1087.1, 0.1012775, 0.05238464
1087.15, 0.1021141, 0.0486253
1087.25, 0.1040872, 0.0537944
1087.3, 0.1051448, 0.05724046
1087.35, 0.1060604, 0.05536079
1087.4, 0.107118, 0.05912013
1087.45, 0.1081124, 0.05598735
1087.55, 0.110054, 0.05974669
1087.65, 0.1121534, 0.061783
1087.7, 0.1131005, 0.05724046
1087.75, 0.114095, 0.05912013
1087.8, 0.1151368, 0.05943341
1087.85, 0.1162418, 0.06303611
1087.9, 0.117331, 0.06428923
1087.95, 0.1182939, 0.05880686
1088.05, 0.1202828, 0.06084317
1088.1, 0.1213404, 0.06209628
1088.15, 0.1223664, 0.06146972
1088.2, 0.1232977, 0.05943341
1088.25, 0.1243711, 0.06397595
1088.3, 0.1253182, 0.05802366
1088.35, 0.1262969, 0.06303611
1088.4, 0.1273545, 0.06146972
