Experiment:, Cathode characterisation
Start date:, ?ter? 28. b?ezna 2023
Start time:, 13:59:05 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
1117.55, 0.0506703, -0.8937165
1117.65, 0.05276973, -0.5738592
1117.7, 0.05381155, -0.5054078
1117.75, 0.05493229, -0.4609222
1117.8, 0.05592676, -0.4183164
1117.85, 0.05690543, -0.3992064
1117.9, 0.05774205, -0.3844823
1118, 0.05984147, -0.2959811
1118.05, 0.06069387, -0.2992705
1118.1, 0.06184619, -0.2467964
1118.15, 0.06279329, -0.2417839
1118.2, 0.0637404, -0.2337953
1118.25, 0.06481379, -0.1966718
1118.35, 0.06697635, -0.1463906
1118.4, 0.06798661, -0.1520296
1118.45, 0.06896529, -0.1337028
1118.5, 0.06991239, -0.1301001
1118.55, 0.07095422, -0.1066042
1118.6, 0.07201181, -0.09736249
1118.65, 0.07295892, -0.09344652
1118.7, 0.0739376, -0.08326496
1118.8, 0.07586339, -0.05804604
1118.85, 0.07695256, -0.05240703
1118.9, 0.0778681, -0.05052736
1118.95, 0.07894149, -0.03783957
1119, 0.07998331, -0.03642982
1119.05, 0.08075678, -0.04253875
1119.15, 0.0827615, -0.02170573
1119.2, 0.08383489, -0.01340385
1119.25, 0.08484513, -0.01152418
1119.3, 0.0858396, -0.008234751
1119.35, 0.08680249, 0.004453029
1119.4, 0.0878601, -0.001969181
1119.5, 0.08986481, 0.006959258
1119.55, 0.09076457, 0.005706144
1119.6, 0.09177481, 0.01792401
1119.65, 0.09275349, 0.01526114
1119.7, 0.09376375, 0.01776737
1119.75, 0.09472664, 0.02544269
1119.8, 0.09578424, 0.02591261
1119.9, 0.09767846, 0.02544269
1119.95, 0.09876763, 0.03202154
1120, 0.09974632, 0.02982859
1120.05, 0.100725, 0.03343129
1120.1, 0.1016721, 0.03766055
1120.15, 0.1029191, 0.04470932
1120.25, 0.1048923, 0.04486596
1120.3, 0.1058078, 0.03045515
1120.35, 0.1066602, 0.04188982
1120.4, 0.1077809, 0.04345621
1120.45, 0.1087754, 0.04564916
1120.5, 0.1097383, 0.04079334
1120.55, 0.1105749, 0.04314293
1120.6, 0.111601, 0.04987842
1120.7, 0.1136846, 0.05207136
1120.75, 0.1148369, 0.04987842
1120.8, 0.1158629, 0.05003506
1120.85, 0.1168258, 0.05081825
1120.9, 0.1178361, 0.05019169
1120.95, 0.1189253, 0.05536079
1121, 0.119825, 0.05097489
1121.05, 0.1208037, 0.05254128
1121.15, 0.1227926, 0.05865022
1121.2, 0.1238344, 0.04972177
1121.25, 0.1247815, 0.06021661
1121.3, 0.125776, 0.05113153
1121.4, 0.1277491, 0.05520415
1121.45, 0.1287594, 0.05818029
1121.5, 0.1297065, 0.05755374
1121.55, 0.1307957, 0.05724046
1121.6, 0.1317901, 0.0566139
1121.65, 0.1327846, 0.05833694
1121.7, 0.1338896, 0.05849357
1121.8, 0.1358785, 0.05489087
1121.85, 0.1368098, 0.06021661
1121.9, 0.1378359, 0.05802366
1121.95, 0.1388777, 0.05912013
1122, 0.1398721, 0.0573971
1122.05, 0.1408508, 0.05708382
1122.1, 0.1418611, 0.05880686
1122.2, 0.1439447, 0.05849357
1122.25, 0.144955, 0.06209628
1122.3, 0.1459968, 0.06209628
1122.35, 0.1469597, 0.05489087
1122.4, 0.1479541, 0.05724046
1122.45, 0.1490433, 0.06005996
1122.5, 0.1499904, 0.05786702
1122.55, 0.1509691, 0.05677054
1122.65, 0.1528949, 0.05771038
1122.7, 0.1538893, 0.05880686
1122.75, 0.1548049, 0.05489087
1122.8, 0.155752, 0.05959005
1122.9, 0.1577883, 0.05583071
1122.95, 0.1587196, 0.05677054
1123, 0.1596825, 0.06460251
1123.05, 0.160677, 0.05583071
1123.1, 0.161703, 0.05943341
1123.15, 0.1627132, 0.06021661
1123.2, 0.1637077, 0.05395104
1123.25, 0.1647653, 0.06084317
1123.3, 0.165744, 0.05489087
1123.35, 0.1668332, 0.06084317
1123.45, 0.1690746, 0.0573971
1123.5, 0.170006, 0.05677054
1123.55, 0.1710478, 0.05755374
1123.6, 0.1719633, 0.05551743
1123.7, 0.1740943, 0.05912013
1123.75, 0.1751361, 0.05708382
