Experiment:, Cathode characterisation
Start date:, ?ter? 25. dubna 2023
Start time:, 15:05:33 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
1117.55, 0.0507808, -0.6293094
1117.65, 0.05303808, -0.4192562
1117.7, 0.05400097, -0.380253
1117.75, 0.05504279, -0.3224531
1117.8, 0.05605304, -0.2948846
1117.85, 0.05700015, -0.2751481
1117.9, 0.05805775, -0.2463264
1117.95, 0.05919428, -0.2081064
1118.05, 0.06097801, -0.1933824
1118.1, 0.06200404, -0.1759954
1118.15, 0.06293536, -0.1571987
1118.2, 0.06399296, -0.1379321
1118.25, 0.06495586, -0.1341727
1118.35, 0.06694479, -0.1047245
1118.4, 0.06792347, -0.09548282
1118.45, 0.06885479, -0.08718094
1118.5, 0.06981768, -0.07402325
1118.55, 0.07082793, -0.06697448
1118.6, 0.07183818, -0.05647965
1118.65, 0.07281686, -0.0455149
1118.75, 0.07460058, -0.04770785
1118.8, 0.07567398, -0.02750138
1118.85, 0.07658951, -0.02938105
1118.9, 0.07756819, -0.0191995
1118.95, 0.07859422, -0.01544016
1119, 0.07960447, -0.01058434
1119.05, 0.08053579, -0.005885163
1119.15, 0.082651, 0.005706144
1119.2, 0.08391381, 0.01259827
1119.25, 0.08495564, 0.01447794
1119.3, 0.08580803, 0.01103188
1119.35, 0.08675514, 0.0143213
1119.45, 0.08890192, 0.01714081
1119.5, 0.0898806, 0.0326481
1119.55, 0.09092242, 0.02544269
1119.6, 0.09186953, 0.03170826
1119.65, 0.09276928, 0.02559933
1119.7, 0.09385845, 0.04094998
1119.75, 0.09472664, 0.02920203
1119.8, 0.09584738, 0.03938359
1119.9, 0.09778895, 0.03609416
1119.95, 0.09883077, 0.05097489
1120, 0.09974632, 0.03938359
1120.05, 0.1007566, 0.05050497
1120.1, 0.101751, 0.0450226
1120.15, 0.1027139, 0.05191473
1120.2, 0.1037715, 0.05551743
1120.3, 0.1057289, 0.05128817
1120.35, 0.1068496, 0.05583071
1120.4, 0.107702, 0.0486253
1120.45, 0.1087123, 0.05536079
1120.5, 0.1096436, 0.05175809
1120.55, 0.1106065, 0.05285456
1120.6, 0.1116483, 0.05990333
1120.7, 0.1137477, 0.05927677
1120.75, 0.1146948, 0.05708382
1120.8, 0.1156262, 0.05630063
1120.85, 0.1167311, 0.06146972
1120.9, 0.117694, 0.06319275
1120.95, 0.1188305, 0.07039816
1121, 0.1198881, 0.05536079
1121.1, 0.1218929, 0.06679546
1121.15, 0.1228242, 0.06115644
1121.2, 0.1237871, 0.06005996
1121.25, 0.1246868, 0.05880686
1121.3, 0.1256182, 0.05974669
1121.4, 0.1275282, 0.06021661
1121.45, 0.1286963, 0.07306103
1121.5, 0.1296749, 0.06052989
1121.55, 0.1307641, 0.06836185
1121.6, 0.1316797, 0.05927677
1121.65, 0.1326268, 0.06804857
1121.7, 0.1336528, 0.06287947
1121.75, 0.1346788, 0.0697716
1121.85, 0.1366678, 0.0633494
1121.9, 0.1377096, 0.07024152
1121.95, 0.1387198, 0.06319275
1122, 0.1397774, 0.06961497
1122.05, 0.1407403, 0.06068652
1122.1, 0.1417664, 0.0653857
1122.2, 0.1437079, 0.06052989
1122.25, 0.144734, 0.06648218
1122.3, 0.1456337, 0.05849357
1122.35, 0.146644, 0.06867513
1122.4, 0.14767, 0.06381931
1122.45, 0.1488223, 0.06710874
1122.5, 0.149801, 0.05865022
1122.55, 0.150827, 0.06460251
1122.65, 0.1528002, 0.06569898
1122.7, 0.1537157, 0.05802366
1122.75, 0.1547891, 0.0633494
1122.8, 0.1558467, 0.06303611
1122.85, 0.156857, 0.06319275
1122.95, 0.1588774, 0.0625662
1123, 0.1598561, 0.05818029
1123.05, 0.160819, 0.06663882
1123.1, 0.1618451, 0.05990333
1123.15, 0.1627606, 0.05708382
1123.2, 0.1637393, 0.06319275
1123.25, 0.1648127, 0.06068652
1123.3, 0.1656808, 0.05708382
1123.4, 0.1677013, 0.06554235
1123.45, 0.1686958, 0.05912013
1123.5, 0.1696271, 0.05645727
1123.55, 0.1706216, 0.06005996
1123.6, 0.171695, 0.06397595
1123.65, 0.172721, 0.061783
1123.75, 0.1746626, 0.05724046
1123.8, 0.1755624, 0.05692719
1123.85, 0.1766515, 0.06209628
1123.9, 0.1775828, 0.05583071
1123.95, 0.1786878, 0.0625662
1124, 0.1797454, 0.06005996
1124.05, 0.180803, 0.05426432
1124.15, 0.1828393, 0.05489087
1124.2, 0.1838811, 0.05865022
1124.25, 0.1848914, 0.05974669
1124.3, 0.1858701, 0.05473424
1124.35, 0.1868172, 0.05614398
1124.4, 0.18778, 0.05316784
1124.5, 0.1897848, 0.05786702
1124.55, 0.1907792, 0.05316784
1124.6, 0.191679, 0.05254128
1124.65, 0.1927208, 0.05786702
1124.7, 0.1936995, 0.05222801
1124.75, 0.194615, 0.05536079
1124.8, 0.1955779, 0.05207136
1124.9, 0.1975826, 0.05583071
1124.95, 0.1985771, 0.05473424
1125, 0.1995715, 0.05191473
1125.05, 0.2004713, 0.05583071
1125.1, 0.201592, 0.0573971
1125.15, 0.2026023, 0.04972177
1125.25, 0.2046701, 0.05802366
1125.3, 0.2056962, 0.05316784
1125.35, 0.2066591, 0.05128817
1125.4, 0.2078745, 0.06303611
1125.45, 0.2087585, 0.05003506
1125.5, 0.2096898, 0.05081825
1125.55, 0.2108421, 0.05943341
1125.6, 0.2118524, 0.05081825
1125.65, 0.21291, 0.05551743
1125.75, 0.2150568, 0.05034833
1125.8, 0.2159092, 0.05019169
1125.85, 0.2168721, 0.05426432
1125.9, 0.2178981, 0.05019169
1126, 0.2199502, 0.05583071
1126.05, 0.2209604, 0.05097489
1126.1, 0.2220654, 0.05818029
1126.15, 0.223123, 0.05222801
1126.2, 0.2240701, 0.0537944
1126.25, 0.2251119, 0.05113153
1126.3, 0.2260432, 0.04831202
1126.35, 0.2269588, 0.05504751
1126.45, 0.2289951, 0.05207136
1126.5, 0.2300369, 0.04987842
1126.55, 0.2309524, 0.05426432
1126.6, 0.2319311, 0.0537944
1126.65, 0.2329571, 0.05050497
1126.7, 0.2339832, 0.05269792
1126.75, 0.234946, 0.04893858
1126.8, 0.2358932, 0.05285456
1126.9, 0.2379294, 0.05019169
1126.95, 0.2388134, 0.0486253
1127, 0.239871, 0.05442095
1127.05, 0.2408655, 0.04956514
1127.15, 0.2430754, 0.04909522
1127.2, 0.2440857, 0.0545776
1127.25, 0.245017, 0.05050497
1127.3, 0.2460746, 0.04909522
1127.35, 0.246927, 0.0478421
1127.4, 0.2479372, 0.05066161
1127.45, 0.2489159, 0.05019169
1127.55, 0.250889, 0.04658899
1127.6, 0.2518993, 0.05175809
1127.65, 0.252878, 0.04721555
1127.7, 0.2539198, 0.04909522
1127.75, 0.2548195, 0.04690227
1127.8, 0.255814, 0.05050497
1127.85, 0.2567295, 0.04658899
1127.9, 0.2579134, 0.05285456
1127.95, 0.2588606, 0.04455268
1128.05, 0.2607705, 0.0450226
1128.1, 0.2617334, 0.04799874
1128.15, 0.2627752, 0.0478421
1128.2, 0.2637855, 0.04972177
1128.25, 0.2648589, 0.04831202
1128.35, 0.2668478, 0.04392612
1128.4, 0.2678739, 0.04752883
1128.45, 0.2688841, 0.04423941
1128.5, 0.2698154, 0.0458058
1128.55, 0.2709204, 0.04329957
1128.6, 0.2718833, 0.04282965
1128.65, 0.2729409, 0.0478421
1128.75, 0.2749456, 0.04220309
1128.8, 0.2760348, 0.0450226
1128.85, 0.2769819, 0.04392612
1128.9, 0.2780079, 0.04298629
1128.95, 0.2790498, 0.04329957
1129, 0.2801073, 0.04204645
1129.05, 0.2810229, 0.04392612
1129.1, 0.2820805, 0.04235973
1129.2, 0.284101, 0.03938359
1129.25, 0.284906, 0.04001015
1129.3, 0.2858847, 0.04188982
1129.35, 0.2870054, 0.04204645
1129.4, 0.2878894, 0.03969686
1129.45, 0.2888681, 0.04204645
1129.55, 0.2908255, 0.03922695
1129.6, 0.2919304, 0.04173318
1129.65, 0.2929249, 0.03938359
1129.7, 0.2939194, 0.03828711
1129.75, 0.2949138, 0.03938359
1129.8, 0.2959714, 0.0398535
1129.85, 0.2969501, 0.04048006
1129.9, 0.2978025, 0.03531097
1130, 0.2997756, 0.0398535
1130.05, 0.3008806, 0.03766055
1130.1, 0.3018119, 0.03656408
1130.15, 0.3027906, 0.03875703
1130.25, 0.3047795, 0.03969686
1130.3, 0.3057898, 0.03468441
1130.35, 0.3068316, 0.03875703
1130.4, 0.3078892, 0.03813047
1130.45, 0.3089942, 0.03766055
1130.5, 0.3099571, 0.03687736
1130.55, 0.3109989, 0.03719064
1130.6, 0.3120249, 0.03766055
1130.7, 0.314077, 0.03499769
1130.75, 0.3154046, 0.03280474
1130.8, 0.3160366, 0.03640744
1130.85, 0.3173005, 0.03656408
1130.9, 0.3184065, 0.03640744
1130.95, 0.3193545, 0.03672072
1131, 0.3203025, 0.03562424
1131.1, 0.3220404, 0.03640744
1131.15, 0.3231464, 0.03437113
1131.2, 0.3239363, 0.03452777
1131.25, 0.3250423, 0.037034
1131.3, 0.3259903, 0.03531097
1131.35, 0.3269383, 0.03672072
1131.4, 0.3280442, 0.03515432
1131.5, 0.3299402, 0.0354676
1131.55, 0.3310462, 0.037034
1131.6, 0.3319941, 0.03609416
1131.65, 0.3329421, 0.0362508
1131.75, 0.334996, 0.03640744
1131.8, 0.336102, 0.0354676
1131.85, 0.33705, 0.03562424
1131.9, 0.337998, 0.03280474
1131.95, 0.338946, 0.03640744
1132, 0.3398939, 0.03531097
1132.05, 0.3409999, 0.03562424
1132.1, 0.3419479, 0.03468441
1132.15, 0.3430538, 0.03719064
1132.2, 0.3438438, 0.03468441
1132.3, 0.3457398, 0.03484105
1132.35, 0.3470037, 0.03593753
1132.4, 0.3479517, 0.03390121
1132.45, 0.3488997, 0.03468441
1132.5, 0.3500057, 0.03468441
1132.55, 0.3509536, 0.03405785
1132.65, 0.3528496, 0.03562424
1132.7, 0.3537976, 0.03640744
1132.75, 0.3547455, 0.03797383
1132.8, 0.3556935, 0.037034
1132.85, 0.3569575, 0.03766055
1132.95, 0.3588534, 0.03437113
1133, 0.3598014, 0.03734728
1133.05, 0.3609074, 0.03531097
1133.1, 0.3618553, 0.03578088
1133.15, 0.3629613, 0.03468441
1133.2, 0.3639093, 0.03468441
1133.25, 0.3648573, 0.03609416
1133.3, 0.3656472, 0.03578088
1133.35, 0.3667532, 0.03280474
1133.45, 0.3688071, 0.03374457
1133.5, 0.3699131, 0.03343129
1133.55, 0.3707031, 0.03202154
1133.6, 0.3716511, 0.03343129
1133.65, 0.372915, 0.03343129
1133.7, 0.373705, 0.03421449
1133.8, 0.375917, 0.03405785
1133.85, 0.3768649, 0.03233482
1133.9, 0.3778129, 0.03531097
1133.95, 0.3786029, 0.03515432
1134, 0.3797088, 0.03562424
1134.05, 0.3806568, 0.03374457
1134.15, 0.3827108, 0.03280474
1134.2, 0.3836587, 0.03468441
1134.25, 0.3847647, 0.03452777
1134.3, 0.3855547, 0.03374457
1134.35, 0.3863447, 0.03437113
1134.4, 0.3872926, 0.03468441
1134.5, 0.3895046, 0.03640744
1134.55, 0.3906105, 0.03233482
1134.6, 0.3914005, 0.03437113
1134.65, 0.3926645, 0.03468441
1134.7, 0.3936124, 0.03311801
1134.75, 0.3945604, 0.03358793
1134.8, 0.3953504, 0.03734728
1134.9, 0.3972464, 0.03515432
1134.95, 0.3983523, 0.03499769
1135, 0.3993003, 0.03390121
1135.05, 0.4004063, 0.03296138
1135.1, 0.4013543, 0.03249146
1135.2, 0.4034082, 0.03358793
1135.25, 0.4041982, 0.03280474
1135.3, 0.4053041, 0.03374457
1135.35, 0.4062521, 0.0318649
1135.4, 0.4073581, 0.03311801
1135.45, 0.4083061, 0.0326481
1135.5, 0.409412, 0.0318649
1135.55, 0.41036, 0.0326481
1135.65, 0.412256, 0.03296138
1135.7, 0.4132039, 0.03437113
1135.75, 0.4144679, 0.03468441
1135.8, 0.4155739, 0.03484105
1135.85, 0.4165218, 0.03484105
1135.9, 0.4174698, 0.03687736
1136, 0.4196817, 0.03452777
1136.05, 0.4204717, 0.03531097
1136.1, 0.4214197, 0.03374457
1136.15, 0.4223677, 0.03405785
1136.2, 0.4233157, 0.03531097
1136.25, 0.4242636, 0.03327465
1136.35, 0.4263176, 0.03421449
1136.4, 0.4272656, 0.03217818
1136.45, 0.4283715, 0.03437113
1136.5, 0.4293195, 0.03405785
1136.55, 0.4302675, 0.03452777
1136.6, 0.4313734, 0.03374457
1136.65, 0.4323214, 0.03499769
1136.75, 0.4343754, 0.03499769
1136.8, 0.4353233, 0.03875703
1136.9, 0.4373773, 0.03766055
1136.95, 0.4383253, 0.03562424
1137, 0.4392732, 0.03233482
1137.05, 0.4402212, 0.03405785
1137.15, 0.4422751, 0.03358793
1137.2, 0.4432231, 0.03468441
1137.25, 0.4443291, 0.03358793
1137.3, 0.4452771, 0.03311801
1137.35, 0.446225, 0.03374457
1137.4, 0.447331, 0.03233482
1137.45, 0.448121, 0.03343129
1137.55, 0.4500169, 0.03452777
1137.6, 0.4511229, 0.03405785
1137.65, 0.4522289, 0.03452777
1137.7, 0.4530188, 0.03374457
1137.75, 0.4541248, 0.0354676
1137.8, 0.4552308, 0.03343129
1137.85, 0.4561788, 0.03405785
1137.95, 0.4583907, 0.03562424
1138, 0.4593387, 0.03249146
1138.05, 0.4602866, 0.03531097
1138.1, 0.4612346, 0.03202154
1138.15, 0.4620246, 0.03280474
1138.2, 0.4632886, 0.03296138
1138.3, 0.4650265, 0.03280474
1138.35, 0.4659745, 0.03405785
1138.4, 0.4672385, 0.03531097
1138.45, 0.4681864, 0.03374457
1138.5, 0.4691344, 0.03374457
1138.55, 0.4700824, 0.03202154
1138.6, 0.4711884, 0.03484105
1138.7, 0.4730843, 0.03390121
1138.75, 0.4738743, 0.0326481
1138.8, 0.4749802, 0.03374457
1138.85, 0.4760862, 0.03233482
1138.9, 0.4771922, 0.03327465
1138.95, 0.4782982, 0.03452777
1139, 0.4792461, 0.03327465
1139.05, 0.4801941, 0.03139498
1139.1, 0.4811421, 0.03405785
1139.2, 0.483038, 0.03202154
1139.25, 0.483986, 0.03515432
1139.3, 0.485092, 0.03311801
1139.35, 0.4860399, 0.03327465
1139.45, 0.4879359, 0.03421449
1139.5, 0.4888839, 0.03233482
1139.55, 0.4899898, 0.03358793
1139.6, 0.4909378, 0.03374457
1139.65, 0.4920438, 0.03609416
1139.7, 0.4929918, 0.03405785
1139.75, 0.4939397, 0.03421449
1139.85, 0.4959937, 0.03531097
1139.9, 0.4970996, 0.03452777
1139.95, 0.4982056, 0.0326481
1140, 0.4989956, 0.03437113
1140.05, 0.4999436, 0.03390121
1140.1, 0.5008915, 0.03468441
1140.15, 0.5019975, 0.03452777
1140.2, 0.5027875, 0.03405785
1140.25, 0.5037354, 0.03578088
1140.35, 0.5057894, 0.03468441
1140.4, 0.5067374, 0.03374457
1140.45, 0.5078434, 0.03280474
1140.5, 0.5086333, 0.03390121
1140.55, 0.5098973, 0.03374457
1140.6, 0.5108452, 0.03468441
1140.7, 0.5130572, 0.0326481
1140.75, 0.5143211, 0.03327465
1140.8, 0.5157431, 0.03452777
1140.85, 0.5170071, 0.03437113
1140.9, 0.5182711, 0.03327465
1140.95, 0.5193771, 0.03562424
1141, 0.520325, 0.03578088
1141.1, 0.5223789, 0.03405785
1141.15, 0.5231689, 0.0354676
1141.2, 0.5242749, 0.03578088
1141.25, 0.5255389, 0.03437113
1141.3, 0.5263288, 0.03562424
1141.4, 0.5285408, 0.03609416
1141.45, 0.5293308, 0.03499769
1141.5, 0.5302787, 0.03437113
1141.55, 0.5312268, 0.03390121
1141.6, 0.5321747, 0.03562424
1141.65, 0.5332807, 0.03531097
1141.75, 0.5351766, 0.03499769
1141.8, 0.5361246, 0.03656408
1141.85, 0.5373886, 0.037034
1141.9, 0.5383365, 0.03609416
1141.95, 0.5392845, 0.0354676
1142, 0.5400745, 0.03515432
1142.05, 0.5411804, 0.03531097
1142.1, 0.5422865, 0.03640744
1142.2, 0.5443404, 0.03734728
1142.25, 0.5452883, 0.03531097
1142.3, 0.5460783, 0.03468441
1142.35, 0.5470263, 0.03437113
1142.4, 0.5479743, 0.03656408
1142.45, 0.5489222, 0.03578088
1142.55, 0.5509762, 0.03562424
1142.6, 0.5520822, 0.03640744
1142.65, 0.5530301, 0.03499769
1142.7, 0.5539781, 0.03609416
1142.75, 0.555084, 0.0354676
1142.8, 0.556032, 0.03531097
1142.85, 0.55698, 0.03499769
1142.9, 0.558086, 0.03797383
1143, 0.5601399, 0.03562424
1143.05, 0.5610879, 0.03734728
1143.1, 0.5621939, 0.03687736
1143.15, 0.5631419, 0.03734728
1143.2, 0.5640898, 0.03562424
1143.25, 0.5651958, 0.03734728
1143.3, 0.5661438, 0.03640744
1143.35, 0.5670917, 0.03468441
1143.45, 0.5689877, 0.03609416
1143.5, 0.5699357, 0.03719064
1143.55, 0.5708836, 0.03734728
1143.6, 0.5719896, 0.03578088
1143.65, 0.5729376, 0.03578088
1143.7, 0.5738856, 0.03860039
1143.8, 0.5759395, 0.03640744
1143.9, 0.5779935, 0.03860039
1143.95, 0.5789415, 0.03797383
1144, 0.5800474, 0.03750391
1144.1, 0.5819433, 0.03609416
1144.15, 0.5830493, 0.03609416
1144.2, 0.5839972, 0.03734728
1144.25, 0.5849453, 0.03734728
1144.3, 0.5858933, 0.037034
1144.35, 0.5868412, 0.03766055
1144.4, 0.5879472, 0.03578088
1144.45, 0.5888951, 0.03609416
1144.5, 0.5900012, 0.03907031
1144.6, 0.5920551, 0.03719064
1144.65, 0.593003, 0.037034
1144.7, 0.593951, 0.03828711
1144.75, 0.595215, 0.03672072
1144.8, 0.596005, 0.03672072
1144.85, 0.5972689, 0.0362508
1144.95, 0.5990069, 0.03907031
1145, 0.5999548, 0.03656408
1145.05, 0.6009029, 0.03922695
1145.1, 0.6020088, 0.0406367
1145.2, 0.6042207, 0.04032342
1145.25, 0.6050107, 0.03750391
1145.3, 0.6059586, 0.03860039
1145.35, 0.6069067, 0.03734728
1145.4, 0.6080127, 0.03640744
1145.45, 0.6088026, 0.037034
1145.5, 0.6099086, 0.03828711
1145.55, 0.6108565, 0.03860039
1145.6, 0.6118045, 0.03891367
1145.65, 0.6129105, 0.03640744
1145.75, 0.6149644, 0.03938359
1145.8, 0.6159124, 0.03750391
1145.85, 0.6168604, 0.03750391
1145.9, 0.6179664, 0.03891367
1145.95, 0.6189144, 0.03609416
1146.05, 0.6209683, 0.03797383
1146.1, 0.6219162, 0.03875703
1146.15, 0.6230222, 0.03578088
1146.2, 0.6239702, 0.03828711
1146.25, 0.6249182, 0.03860039
1146.3, 0.6260241, 0.03828711
1146.35, 0.6269721, 0.03687736
1146.45, 0.62871, 0.03797383
1146.5, 0.629658, 0.03860039
1146.55, 0.6306061, 0.0362508
1146.6, 0.631712, 0.03813047
1146.65, 0.6328179, 0.03797383
1146.7, 0.6339239, 0.0378172
1146.75, 0.6350299, 0.04001015
1146.8, 0.6359779, 0.03797383
1146.9, 0.6380318, 0.03797383
1146.95, 0.6389798, 0.0414199
1147, 0.6399277, 0.04204645
1147.05, 0.6410338, 0.04048006
1147.1, 0.6419817, 0.04032342
1147.15, 0.6429297, 0.03828711
1147.25, 0.6451416, 0.04001015
1147.3, 0.6459317, 0.037034
1147.35, 0.6468796, 0.04001015
1147.4, 0.6479856, 0.03891367
1147.45, 0.6487755, 0.03922695
1147.55, 0.6508294, 0.04314293
1147.6, 0.6519355, 0.04188982
1147.65, 0.6528834, 0.03907031
1147.7, 0.6539894, 0.03969686
1147.75, 0.6549373, 0.03954023
1147.8, 0.6558853, 0.03860039
1147.85, 0.6569914, 0.04094998
1147.9, 0.6579393, 0.03860039
1147.95, 0.6590453, 0.03969686
1148.05, 0.6609412, 0.04032342
1148.1, 0.6620471, 0.04157653
1148.15, 0.6631532, 0.03875703
1148.2, 0.6639431, 0.03907031
1148.3, 0.6658391, 0.04157653
1148.35, 0.666945, 0.04001015
1148.4, 0.667893, 0.04032342
