Experiment:, Cathode characterisation
Start date:, ?ter? 25. dubna 2023
Start time:, 11:15:01 +02:00
Time (s), Current Density (A/cm2)
609, -0.04813693
610, 0.04376949
611, 0.04329957
612, 0.04235973
613, 0.04220309
614, 0.04016678
615, 0.04267301
616, 0.04188982
617, 0.04314293
618, 0.04314293
619, 0.04204645
620, 0.04126326
621, 0.04220309
622, 0.04220309
623, 0.04157653
624, 0.04220309
625, 0.04282965
626, 0.04361285
627, 0.04282965
628, 0.04204645
629, 0.04126326
630, 0.04235973
631, 0.04329957
632, 0.0450226
633, 0.04721555
634, 0.04737219
635, 0.04721555
636, 0.04486596
637, 0.04235973
638, 0.04361285
639, 0.04768547
640, 0.05191473
641, 0.05426432
642, 0.0537944
643, 0.05128817
644, 0.04799874
645, 0.04517924
646, 0.04314293
647, 0.04126326
648, 0.04126326
649, 0.0414199
650, 0.04329957
651, 0.04235973
652, 0.04220309
653, 0.04220309
654, 0.04282965
655, 0.04408276
656, 0.04455268
657, 0.0450226
658, 0.04674564
659, 0.04533588
660, 0.04423941
661, 0.04455268
662, 0.0450226
663, 0.04533588
664, 0.04517924
665, 0.04408276
666, 0.04345621
667, 0.04267301
668, 0.04251637
669, 0.04282965
670, 0.04298629
671, 0.04361285
672, 0.04611908
673, 0.04768547
674, 0.04627572
675, 0.04564916
676, 0.04564916
677, 0.04533588
678, 0.04361285
679, 0.04329957
680, 0.04455268
681, 0.04549251
682, 0.04470932
683, 0.04408276
684, 0.04455268
685, 0.04392612
686, 0.04376949
687, 0.04439604
688, 0.04486596
689, 0.0458058
690, 0.04564916
691, 0.04564916
692, 0.0458058
693, 0.04596243
694, 0.04611908
695, 0.04533588
696, 0.04564916
697, 0.04611908
698, 0.04705891
699, 0.04596243
700, 0.04423941
701, 0.04376949
702, 0.04392612
703, 0.04423941
704, 0.04455268
705, 0.04408276
706, 0.04392612
707, 0.04423941
708, 0.04658899
709, 0.04314293
710, 0.04831202
711, 0.04737219
712, 0.04611908
713, 0.0478421
714, 0.04705891
715, 0.04611908
716, 0.04564916
717, 0.04486596
718, 0.04376949
719, 0.04549251
720, 0.04674564
721, 0.04627572
722, 0.04909522
723, 0.05034833
724, 0.04925186
725, 0.04878194
726, 0.04799874
727, 0.04596243
728, 0.04564916
