Experiment:, Cathode characterisation
Start date:, p?tek 28. dubna 2023
Start time:, 12:43:22 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
1232.55, 0.05111229, -0.5937523
1232.65, 0.05318014, -0.2729551
1232.7, 0.05414303, -0.2383378
1232.75, 0.05497965, -0.2342652
1232.8, 0.05586362, -0.2242403
1232.85, 0.05703172, -0.1642475
1232.9, 0.05793147, -0.160958
1233, 0.05998354, -0.1152194
1233.05, 0.06093065, -0.1246177
1233.1, 0.06178305, -0.1113034
1233.15, 0.06276172, -0.09375979
1233.2, 0.06381933, -0.06963734
1233.25, 0.06492428, -0.05381678
1233.3, 0.06593454, -0.05052736
1233.4, 0.06787611, -0.03768294
1233.45, 0.06899685, -0.01230737
1233.5, 0.06997553, -0.02045261
1233.55, 0.07078058, -0.03533335
1233.6, 0.07188553, -0.005728523
1233.65, 0.07284843, -0.01371712
1233.7, 0.0739376, 0.008212372
1233.75, 0.07482158, -0.0104277
1233.85, 0.07684207, 0.01228499
1233.9, 0.07777339, 0.01087524
1233.95, 0.07886257, 0.02873212
1234, 0.0798886, 0.01651425
1234.05, 0.08081992, 0.01886384
1234.15, 0.08293513, 0.03969686
1234.2, 0.08400852, 0.03828711
1234.25, 0.08511348, 0.03640744
1234.3, 0.08610795, 0.03797383
1234.35, 0.08707084, 0.03452777
1234.45, 0.08905977, 0.03844375
1234.5, 0.09000688, 0.04643235
1234.55, 0.09092242, 0.04094998
1234.6, 0.09183796, 0.04643235
1234.65, 0.09276928, 0.04126326
1234.7, 0.09382688, 0.0537944
1234.75, 0.0948687, 0.05097489
1234.8, 0.09581581, 0.05254128
1234.85, 0.0968892, 0.06146972
1234.9, 0.09782053, 0.05285456
1235, 0.09984102, 0.05755374
1235.05, 0.1008039, 0.05583071
1235.1, 0.1018457, 0.05943341
1235.15, 0.1028876, 0.0653857
1235.2, 0.1039136, 0.05771038
1235.3, 0.1059341, 0.06491579
1235.35, 0.106897, 0.05786702
1235.4, 0.1078599, 0.06052989
1235.45, 0.1089175, 0.07102472
1235.5, 0.1100224, 0.06804857
1235.55, 0.1109696, 0.05802366
1235.65, 0.112848, 0.06648218
1235.7, 0.1137162, 0.06131308
1235.75, 0.1148053, 0.06945832
1235.8, 0.1159734, 0.06883177
1235.85, 0.1169521, 0.06679546
