Experiment:, Cathode characterisation
Start date:, st?eda 26. dubna 2023
Start time:, 15:01:51 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
1020.05, 0.4005643, 0.06131308
1020.1, 0.4015122, 0.06005996
1020.15, 0.4024602, 0.06037325
1020.2, 0.4034082, 0.05959005
1020.25, 0.4043562, 0.06131308
1020.3, 0.4054621, 0.05974669
1020.35, 0.4064101, 0.05912013
1020.4, 0.4073581, 0.061783
1020.45, 0.408622, 0.06162636
1020.5, 0.40957, 0.06209628
1020.55, 0.41036, 0.06115644
1020.6, 0.411624, 0.06115644
1020.65, 0.4125719, 0.061783
1020.7, 0.4136779, 0.06131308
1020.75, 0.4146259, 0.06052989
1020.8, 0.4155739, 0.06052989
1020.85, 0.4165218, 0.06021661
1020.9, 0.4176278, 0.05927677
1020.95, 0.4185758, 0.05912013
1021, 0.4195237, 0.05990333
1021.05, 0.4204717, 0.06021661
1021.1, 0.4215777, 0.05974669
1021.15, 0.4223677, 0.05880686
1021.2, 0.4233157, 0.06115644
1021.25, 0.4242636, 0.06131308
1021.3, 0.4253696, 0.06397595
1021.35, 0.4263176, 0.06084317
1021.4, 0.4274235, 0.06068652
1021.45, 0.4283715, 0.06021661
1021.5, 0.4293195, 0.06193964
1021.55, 0.4304255, 0.05974669
1021.6, 0.4313734, 0.06084317
1021.65, 0.4323214, 0.06021661
1021.7, 0.4332694, 0.05990333
1021.75, 0.4343754, 0.06115644
1021.8, 0.4353233, 0.05943341
1021.85, 0.4362713, 0.06021661
1021.9, 0.4373773, 0.06052989
1021.95, 0.4383253, 0.0609998
1022, 0.4392732, 0.06037325
1022.05, 0.4403792, 0.06084317
1022.1, 0.4413272, 0.06021661
1022.15, 0.4425911, 0.061783
1022.2, 0.4433811, 0.05880686
1022.25, 0.4443291, 0.06068652
1022.3, 0.4454351, 0.061783
1022.35, 0.446383, 0.06021661
1022.4, 0.447331, 0.06068652
1022.45, 0.448279, 0.05912013
1022.5, 0.4492269, 0.05974669
1022.55, 0.4501749, 0.06131308
1022.6, 0.4511229, 0.05912013
1022.65, 0.4522289, 0.06068652
1022.7, 0.4533348, 0.06005996
1022.75, 0.4542828, 0.06084317
1022.8, 0.4553888, 0.06005996
1022.85, 0.4563367, 0.0609998
1022.9, 0.4574427, 0.06193964
1022.95, 0.4585487, 0.061783
1023, 0.4594967, 0.06115644
1023.05, 0.4606026, 0.06193964
1023.1, 0.4615506, 0.06005996
1023.15, 0.4621826, 0.06209628
1023.2, 0.4632886, 0.061783
1023.25, 0.4642365, 0.061783
1023.3, 0.4651845, 0.06225292
1023.35, 0.4662905, 0.06272284
1023.4, 0.4672385, 0.06303611
1023.45, 0.4683444, 0.06303611
1023.5, 0.4694504, 0.06193964
1023.55, 0.4702404, 0.06209628
1023.6, 0.4713463, 0.061783
1023.65, 0.4722943, 0.06303611
1023.7, 0.4735583, 0.06131308
1023.75, 0.4746643, 0.06287947
1023.8, 0.4756122, 0.06146972
1023.85, 0.4765602, 0.06225292
1023.9, 0.4775082, 0.061783
1023.95, 0.4784561, 0.06209628
1024, 0.4794042, 0.06115644
1024.05, 0.4803521, 0.06303611
1024.1, 0.4814581, 0.06287947
1024.15, 0.4825641, 0.06475915
1024.2, 0.483354, 0.0609998
1024.25, 0.484302, 0.06428923
1024.3, 0.48525, 0.06507242
1024.35, 0.4863559, 0.06303611
1024.4, 0.4873039, 0.06413259
