Experiment:, Cathode characterisation
Start date:, ?tvrtek 27. dubna 2023
Start time:, 15:46:23 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
1347.55, 0.05101758, -0.6831933
1347.65, 0.05286444, -0.4007728
1347.7, 0.05392204, -0.3226098
1347.75, 0.05479023, -0.2944147
1347.8, 0.05586362, -0.2383378
1347.85, 0.05688965, -0.2106127
1347.9, 0.0578999, -0.189623
1348, 0.05985726, -0.1589217
1348.05, 0.06086751, -0.1337028
1348.1, 0.06192511, -0.1119299
1348.15, 0.06293536, -0.1009652
1348.2, 0.06392983, -0.08906061
1348.3, 0.0658714, -0.0769994
1348.35, 0.06689743, -0.05506989
1348.4, 0.06786033, -0.05475661
1348.45, 0.06888636, -0.03376696
1348.5, 0.06992818, -0.02765802
1348.55, 0.07089107, -0.02076589
1348.6, 0.07196446, -0.01215073
1348.65, 0.07302207, 0.002729997
1348.7, 0.07395339, -0.008861309
1348.75, 0.07494786, 0.008838929
1348.85, 0.07685786, 0.003983112
1348.9, 0.07783654, 0.01087524
1348.95, 0.07890993, 0.02810556
1349, 0.0799991, 0.02951531
1349.1, 0.08197224, 0.04032342
1349.15, 0.08282464, 0.02011696
1349.2, 0.08415059, 0.06131308
1349.25, 0.08522398, 0.04455268
1349.3, 0.08613952, 0.03405785
1349.35, 0.08689721, 0.02982859
1349.45, 0.08883877, 0.04329957
1349.5, 0.09003845, 0.06350603
1349.55, 0.0910487, 0.0537944
1349.6, 0.09190109, 0.04643235
1349.65, 0.09283242, 0.05520415
1349.7, 0.09389003, 0.06397595
1349.75, 0.09490027, 0.06225292
1349.8, 0.09581581, 0.05520415
1349.85, 0.09668399, 0.05912013
1349.9, 0.09780474, 0.06867513
1350, 0.09969895, 0.06663882
1350.05, 0.1006619, 0.06131308
1350.1, 0.1016563, 0.07165127
1350.15, 0.1026192, 0.07243447
1350.2, 0.1037557, 0.07462742
1350.3, 0.1057447, 0.07196455
1350.35, 0.1066918, 0.07431415
1350.4, 0.1076389, 0.06757865
1350.45, 0.1085386, 0.07102472
1350.5, 0.1095647, 0.07572389
1350.6, 0.1116167, 0.08277266
1350.65, 0.1125796, 0.07165127
1350.7, 0.1134952, 0.07447078
1350.75, 0.1145054, 0.07666373
1350.8, 0.1155946, 0.0741575
1350.85, 0.1166522, 0.0813629
1350.9, 0.1175362, 0.0749407
1350.95, 0.1184991, 0.07760356
1351, 0.119604, 0.08496562
1351.05, 0.1205511, 0.06820521
1351.15, 0.1226505, 0.08559217
1351.2, 0.1237082, 0.0813629
1351.25, 0.1245448, 0.07149464
1351.3, 0.1256971, 0.08700192
1351.4, 0.1277491, 0.07760356
1351.45, 0.1286963, 0.08277266
1351.5, 0.1296118, 0.07509734
1351.55, 0.1305905, 0.08324257
1351.6, 0.1318217, 0.08825504
1351.65, 0.132753, 0.07619382
1351.7, 0.1337791, 0.08496562
1351.8, 0.1357522, 0.07572389
1351.85, 0.1367467, 0.08355586
1351.9, 0.1377411, 0.08261602
1351.95, 0.1387988, 0.07916996
1352, 0.1397459, 0.08120627
1352.05, 0.1407719, 0.08480898
1352.1, 0.1416401, 0.07400087
1352.15, 0.142745, 0.08747184
1352.2, 0.1437711, 0.07697701
1352.3, 0.1456968, 0.07666373
1352.35, 0.1467387, 0.08339922
1352.4, 0.1477332, 0.07384422
1352.45, 0.1487907, 0.08606208
1352.5, 0.1498957, 0.0793266
1352.6, 0.1518531, 0.07400087
1352.65, 0.152816, 0.07963987
1352.7, 0.1538262, 0.07729029
1352.75, 0.1548365, 0.07635045
1352.8, 0.1557362, 0.07274775
1352.9, 0.1578199, 0.08292931
1352.95, 0.1587985, 0.07400087
1353, 0.1597299, 0.07697701
1353.05, 0.1607085, 0.07290439
1353.1, 0.1615925, 0.07071144
1353.15, 0.1626343, 0.0777602
1353.2, 0.1636446, 0.0777602
1353.25, 0.1646548, 0.07572389
1353.3, 0.1657282, 0.0777602
1353.35, 0.1666911, 0.07165127
1353.45, 0.1686011, 0.06961497
1353.5, 0.169564, 0.07039816
1353.55, 0.1706058, 0.07729029
1353.6, 0.171695, 0.07008488
1353.7, 0.1736524, 0.0777602
1353.75, 0.1745205, 0.0661689
1353.8, 0.1755308, 0.07619382
1353.85, 0.1765726, 0.0741575
1353.9, 0.1775828, 0.07306103
1353.95, 0.1786878, 0.07368759
