Experiment:, Cathode characterisation
Start date:, ?ter? 23. kv?tna 2023
Start time:, 13:17:04 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
347.55, 0.05062295, -0.5259275
347.65, 0.0525961, -0.2732684
347.7, 0.05362213, -0.2041905
347.75, 0.05474287, -0.1493667
347.8, 0.05564263, -0.1349559
347.85, 0.05654238, -0.1233646
347.9, 0.05753684, -0.09344652
348, 0.05963627, -0.05961243
348.05, 0.06067809, -0.05413006
348.1, 0.06164098, -0.0519371
348.15, 0.06260387, -0.04065908
348.2, 0.06366148, -0.0287545
348.25, 0.06467173, -0.01951278
348.3, 0.06572933, -0.01293393
348.4, 0.0675604, -0.009174587
348.45, 0.06864958, 0.00868229
348.5, 0.06967562, 0.01667089
348.55, 0.07068587, 0.01886384
348.6, 0.07168032, 0.02810556
348.65, 0.07270636, 0.03327465
348.7, 0.07365347, 0.02841884
348.8, 0.0757529, 0.05771038
348.85, 0.0767, 0.05019169
348.9, 0.07774182, 0.05614398
348.95, 0.07862579, 0.05410768
349, 0.07957289, 0.05583071
349.05, 0.08061472, 0.06115644
349.1, 0.08157761, 0.05645727
349.2, 0.08353497, 0.06820521
349.25, 0.08456101, 0.06679546
349.3, 0.0856344, 0.07039816
349.35, 0.08662885, 0.07102472
349.4, 0.08756018, 0.06663882
349.5, 0.08965961, 0.07885668
349.55, 0.090733, 0.07509734
349.6, 0.09172747, 0.07682038
349.65, 0.09275349, 0.07541062
349.7, 0.09373217, 0.0721212
349.75, 0.09469506, 0.07666373
349.9, 0.0977416, 0.07603717
349.95, 0.09886234, 0.08230274
350, 0.09991995, 0.07885668
350.05, 0.1008828, 0.08057971
350.1, 0.1017984, 0.07744693
350.15, 0.1027928, 0.08057971
350.2, 0.1038347, 0.08057971
350.3, 0.1057447, 0.08151954
350.35, 0.1067391, 0.07995315
350.4, 0.1076704, 0.07948323
350.45, 0.1087123, 0.08261602
350.5, 0.1096278, 0.08026644
350.55, 0.1107328, 0.0837125
350.65, 0.1127375, 0.07979652
350.7, 0.113653, 0.08120627
350.75, 0.1146001, 0.08057971
350.8, 0.1157367, 0.08198947
350.85, 0.1167469, 0.08292931
350.9, 0.1177572, 0.08480898
350.95, 0.1189726, 0.0873152
351, 0.1199355, 0.08214611
351.1, 0.121956, 0.08433905
351.15, 0.1227926, 0.08198947
351.2, 0.1236292, 0.0813629
351.25, 0.1246237, 0.08559217
351.3, 0.1256497, 0.08355586
351.35, 0.1266758, 0.0873152
351.4, 0.1276702, 0.08841167
351.5, 0.1296592, 0.08684529
351.6, 0.131727, 0.08841167
351.65, 0.1325794, 0.08700192
351.7, 0.1336528, 0.0873152
351.8, 0.1354997, 0.08527889
351.85, 0.1363678, 0.08668865
351.9, 0.1373939, 0.08856832
351.95, 0.1384673, 0.086532
352, 0.139367, 0.08715856
352.05, 0.1404404, 0.08684529
352.1, 0.1414191, 0.08668865
352.15, 0.1423978, 0.0873152
352.2, 0.1434396, 0.08621872
352.3, 0.1455706, 0.08621872
352.35, 0.1463756, 0.08527889
352.4, 0.1475753, 0.08590545
352.45, 0.1485224, 0.08465233
352.55, 0.1507481, 0.08825504
352.6, 0.1517899, 0.0873152
352.65, 0.1526265, 0.08512225
352.7, 0.1536368, 0.08637536
352.75, 0.1545681, 0.08496562
352.8, 0.1553889, 0.08778512
352.85, 0.1563834, 0.08606208
352.9, 0.1573936, 0.08794177
353, 0.1594457, 0.09076127
353.05, 0.1605191, 0.08825504
353.1, 0.1614189, 0.086532
353.15, 0.1624923, 0.08825504
353.2, 0.1634551, 0.0888816
353.25, 0.164639, 0.08919487
353.3, 0.1656808, 0.08762848
353.35, 0.1665806, 0.08825504
353.45, 0.1686642, 0.08841167
353.55, 0.1706374, 0.08715856
353.6, 0.1715845, 0.08872496
353.65, 0.1726263, 0.08668865
353.7, 0.1735734, 0.08950816
353.8, 0.1757044, 0.08856832
353.85, 0.1766357, 0.08559217
353.9, 0.1776776, 0.086532
353.95, 0.1784984, 0.08684529
354, 0.1796981, 0.08903823
354.1, 0.1817028, 0.08856832
