Experiment:, Cathode characterisation
Start date:, st?eda 21. ?ervna 2023
Start time:, 11:30:00 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
1347.55, 0.05030725, -0.576522
1347.65, 0.05246981, -0.204817
1347.7, 0.05349585, -0.1390285
1347.75, 0.05458502, -0.07872242
1347.8, 0.05565841, -0.06290185
1347.85, 0.05668445, -0.04927424
1347.9, 0.05761577, -0.03329703
1348, 0.05957313, -0.003222294
1348.05, 0.06055181, 0.003356554
1348.1, 0.06143577, 0.01024868
1348.15, 0.06231974, 0.01056196
1348.2, 0.06336156, 0.04878194
1348.25, 0.06445073, 0.08057971
1348.35, 0.06653437, 0.07306103
1348.4, 0.06743412, 0.06272284
1348.45, 0.06850751, 0.09373742
1348.5, 0.06947041, 0.08919487
1348.55, 0.07040174, 0.08355586
1348.6, 0.0713962, 0.113004
1348.65, 0.07250116, 0.1228723
1348.7, 0.07357455, 0.113004
1348.8, 0.07545298, 0.1219325
1348.85, 0.07644744, 0.1236555
1348.9, 0.07733142, 0.120836
1348.95, 0.07821538, 0.1335238
1349, 0.07939927, 0.1549834
1349.05, 0.08053579, 0.1493444
1349.15, 0.0824458, 0.137753
1349.2, 0.0835034, 0.1499709
1349.25, 0.08460836, 0.1620321
1349.3, 0.08568174, 0.1559232
1349.35, 0.08659729, 0.1432354
1349.4, 0.08744969, 0.1462116
1349.45, 0.08841258, 0.1609357
1349.55, 0.09033837, 0.1640684
1349.6, 0.09139597, 0.166888
1349.65, 0.09242201, 0.1736234
1349.7, 0.09355853, 0.1723703
1349.75, 0.09458457, 0.1717438
1349.8, 0.09556325, 0.1684543
1349.85, 0.09649457, 0.1722137
1349.9, 0.09748904, 0.1682977
1350, 0.0993359, 0.1693942
1350.05, 0.1003146, 0.1773828
1350.1, 0.101388, 0.1783226
1350.15, 0.1023824, 0.1773828
1350.25, 0.1042451, 0.1695508
1350.3, 0.1052869, 0.1914803
1350.35, 0.1063129, 0.1797324
1350.4, 0.1072758, 0.1809855
1350.45, 0.1083019, 0.1825519
1350.5, 0.1093437, 0.1889741
1350.55, 0.110275, 0.1814554
1350.65, 0.1122639, 0.1896006
1350.7, 0.1132742, 0.1861546
1350.75, 0.1143002, 0.1828652
1350.8, 0.1153262, 0.1861546
1350.85, 0.116447, 0.1977459
1350.9, 0.1174099, 0.1806722
1350.95, 0.1182939, 0.1842749
1351.05, 0.1203301, 0.1874077
1351.1, 0.121372, 0.1928901
1351.15, 0.1224769, 0.198999
1351.2, 0.1234556, 0.1875643
1351.25, 0.1244343, 0.1955529
1351.3, 0.1254129, 0.187721
1351.4, 0.127465, 0.1946131
1351.45, 0.1284911, 0.1910104
1351.5, 0.1296592, 0.2008787
1351.55, 0.1304958, 0.1853714
1351.6, 0.131506, 0.1985291
1351.65, 0.1325005, 0.1913237
1351.7, 0.133416, 0.1874077
1351.8, 0.1354839, 0.1958662
1351.85, 0.1363994, 0.189444
1351.9, 0.1374728, 0.1963361
1351.95, 0.1384515, 0.1942998
1352, 0.1394617, 0.1896006
1352.05, 0.1405351, 0.2040115
1352.1, 0.1415454, 0.19336
1352.15, 0.1424451, 0.1881909
1352.2, 0.1434238, 0.1997822
1352.3, 0.1455074, 0.1932034
1352.35, 0.1465335, 0.1988423
1352.4, 0.1477332, 0.1928901
1352.45, 0.1488065, 0.1939865
1352.5, 0.1495958, 0.1842749
1352.6, 0.1516005, 0.1949264
1352.65, 0.1526739, 0.1908538
1352.7, 0.1537631, 0.1982158
