Experiment:, Cathode characterisation
Start date:, st?eda 20. z??? 2023
Start time:, 14:18:47 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
1232.55, 0.05059613, -1.577278
1232.65, 0.05302474, -1.546001
1232.7, 0.05302474, -1.561639
1232.8, 0.0522152, -1.561639
1232.85, 0.05302474, -1.546001
1232.9, 0.05545335, -1.514723
1233, 0.06273919, -1.42089
1233.05, 0.05828673, -1.483445
1233.1, 0.05626289, -1.546001
1233.15, 0.05909628, -1.514723
1233.2, 0.06638212, -1.405252
1233.25, 0.06516781, -1.42089
1233.3, 0.05950104, -1.530362
1233.4, 0.1179099, -0.701509
1233.45, 0.0643494, -1.483445
1233.5, 0.0680012, -1.436529
1233.55, 0.0797395, -1.264503
1233.6, 0.06516781, -1.483445
1233.65, 0.07002504, -1.452168
1233.75, 0.06678689, -1.483445
1233.8, 0.09512072, -1.076838
1233.85, 0.07730504, -1.170671
1233.9, 0.08095381, -1.295781
1233.95, 0.08257288, -1.264503
1234, 0.09831847, -1.045561
1234.1, 0.09188257, -1.170671
1234.15, 0.06766731, -1.499084
1234.2, 0.09107303, -1.201948
1234.25, 0.08297765, -1.31142
1234.3, 0.08985873, -1.217587
1234.35, 0.08141293, -1.389613
1234.45, 0.1396453, -0.5138441
1234.5, 0.08135857, -1.389613
1234.55, 0.08504684, -1.327058
1234.6, 0.09754933, -1.139394
1234.65, 0.08394086, -1.373974
1234.7, 0.09228734, -1.233226
1234.75, 0.08852273, -1.280142
1234.8, 0.1275022, -0.7484252
1234.85, 0.08945395, -1.295781
1234.95, 0.1044304, -1.092477
1235, 0.1114321, -1.045561
1235.05, 0.09863446, -1.217587
1235.1, 0.1064543, -1.155032
1235.15, -0.2721815, -7.316691
1235.2, 0.1036903, -1.170671
1235.25, 0.1051123, -1.155032
1235.35, 0.1092876, -1.092477
1235.4, 0.1103261, -1.108116
1235.45, 0.1084302, -1.139394
1235.5, 0.1090622, -1.155032
1235.55, 0.1100101, -1.123755
1235.7, 0.1122221, -1.108116
1235.8, 0.1136441, -1.123755
1235.85, 0.114592, -1.108116
1235.9, 0.116014, -1.092477
1236.05, 0.1229658, -1.014284
1236.1, 0.1193319, -1.076838
1236.15, 0.1185419, -1.092477
1236.2, 0.1212278, -1.076838
1236.25, 0.1270737, -0.9986448
1236.3, 0.1291276, -0.9673675
1236.35, 0.1220178, -1.092477
1236.45, 0.1333935, -0.9517286
1236.5, 0.1289696, -1.014284
1236.55, 0.1254937, -1.092477
1236.6, 0.1363954, -0.9360899
1236.65, 0.1307076, -1.014284
1236.75, 0.1409773, -0.8891737
1236.8, 0.1286536, -1.076838
1236.85, 0.1416093, -0.9048126
1236.9, 0.1327615, -1.029922
1236.95, 0.1409773, -0.9517286
1237, 0.1367114, -0.9830062
1237.05, 0.1423993, -0.9360899
1237.1, 0.1381334, -0.9830062
1237.2, 0.1373434, -1.029922
1237.25, 0.1504571, -0.8578964
1237.3, 0.1384494, -1.045561
1237.35, 0.1493511, -0.8891737
1237.4, 0.1493511, -0.9204513
1237.45, 0.1425573, -0.9986448
1237.5, 0.153459, -0.8578964
1237.6, 0.1455592, -0.9986448
1237.65, 0.1550389, -0.8578964
