Experiment:, Cathode characterisation
Start date:, p?tek 27. ??jna 2023
Start time:, 13:32:07 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
526.05, 0.4005643, 0.04439604
526.1, 0.4013543, 0.04423941
526.15, 0.4024602, 0.0450226
526.2, 0.4032502, 0.04361285
526.25, 0.4041982, 0.04486596
526.3, 0.4053041, 0.04392612
526.35, 0.4064101, 0.04423941
526.4, 0.4073581, 0.04596243
526.45, 0.4083061, 0.04596243
526.5, 0.409254, 0.0450226
526.55, 0.410202, 0.04533588
526.6, 0.411308, 0.04533588
526.65, 0.412256, 0.0478421
526.7, 0.4133619, 0.04596243
526.75, 0.4143099, 0.0458058
526.8, 0.4152579, 0.04486596
526.85, 0.4162059, 0.04627572
526.9, 0.4173118, 0.04893858
526.95, 0.4182598, 0.04878194
527, 0.4193658, 0.04878194
527.05, 0.4203137, 0.04658899
527.1, 0.4212617, 0.04690227
527.15, 0.4223677, 0.04549251
527.2, 0.4234737, 0.04643235
527.25, 0.4244216, 0.04658899
527.3, 0.4253696, 0.04658899
527.35, 0.4263176, 0.04737219
527.4, 0.4272656, 0.04690227
527.45, 0.4283715, 0.04643235
527.5, 0.4293195, 0.04878194
527.55, 0.4304255, 0.04627572
527.6, 0.4313734, 0.04564916
527.65, 0.4323214, 0.04737219
527.7, 0.4332694, 0.04643235
527.75, 0.4342174, 0.04690227
527.8, 0.4353233, 0.04674564
527.85, 0.4364293, 0.0478421
527.9, 0.4373773, 0.04752883
527.95, 0.4383253, 0.04815539
528, 0.4392732, 0.04752883
528.05, 0.4402212, 0.04705891
528.1, 0.4411692, 0.04721555
528.15, 0.4422751, 0.04925186
528.2, 0.4432231, 0.05097489
528.25, 0.4441711, 0.04831202
528.3, 0.4451191, 0.05050497
528.35, 0.446225, 0.04909522
528.4, 0.447173, 0.04878194
528.45, 0.448121, 0.04721555
528.5, 0.4492269, 0.04690227
528.55, 0.4500169, 0.04815539
528.6, 0.4511229, 0.05050497
528.65, 0.4522289, 0.04956514
528.7, 0.4530188, 0.0486253
528.75, 0.4541248, 0.0486253
528.8, 0.4552308, 0.04878194
528.85, 0.4561788, 0.05081825
528.9, 0.4572847, 0.04925186
528.95, 0.4582327, 0.04878194
529, 0.4591807, 0.04831202
529.05, 0.4602866, 0.04721555
529.1, 0.4612346, 0.0494085
529.15, 0.4620246, 0.05034833
529.2, 0.4631306, 0.04831202
529.25, 0.4640785, 0.05144481
529.3, 0.4650265, 0.04972177
529.35, 0.4661325, 0.05097489
529.4, 0.4672385, 0.05050497
529.45, 0.4681864, 0.04909522
529.5, 0.4691344, 0.04909522
529.55, 0.4702404, 0.04987842
529.6, 0.4710304, 0.04831202
529.65, 0.4719783, 0.05003506
529.7, 0.4730843, 0.04987842
529.75, 0.4740323, 0.04909522
529.8, 0.4752962, 0.05128817
529.85, 0.4762442, 0.0494085
529.9, 0.4771922, 0.05081825
529.95, 0.4781401, 0.05113153
530, 0.4789301, 0.04972177
530.05, 0.4800361, 0.05050497
530.1, 0.4809841, 0.05019169
530.15, 0.4820901, 0.05050497
530.2, 0.483038, 0.04956514
530.25, 0.483986, 0.05050497
530.3, 0.484934, 0.05113153
530.35, 0.485882, 0.05207136
530.4, 0.4866719, 0.05113153
530.45, 0.4877779, 0.05128817
530.5, 0.4888839, 0.05113153
530.55, 0.4898318, 0.05222801
530.6, 0.4907798, 0.05128817
530.65, 0.4918858, 0.05019169
530.7, 0.4926758, 0.05097489
530.75, 0.4937817, 0.05097489
530.8, 0.4948877, 0.05285456
530.85, 0.4959937, 0.05222801
530.9, 0.4969417, 0.04987842
530.95, 0.4980476, 0.04925186
531, 0.4989956, 0.05207136
531.05, 0.5001016, 0.05081825
531.1, 0.5010495, 0.05003506
531.15, 0.5018395, 0.05144481
531.2, 0.5029455, 0.05175809
531.25, 0.5038934, 0.05316784
531.3, 0.5048414, 0.05269792
531.35, 0.5059474, 0.05348112
531.4, 0.5068954, 0.05175809
531.45, 0.5078434, 0.05238464
531.5, 0.5089493, 0.05207136
531.55, 0.5098973, 0.05316784
531.6, 0.5108452, 0.05175809
531.65, 0.5119512, 0.05050497
531.7, 0.5128992, 0.05003506
531.75, 0.5140052, 0.05254128
531.8, 0.5154272, 0.05254128
531.85, 0.5170071, 0.05504751
531.9, 0.5179551, 0.05191473
531.95, 0.519219, 0.05207136
532, 0.520009, 0.05191473
532.05, 0.521115, 0.05238464
532.1, 0.522221, 0.05144481
532.15, 0.5231689, 0.05207136
532.2, 0.5241169, 0.05222801
532.25, 0.5252228, 0.05316784
532.3, 0.5263288, 0.05191473
532.35, 0.5272768, 0.05144481
532.4, 0.5283828, 0.05316784
532.45, 0.5293308, 0.05113153
532.5, 0.5302787, 0.05285456
532.55, 0.5313847, 0.05410768
532.6, 0.5323327, 0.05222801
532.65, 0.5334386, 0.05363776
532.7, 0.5343866, 0.0537944
532.75, 0.5353346, 0.05285456
532.8, 0.5362825, 0.05504751
532.85, 0.5373886, 0.05473424
532.9, 0.5383365, 0.0545776
532.95, 0.5392845, 0.0545776
533, 0.5402325, 0.05551743
533.05, 0.5411804, 0.05426432
533.1, 0.5421284, 0.05426432
533.15, 0.5432344, 0.0566139
533.2, 0.5441824, 0.05504751
533.25, 0.5452883, 0.05504751
533.3, 0.5462363, 0.05614398
533.35, 0.5471843, 0.05489087
533.4, 0.5481322, 0.0545776
533.45, 0.5490802, 0.05489087
533.5, 0.5498702, 0.05614398
533.55, 0.5509762, 0.05692719
533.6, 0.5520822, 0.05630063
533.65, 0.5531881, 0.05677054
533.7, 0.5539781, 0.0566139
533.75, 0.555084, 0.05598735
533.8, 0.5561901, 0.05708382
533.85, 0.557138, 0.05614398
533.9, 0.558086, 0.05583071
533.95, 0.5591919, 0.05645727
534, 0.5599819, 0.05724046
534.05, 0.5610879, 0.05818029
534.1, 0.5620359, 0.05598735
534.15, 0.5629839, 0.05645727
534.2, 0.5640898, 0.05724046
534.25, 0.5650378, 0.05708382
534.3, 0.5659857, 0.05708382
534.35, 0.5669338, 0.05677054
534.4, 0.5678818, 0.05818029
534.45, 0.5688297, 0.05724046
534.5, 0.5699357, 0.05677054
534.55, 0.5707256, 0.05645727
534.6, 0.5716736, 0.05677054
534.65, 0.5727795, 0.05692719
534.7, 0.5738856, 0.05692719
534.75, 0.5746756, 0.0573971
534.8, 0.5757815, 0.05849357
534.85, 0.5768875, 0.05927677
534.9, 0.5779935, 0.05786702
534.95, 0.5789415, 0.05598735
535, 0.5798894, 0.05724046
535.05, 0.5809954, 0.05833694
535.1, 0.5817853, 0.05849357
535.15, 0.5828913, 0.05755374
535.2, 0.5838392, 0.05927677
535.25, 0.5849453, 0.05959005
535.3, 0.5858933, 0.05724046
535.35, 0.5868412, 0.05974669
535.4, 0.5877892, 0.05912013
535.45, 0.5888951, 0.06068652
535.5, 0.5898432, 0.0573971
535.55, 0.5906332, 0.0589635
535.6, 0.5918971, 0.0589635
535.65, 0.592845, 0.05865022
535.7, 0.593793, 0.06005996
535.75, 0.5948989, 0.06021661
535.8, 0.596005, 0.06209628
535.85, 0.596953, 0.05849357
535.9, 0.5979009, 0.0589635
535.95, 0.5988489, 0.0573971
536, 0.5997968, 0.05912013
536.05, 0.6009029, 0.05943341
536.1, 0.6018508, 0.05943341
536.15, 0.6029568, 0.05912013
536.2, 0.6039047, 0.0589635
536.25, 0.6050107, 0.05974669
536.3, 0.6059586, 0.06005996
536.35, 0.6069067, 0.05959005
536.4, 0.6078547, 0.06084317
536.45, 0.6089606, 0.06021661
536.5, 0.6099086, 0.05959005
536.55, 0.6108565, 0.06021661
536.6, 0.6119625, 0.06146972
536.65, 0.6129105, 0.06052989
536.7, 0.6138585, 0.06005996
536.75, 0.6148065, 0.06052989
536.8, 0.6159124, 0.05959005
536.85, 0.6168604, 0.06131308
536.9, 0.6179664, 0.061783
536.95, 0.6192303, 0.06146972
537, 0.6201783, 0.06131308
537.05, 0.6211263, 0.05912013
537.1, 0.6220742, 0.06115644
537.15, 0.6230222, 0.06052989
537.2, 0.6239702, 0.0609998
537.25, 0.6249182, 0.06115644
537.3, 0.6260241, 0.06146972
537.35, 0.6269721, 0.06068652
537.4, 0.6279201, 0.061783
537.45, 0.628868, 0.05974669
537.5, 0.6298161, 0.06084317
537.55, 0.630922, 0.06068652
537.6, 0.63187, 0.05990333
537.65, 0.6328179, 0.06005996
537.7, 0.6339239, 0.06037325
537.75, 0.634872, 0.06146972
537.8, 0.6359779, 0.06225292
537.85, 0.6369259, 0.06209628
537.9, 0.6378738, 0.06115644
537.95, 0.6388218, 0.06146972
538, 0.6399277, 0.06146972
538.05, 0.6408758, 0.061783
538.1, 0.6419817, 0.061783
538.15, 0.6429297, 0.06240956
538.2, 0.6438776, 0.06240956
538.25, 0.6449836, 0.06240956
538.3, 0.6459317, 0.06084317
538.35, 0.6468796, 0.06115644
538.4, 0.6478276, 0.061783
538.45, 0.6487755, 0.06350603
