Experiment:, Cathode characterisation
Start date:, ?tvrtek 1. ?nora 2024
Start time:, 15:55:49 +01:00
Time (s), Voltage (V), Current Density (A/cm2)
1347.55, 0.05104915, -0.5724494
1347.65, 0.05302229, -0.3587934
1347.7, 0.05395361, -0.3119583
1347.75, 0.05497965, -0.2738949
1347.8, 0.05610039, -0.2312891
1347.85, 0.05709486, -0.2196978
1347.9, 0.05799461, -0.2065401
1348, 0.05999932, -0.1578252
1348.05, 0.06107271, -0.1347993
1348.1, 0.06206718, -0.1294736
1348.15, 0.06306164, -0.1186654
1348.2, 0.06399296, -0.1133397
1348.25, 0.06498743, -0.09642266
1348.35, 0.06707107, -0.05757612
1348.4, 0.06801818, -0.0571062
1348.45, 0.06899685, -0.05882924
1348.5, 0.06984925, -0.05381678
1348.55, 0.07071743, -0.04802113
1348.6, 0.07191711, -0.0287545
1348.65, 0.07281686, -0.03141736
1348.7, 0.0738429, -0.02154909
1348.8, 0.07594232, -0.007138276
1348.85, 0.076921, -0.006981638
1348.9, 0.07782075, -0.005258605
1348.95, 0.07892571, 0.008525651
1349, 0.07993596, 0.01024868
1349.05, 0.0808515, 0.005392865
1349.15, 0.08293513, 0.0187072
1349.2, 0.08391381, 0.01400802
1349.25, 0.08493985, 0.02544269
1349.3, 0.08595009, 0.02418958
1349.35, 0.08697613, 0.0266958
1349.4, 0.0879706, 0.03045515
1349.5, 0.08999109, 0.03076843
1349.55, 0.09101713, 0.03562424
1349.6, 0.09209052, 0.03672072
1349.65, 0.09303763, 0.03499769
1349.7, 0.09400052, 0.03405785
1349.75, 0.09491606, 0.03734728
1349.8, 0.09592631, 0.04126326
1349.85, 0.09707862, 0.04752883
1349.95, 0.0991149, 0.04188982
1350, 0.1001409, 0.05050497
1350.05, 0.1011196, 0.04658899
1350.1, 0.1021299, 0.0494085
1350.15, 0.1031717, 0.04658899
1350.25, 0.1051606, 0.05128817
1350.3, 0.1061077, 0.0458058
1350.35, 0.1070706, 0.05175809
1350.4, 0.1081914, 0.05191473
1350.45, 0.10917, 0.05222801
1350.5, 0.1101803, 0.04956514
1350.6, 0.1120429, 0.04846866
1350.65, 0.113069, 0.05222801
1350.7, 0.1139845, 0.05222801
1350.75, 0.1150105, 0.05254128
1350.8, 0.1160681, 0.05520415
1350.85, 0.1170784, 0.05269792
1350.9, 0.1181044, 0.05160145
1350.95, 0.1190042, 0.05097489
1351, 0.1199355, 0.0537944
1351.1, 0.1218929, 0.05536079
1351.15, 0.1228558, 0.05160145
1351.2, 0.1239449, 0.05348112
1351.25, 0.1248605, 0.0537944
1351.3, 0.1258707, 0.05442095
1351.35, 0.1269915, 0.05974669
1351.4, 0.1279701, 0.0537944
1351.5, 0.1299275, 0.05708382
1351.55, 0.1308904, 0.05520415
1351.6, 0.1319006, 0.0573971
1351.65, 0.132974, 0.05285456
1351.7, 0.1339054, 0.05332448
1351.75, 0.1349156, 0.05536079
1351.85, 0.1369519, 0.0573971
1351.9, 0.1379464, 0.05520415
1351.95, 0.1390355, 0.05724046
1352, 0.1399511, 0.05348112
1352.05, 0.1409771, 0.0573971
1352.1, 0.1420347, 0.05677054
1352.15, 0.1431081, 0.05583071
1352.25, 0.1449392, 0.05238464
1352.3, 0.1460126, 0.05583071
1352.35, 0.1469439, 0.05207136
1352.4, 0.1479699, 0.05708382
1352.45, 0.1490117, 0.05316784
1352.5, 0.1500062, 0.05426432
1352.55, 0.1510796, 0.05645727
1352.65, 0.1530527, 0.05081825
1352.7, 0.154063, 0.05755374
1352.75, 0.155089, 0.05160145
1352.8, 0.1559572, 0.05097489
1352.85, 0.1569832, 0.05551743
1352.9, 0.1580724, 0.05316784
1353, 0.1600298, 0.05191473
1353.05, 0.1610716, 0.05551743
1353.1, 0.1619871, 0.05285456
1353.15, 0.16295, 0.0530112
1353.2, 0.1640076, 0.05520415
1353.25, 0.1650337, 0.05332448
1353.3, 0.1659808, 0.05551743
1353.35, 0.1669752, 0.05285456
1353.45, 0.1690431, 0.05520415
1353.5, 0.1700375, 0.05316784
1353.55, 0.1710636, 0.0530112
1353.6, 0.1719318, 0.05128817
1353.7, 0.1739996, 0.05520415
1353.75, 0.1749783, 0.05191473
1353.8, 0.1760043, 0.05630063
1353.85, 0.1768883, 0.05019169
1353.9, 0.177867, 0.05097489
1353.95, 0.1789246, 0.05473424
1354, 0.1799822, 0.05489087
1354.05, 0.1810872, 0.05254128
1354.15, 0.1831866, 0.05598735
1354.2, 0.184039, 0.04831202
1354.25, 0.1850966, 0.05332448
1354.3, 0.1861542, 0.05598735
1354.35, 0.1872276, 0.05254128
1354.4, 0.1882062, 0.05332448
1354.5, 0.1901794, 0.05254128
1354.55, 0.1911581, 0.05222801
1354.6, 0.1920578, 0.05285456
1354.65, 0.1931154, 0.05316784
1354.7, 0.1940625, 0.05160145
1354.75, 0.1949149, 0.05081825
1354.85, 0.1969039, 0.05410768
1354.9, 0.197993, 0.05724046
1354.95, 0.1989717, 0.05222801
1355, 0.199903, 0.05050497
1355.05, 0.2008975, 0.05175809
1355.1, 0.2020025, 0.05708382
1355.15, 0.2030285, 0.0545776
1355.2, 0.2039914, 0.05191473
1355.25, 0.2049701, 0.05504751
1355.35, 0.2068643, 0.05254128
1355.4, 0.2078903, 0.05269792
1355.45, 0.2089637, 0.05583071
1355.5, 0.2099108, 0.0537944
1355.65, 0.2130047, 0.05316784
1355.7, 0.2139834, 0.05645727
1355.75, 0.215041, 0.05254128
1355.8, 0.2159407, 0.05207136
1355.85, 0.2170773, 0.05755374
1355.9, 0.2181033, 0.05504751
1356, 0.2200765, 0.05645727
1356.05, 0.2211341, 0.05332448
1356.1, 0.2220812, 0.05332448
1356.15, 0.2230283, 0.05348112
1356.2, 0.2240701, 0.05504751
1356.25, 0.2250172, 0.05395104
1356.3, 0.2259959, 0.0537944
1356.35, 0.2271008, 0.05583071
1356.4, 0.2280637, 0.05081825
1356.45, 0.2289951, 0.05410768
1356.55, 0.2309998, 0.0537944
1356.6, 0.2319942, 0.05222801
1356.65, 0.233115, 0.05426432
1356.7, 0.2341094, 0.04987842
1356.8, 0.2359879, 0.05489087
1356.85, 0.2371402, 0.05019169
1356.9, 0.2381347, 0.05191473
1356.95, 0.2391291, 0.04815539
1357, 0.2401078, 0.04987842
1357.05, 0.241118, 0.05222801
1357.1, 0.2422861, 0.05081825
1357.15, 0.2432175, 0.04799874
1357.25, 0.245238, 0.04815539
1357.3, 0.2461219, 0.04956514
1357.35, 0.2470848, 0.04956514
1357.4, 0.2481424, 0.04564916
1357.45, 0.2489633, 0.04909522
1357.5, 0.2500051, 0.05019169
1357.55, 0.25111, 0.0486253
1357.6, 0.252215, 0.04658899
1357.7, 0.2541566, 0.04627572
1357.75, 0.2552457, 0.04815539
1357.8, 0.2562402, 0.0486253
1357.85, 0.2572663, 0.04658899
1357.9, 0.2582449, 0.04799874
1357.95, 0.2592078, 0.04376949
1358.05, 0.2611336, 0.04314293
1358.1, 0.2621123, 0.04408276
1358.15, 0.2630594, 0.04564916
1358.2, 0.2641644, 0.04737219
1358.25, 0.2651272, 0.0450226
1358.35, 0.267132, 0.04627572
1358.4, 0.2681106, 0.04329957
1358.45, 0.2691524, 0.04533588
1358.5, 0.2701469, 0.04423941
1358.55, 0.2710467, 0.04314293
1358.6, 0.2720885, 0.04267301
1358.65, 0.2730671, 0.04674564
1358.7, 0.2740774, 0.0458058
1358.8, 0.276019, 0.04298629
1358.85, 0.2771713, 0.04533588
1358.9, 0.2781816, 0.04392612
1358.95, 0.2792392, 0.04361285
1359, 0.2801705, 0.04455268
1359.05, 0.2811018, 0.04267301
1359.15, 0.2830591, 0.04439604
1359.2, 0.2840852, 0.04235973
1359.25, 0.2850481, 0.04376949
1359.3, 0.2860268, 0.04392612
1359.35, 0.2870212, 0.04298629
1359.4, 0.2880315, 0.04455268
1359.45, 0.2891048, 0.04486596
1359.5, 0.2901625, 0.04157653
1359.55, 0.2910149, 0.04251637
1359.65, 0.2930512, 0.04235973
1359.7, 0.2941245, 0.04361285
1359.75, 0.2950243, 0.04329957
1359.8, 0.2960661, 0.04361285
1359.85, 0.297029, 0.04392612
1359.95, 0.29916, 0.04345621
1360, 0.3000914, 0.04126326
1360.05, 0.3010858, 0.04376949
1360.1, 0.3019697, 0.0406367
1360.15, 0.3029327, 0.04157653
1360.2, 0.3039271, 0.04157653
1360.25, 0.3049058, 0.04204645
1360.35, 0.3069105, 0.04188982
1360.4, 0.3079681, 0.04157653
1360.45, 0.3090731, 0.04094998
1360.5, 0.3100202, 0.04282965
1360.55, 0.3110936, 0.04251637
1360.6, 0.3121354, 0.04157653
1360.7, 0.3139507, 0.04126326
1360.75, 0.3154046, 0.0398535
1360.8, 0.3161946, 0.04533588
1360.85, 0.3173005, 0.04204645
1360.9, 0.3180905, 0.04267301
1361, 0.3201444, 0.04345621
1361.1, 0.3220404, 0.04251637
1361.15, 0.3231464, 0.04048006
1361.2, 0.3240943, 0.04267301
1361.25, 0.3252003, 0.04627572
1361.3, 0.3261483, 0.04298629
1361.35, 0.3270963, 0.04094998
1361.45, 0.3289922, 0.04204645
1361.5, 0.3300982, 0.04188982
1361.55, 0.3310462, 0.04314293
1361.6, 0.3323101, 0.04345621
1361.65, 0.3332581, 0.04016678
1361.7, 0.3340481, 0.04282965
1361.75, 0.335312, 0.04048006
1361.85, 0.337208, 0.04048006
1361.9, 0.3383139, 0.04235973
1361.95, 0.3392619, 0.04048006
1362, 0.3400519, 0.04032342
1362.05, 0.3413159, 0.04235973
1362.1, 0.3422638, 0.04094998
1362.15, 0.3433698, 0.03907031
1362.2, 0.3443178, 0.04235973
1362.3, 0.3460557, 0.04173318
1362.35, 0.3471617, 0.03969686
1362.4, 0.3481097, 0.04032342
1362.45, 0.3490577, 0.03907031
1362.5, 0.3500057, 0.0398535
1362.55, 0.3511116, 0.04110662
1362.65, 0.3530076, 0.04173318
1362.7, 0.3542715, 0.04048006
1362.75, 0.3550615, 0.04110662
1362.8, 0.3561675, 0.04204645
1362.85, 0.3572734, 0.0414199
1362.9, 0.3582214, 0.03844375
1362.95, 0.3590114, 0.04204645
1363, 0.3601174, 0.03891367
1363.1, 0.3621713, 0.04126326
1363.15, 0.3632773, 0.04157653
1363.2, 0.3640673, 0.03938359
1363.25, 0.3650152, 0.03907031
1363.35, 0.3669112, 0.04094998
1363.4, 0.3678592, 0.04251637
1363.45, 0.3689651, 0.0398535
1363.5, 0.3699131, 0.04001015
1363.55, 0.3710191, 0.04267301
1363.6, 0.372125, 0.04157653
1363.65, 0.373073, 0.03828711
1363.7, 0.374021, 0.04001015
1363.8, 0.3762329, 0.03907031
1363.85, 0.3770229, 0.03922695
1363.9, 0.3779709, 0.0414199
1363.95, 0.3790769, 0.03813047
1364, 0.3800248, 0.03860039
1364.05, 0.3809728, 0.04079334
1364.1, 0.3820788, 0.04188982
1364.2, 0.3839747, 0.0406367
1364.25, 0.3850807, 0.04126326
1364.3, 0.3860286, 0.04267301
1364.35, 0.3869767, 0.03907031
1364.4, 0.3879246, 0.04157653
1364.45, 0.3888726, 0.03860039
1364.55, 0.3909265, 0.04001015
1364.6, 0.3917165, 0.04032342
1364.65, 0.3928225, 0.04157653
1364.7, 0.3937705, 0.04001015
1364.75, 0.3947184, 0.03875703
1364.8, 0.3958244, 0.03969686
1364.85, 0.3967724, 0.04110662
1364.95, 0.3989843, 0.0406367
1365, 0.4000903, 0.04157653
1365.05, 0.4010383, 0.04220309
1365.1, 0.4019862, 0.04188982
1365.15, 0.4030922, 0.03828711
1365.2, 0.4040402, 0.04235973
1365.25, 0.4049881, 0.04282965
1365.35, 0.4068841, 0.03969686
1365.4, 0.4078321, 0.03891367
1365.45, 0.4089381, 0.04032342
1365.5, 0.409886, 0.04032342
1365.55, 0.410834, 0.0406367
1365.6, 0.41194, 0.0406367
1365.65, 0.4128879, 0.03860039
1365.75, 0.4149419, 0.04001015
1365.8, 0.4158899, 0.04126326
1365.85, 0.4166798, 0.04094998
1365.95, 0.4188918, 0.04204645
1366, 0.4196817, 0.04094998
1366.1, 0.4218937, 0.0414199
1366.15, 0.4229997, 0.04267301
1366.2, 0.4239476, 0.04110662
