Experiment:, EIS
Start date:, p?tek 2. z??? 2022
Start time:, 11:23:04 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
1421, 100000, 0.0001198915, 0.002223933
1421, 89125.09, -0.02080346, 0.004805431
1421, 79432.82, -0.01079212, -0.008461006
1422, 70794.57, 0.004527575, 0.005105272
1422, 63095.73, -0.003182346, -0.0007543047
1422, 56234.13, 0.000450359, -0.001753647
1422, 50118.71, -0.01963657, 0.006974392
1423, 44668.35, -0.01829071, -0.004522427
1423, 39810.71, -0.003350185, -0.0131866
1423, 35481.33, -0.003117532, 0.002546269
1423, 31622.77, 0.003542769, 0.006312288
1424, 28183.82, 0.006009127, -0.003897722
1424, 25118.85, -0.005228248, -0.006280351
1424, 22387.2, 0.002806947, 0.0005668743
1424, 19952.61, 0.004490845, -0.0001630976
1425, 17782.79, 0.004031774, -0.000637943
1425, 15848.92, 0.003570297, -0.0001437724
1425, 14125.37, 0.003819511, -0.001247839
1425, 12589.25, 0.003744601, -0.0003184241
1426, 11220.18, 0.004160471, -0.0009394746
1426, 9999.993, 0.004420969, -0.0008116888
1426, 8912.503, 0.004029931, -0.0009397858
1426, 7943.276, 0.004259459, -0.0005959806
1427, 7079.452, 0.004488004, -0.0006347841
1427, 6309.568, 0.004497394, -0.0005768886
1427, 5623.409, 0.004235021, -0.0005733121
1427, 5011.868, 0.004322651, -0.0006546038
1428, 4466.832, 0.00441624, -0.0007082591
1428, 3981.068, 0.004377929, -0.0007603877
1428, 3548.131, 0.004456722, -0.0006956299
1428, 3162.275, 0.004586172, -0.0007089024
1428, 2818.38, 0.004550349, -0.0008314723
1429, 2511.884, 0.004597882, -0.0008547474
1429, 2238.719, 0.004692876, -0.0007978336
1429, 1995.26, 0.004721273, -0.0009389999
1429, 1778.277, 0.004790979, -0.000896945
1430, 1584.891, 0.004875203, -0.0009147285
1430, 1412.536, 0.00490396, -0.0009411644
1430, 1258.924, 0.005000572, -0.0009586148
1431, 1122.017, 0.005022331, -0.00100611
1431, 999.9988, 0.005020093, -0.001140928
1431, 891.2498, 0.005195762, -0.001087786
1431, 794.3272, 0.00530526, -0.001240987
1431, 707.9448, 0.005317141, -0.00123479
1431, 630.9565, 0.005432192, -0.001261018
1431, 562.3405, 0.005526464, -0.001301199
1432, 501.1865, 0.005553319, -0.001514298
1432, 446.6829, 0.005741396, -0.001445454
1432, 398.1066, 0.005846494, -0.001348718
1432, 354.8128, 0.005949521, -0.001551923
1432, 316.2273, 0.006085434, -0.001579707
1432, 281.8378, 0.00622384, -0.001648255
1432, 251.1882, 0.006363293, -0.00171347
1433, 223.8717, 0.006506293, -0.001769954
1433, 199.5259, 0.006530442, -0.001740638
1433, 177.8276, 0.006834837, -0.001824158
1433, 158.489, 0.007012006, -0.001833142
1433, 141.2535, 0.007177485, -0.001829986
1433, 125.8923, 0.007355862, -0.001851596
1434, 112.2016, 0.00752547, -0.001843857
1434, 99.9998, 0.007799113, -0.001809356
1434, 89.12492, 0.007873406, -0.001756917
1434, 79.43266, 0.008056408, -0.001714054
1434, 70.79443, 0.00819225, -0.001663488
1434, 63.0956, 0.008343746, -0.001558
1435, 56.23401, 0.008493708, -0.001527268
1435, 50.11861, 0.008581694, -0.001441325
1435, 44.66826, 0.008717698, -0.001339289
1435, 39.81063, 0.008831324, -0.001256697
1435, 35.48126, 0.008906417, -0.001163735
1435, 31.6227, 0.008995201, -0.001109205
1435, 28.18376, 0.009032685, -0.0009992123
1436, 25.11881, 0.009109766, -0.0009246623
1436, 22.38716, 0.009175273, -0.0008743429
1436, 19.95257, 0.009246437, -0.0008345593
1436, 17.78275, 0.009221963, -0.0007616205
1436, 15.84889, 0.009259282, -0.0006918556
1436, 14.12534, 0.009299429, -0.0006217917
1437, 12.58922, 0.009301076, -0.0005913683
1437, 11.22016, 0.009326321, -0.0005125842
1437, 9.999973, 0.009301821, -0.0004413691
1437, 8.912485, 0.009272871, -0.0005079752
1437, 7.943261, 0.009390758, -0.0004785508
1438, 7.079438, 0.009400437, -0.0003351319
1438, 6.309556, 0.009383917, -0.0004074714
1438, 5.623397, 0.009398549, -0.0003293079
1438, 5.011858, 0.009425506, -0.0003670101
1439, 4.466823, 0.009397591, -0.000334032
1439, 3.98106, 0.009383228, -0.0003240463
1439, 3.548123, 0.009503068, -0.0004013595
1440, 3.162268, 0.009567959, -0.0004858605
1440, 2.818374, 0.009500042, -0.0004626274
1440, 2.511878, 0.00942334, -0.0003942398
1441, 2.238714, 0.009430083, -0.0005263708
1442, 1.995256, 0.009640848, -0.0007228203
1442, 1.778274, 0.009501084, -0.000581222
1443, 1.584888, 0.009483054, -0.0005893784
1444, 1.412533, 0.0095831, -0.0005746403
1444, 1.258921, 0.009886618, -0.0006674069
1445, 1.122015, 0.009777179, -0.0007062136
1446, 0.999997, 0.009578851, -0.0005366148
1448, 0.891248, 0.009787767, -0.0007155463
1449, 0.794325, 0.009904653, -0.001097166
1450, 0.707943, 0.009905798, -0.0006864459
1452, 0.630955, 0.01004337, -0.0008193692
1454, 0.562339, 0.0100006, -0.0009289191
1456, 0.501185, 0.01023962, -0.0008401274
1458, 0.446682, 0.01040694, -0.0008792349
1461, 0.398106, 0.01059739, -0.001109101
1464, 0.354812, 0.01007135, -0.0009355491
1467, 0.316227, 0.01074457, -0.0007423463
1470, 0.281837, 0.01089873, -0.001076723
1474, 0.251188, 0.0108705, -0.0009409683
1479, 0.223871, 0.01120651, -0.001085163
1484, 0.199525, 0.01062701, -0.000616658
1490, 0.177827, 0.01062126, -0.0008890609
1496, 0.158489, 0.01055839, -0.000701961
1503, 0.141253, 0.01074494, -0.0009234211
1511, 0.125892, 0.0109383, -0.0009785857
1520, 0.112201, 0.01182338, -0.0006431885
1530, 0.1, 0.01152963, -0.0006656569
