Experiment:, EIS
Start date:, ?tvrtek 15. z??? 2022
Start time:, 16:24:05 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
731, 100000, 0.003209139, 0.007272824
731, 89125.09, -0.01007255, -0.0006456651
731, 79432.82, 0.003379648, 0.002147349
732, 70794.57, -0.00382925, 0.002922913
732, 63095.73, 0.006363008, 0.0006813236
732, 56234.13, 0.002728441, 0.002020821
732, 50118.71, 0.004231738, -0.0008993947
733, 44668.35, 0.002392157, -0.00361394
733, 39810.71, 0.002169862, -0.0003199388
733, 35481.33, 0.003127327, 4.694077e-05
733, 31622.77, 0.003332577, -0.0003604624
734, 28183.82, 0.004006669, -0.0003695762
734, 25118.85, 0.00314791, -0.0001550318
734, 22387.2, 0.003162462, -0.0003663232
734, 19952.61, 0.00354448, -0.000259145
735, 17782.79, 0.003531657, -0.0003831417
735, 15848.92, 0.00354941, -0.0003196861
735, 14125.37, 0.003633935, -0.0004484424
735, 12589.25, 0.00375762, -0.0003549473
736, 11220.18, 0.003743193, -0.0004452037
736, 9999.993, 0.00382449, -0.0004593486
736, 8912.503, 0.003865959, -0.0005021614
736, 7943.276, 0.003938862, -0.0005066106
737, 7079.452, 0.003975621, -0.000533098
737, 6309.568, 0.003998152, -0.0005758733
737, 5623.409, 0.004041037, -0.0005833375
737, 5011.868, 0.004067749, -0.0006230888
738, 4466.832, 0.004100352, -0.0006622992
738, 3981.068, 0.004128172, -0.000697814
738, 3548.131, 0.004162344, -0.0007401781
738, 3162.275, 0.004189848, -0.000790067
739, 2818.38, 0.004213176, -0.0008471066
739, 2511.884, 0.0042472, -0.0009087076
739, 2238.719, 0.004278426, -0.0009801129
739, 1995.26, 0.004304536, -0.001069346
740, 1778.277, 0.004352818, -0.001153639
740, 1584.891, 0.004383262, -0.001258919
740, 1412.536, 0.00443795, -0.001361891
740, 1258.924, 0.004474232, -0.001491459
741, 1122.017, 0.004540621, -0.001632651
741, 999.9988, 0.004571769, -0.001768614
741, 891.2498, 0.004676464, -0.001957796
741, 794.3272, 0.004752798, -0.002157342
741, 707.9448, 0.004862897, -0.002355361
741, 630.9565, 0.004960179, -0.002574055
742, 562.3405, 0.005100368, -0.002815511
742, 501.1865, 0.005274914, -0.003053985
742, 446.6829, 0.00545089, -0.003356516
742, 398.1066, 0.005680163, -0.003695796
742, 354.8128, 0.005926663, -0.003979123
742, 316.2273, 0.006228948, -0.004311998
742, 281.8378, 0.006576052, -0.004635437
742, 251.1882, 0.006985947, -0.004970356
743, 223.8717, 0.007414127, -0.005287126
743, 199.5259, 0.007892828, -0.005584253
743, 177.8276, 0.008481042, -0.005857836
743, 158.489, 0.009078097, -0.006082019
743, 141.2535, 0.009738411, -0.006267135
743, 125.8923, 0.01043111, -0.006373831
744, 112.2016, 0.01111964, -0.006432483
744, 99.9998, 0.01180229, -0.006402856
744, 89.12492, 0.01250684, -0.006310585
744, 79.43266, 0.01320547, -0.006167943
744, 70.79443, 0.01382937, -0.00592474
744, 63.0956, 0.01441105, -0.005655823
745, 56.23401, 0.01494879, -0.005358575
745, 50.11861, 0.01539896, -0.004988835
745, 44.66826, 0.01584753, -0.004683508
745, 39.81063, 0.01619593, -0.0042927
745, 35.48126, 0.01653103, -0.003915858
745, 31.6227, 0.01675555, -0.003602948
745, 28.18376, 0.0169672, -0.003229612
746, 25.11881, 0.0171809, -0.002998692
746, 22.38716, 0.01734936, -0.002662118
746, 19.95257, 0.01744822, -0.002383175
746, 17.78275, 0.01755528, -0.002128601
746, 15.84889, 0.0176268, -0.001992546
746, 14.12534, 0.01774857, -0.0018011
747, 12.58922, 0.01773905, -0.001440618
747, 11.22016, 0.01772452, -0.001404473
747, 9.999973, 0.01781659, -0.001200229
747, 8.912485, 0.01803746, -0.001086835
747, 7.943261, 0.01799766, -0.0008614738
748, 7.079438, 0.01779981, -0.0007925457
748, 6.309556, 0.01788379, -0.0006751351
748, 5.623397, 0.01789094, -0.0007482729
748, 5.011858, 0.01797776, -0.0004260699
749, 4.466823, 0.01792991, -0.0005673504
749, 3.98106, 0.01785495, -0.0004168076
749, 3.548123, 0.01769662, -0.0003959935
750, 3.162268, 0.01783616, -0.0004821364
750, 2.818374, 0.01775278, -0.0002509498
750, 2.511878, 0.01787114, -0.0001517912
751, 2.238714, 0.01782921, -0.0002501283
752, 1.995256, 0.01780935, -0.0002078666
752, 1.778274, 0.01783306, -0.0001481446
753, 1.584888, 0.01783435, -0.0001837742
754, 1.412533, 0.01774353, -0.0001934848
754, 1.258921, 0.01782633, -0.0001252782
755, 1.122015, 0.0179197, -0.0003192106
756, 0.999997, 0.01788163, -0.0001483433
758, 0.891248, 0.01791022, -3.603306e-05
759, 0.794325, 0.01782836, -0.0002520272
760, 0.707943, 0.01789284, -0.0001566564
762, 0.630955, 0.01801571, -9.614768e-05
764, 0.562339, 0.01803572, -0.0001072197
766, 0.501185, 0.01792592, -8.328821e-05
768, 0.446682, 0.0179944, 2.86625e-05
771, 0.398106, 0.01810775, -5.711537e-06
774, 0.354812, 0.01801058, -3.328716e-05
777, 0.316227, 0.01812026, 0.0002392483
780, 0.281837, 0.01807947, 0.0001989546
785, 0.251188, 0.01809186, 0.0001431054
789, 0.223871, 0.01818836, 0.0003531343
794, 0.199525, 0.01811719, 0.0004065812
800, 0.177827, 0.01821988, 0.0004217307
806, 0.158489, 0.01803862, 0.0003321608
813, 0.141253, 0.01796552, 0.0005095675
821, 0.125892, 0.01811016, 0.0005939656
830, 0.112201, 0.01806469, 0.0005283972
840, 0.1, 0.01780983, 0.0006799151
