Experiment:, EIS
Start date:, ?tvrtek 1. z??? 2022
Start time:, 11:36:52 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
501, 100000, 0.0001599464, -0.006170033
501, 89125.09, 0.004232008, -0.006771386
501, 79432.82, 0.01012271, 0.0043143
502, 70794.57, 0.002895413, -0.0001157123
502, 63095.73, -0.003289891, -0.000794602
502, 56234.13, 0.00238998, -0.0003190004
502, 50118.71, 0.001295084, -0.002709209
503, 44668.35, 0.006241067, -0.0003258577
503, 39810.71, 0.002892276, -0.000423776
503, 35481.33, 0.002909458, 8.610545e-05
503, 31622.77, 0.003977283, 0.0002046359
504, 28183.82, 0.003849764, -0.0004922919
504, 25118.85, 0.003857185, -0.0003852193
504, 22387.2, 0.003646427, -0.0006212966
504, 19952.61, 0.003956229, -0.0002168534
505, 17782.79, 0.003990551, -0.0003981729
505, 15848.92, 0.004040852, -0.0004701834
505, 14125.37, 0.004139673, -0.0004631475
505, 12589.25, 0.004168038, -0.0005209614
506, 11220.18, 0.004272315, -0.0005425139
506, 9999.993, 0.004302397, -0.0005493732
506, 8912.503, 0.004357953, -0.0005426483
506, 7943.276, 0.004378107, -0.0005806921
507, 7079.452, 0.004439351, -0.0005773053
507, 6309.568, 0.004465548, -0.0005924069
507, 5623.409, 0.004520006, -0.0005958914
507, 5011.868, 0.004543588, -0.0006217919
508, 4466.832, 0.0045828, -0.0006505047
508, 3981.068, 0.004610462, -0.0006714672
508, 3548.131, 0.004644328, -0.0007034519
508, 3162.275, 0.004671865, -0.0007315142
509, 2818.38, 0.00470369, -0.0007742614
509, 2511.884, 0.004732236, -0.0008171642
509, 2238.719, 0.004764895, -0.0008715409
509, 1995.26, 0.004813913, -0.0009297338
510, 1778.277, 0.004833565, -0.0009992355
510, 1584.891, 0.004878826, -0.001074682
510, 1412.536, 0.004920115, -0.001155644
510, 1258.924, 0.004969954, -0.001256594
511, 1122.017, 0.005018298, -0.001358803
511, 999.9988, 0.005070478, -0.00145646
511, 891.2498, 0.005142253, -0.001605887
511, 794.3272, 0.005221674, -0.001739007
511, 707.9448, 0.005292953, -0.001894584
511, 630.9565, 0.005398916, -0.002065103
512, 562.3405, 0.005507031, -0.002249506
512, 501.1865, 0.005596446, -0.002470878
512, 446.6829, 0.005792824, -0.002651413
512, 398.1066, 0.00593338, -0.002867987
512, 354.8128, 0.00616396, -0.003097696
512, 316.2273, 0.006398295, -0.003347251
512, 281.8378, 0.006657883, -0.00357971
512, 251.1882, 0.006963438, -0.00382035
513, 223.8717, 0.00729534, -0.00407398
513, 199.5259, 0.007689569, -0.004296059
513, 177.8276, 0.008087442, -0.004517165
513, 158.489, 0.008543818, -0.00469473
513, 141.2535, 0.009039557, -0.004847367
513, 125.8923, 0.009567915, -0.004963314
514, 112.2016, 0.01009626, -0.005021019
514, 99.9998, 0.0106408, -0.00493057
514, 89.12492, 0.01116401, -0.004982769
514, 79.43266, 0.01169523, -0.004901779
514, 70.79443, 0.01220894, -0.004725574
514, 63.0956, 0.01268366, -0.004545914
515, 56.23401, 0.01312826, -0.004316347
515, 50.11861, 0.01356103, -0.004079092
515, 44.66826, 0.01388056, -0.003819609
515, 39.81063, 0.01420512, -0.003561219
515, 35.48126, 0.01446726, -0.003261732
515, 31.6227, 0.01468928, -0.003001004
515, 28.18376, 0.01490448, -0.002735065
516, 25.11881, 0.01504347, -0.00246514
516, 22.38716, 0.01516577, -0.002225967
516, 19.95257, 0.01526873, -0.00200985
516, 17.78275, 0.01537665, -0.001779477
516, 15.84889, 0.01543433, -0.001585241
516, 14.12534, 0.01550609, -0.001411315
517, 12.58922, 0.0155227, -0.001242028
517, 11.22016, 0.01557855, -0.001081178
517, 9.999973, 0.01558124, -0.0009625859
517, 8.912485, 0.0156281, -0.0008185602
517, 7.943261, 0.01560997, -0.0007331391
518, 7.079438, 0.01561363, -0.0006369641
518, 6.309556, 0.01561923, -0.0005457973
518, 5.623397, 0.01557508, -0.0004354502
518, 5.011858, 0.01557949, -0.0004029409
519, 4.466823, 0.01559552, -0.0003329701
519, 3.98106, 0.01559721, -0.0002459557
519, 3.548123, 0.01554762, -0.0002686031
520, 3.162268, 0.01552936, -0.000217405
520, 2.818374, 0.01553982, -0.0001865872
520, 2.511878, 0.01550467, -0.0001550553
521, 2.238714, 0.01547431, -0.000141903
522, 1.995256, 0.01550428, -0.0001382435
522, 1.778274, 0.01549289, -0.0001306516
523, 1.584888, 0.01549655, -0.0001349487
524, 1.412533, 0.01546611, -0.0001443009
524, 1.258921, 0.01546852, -0.0001089262
525, 1.122015, 0.01546836, -0.0001043924
526, 0.999997, 0.01552029, -7.728684e-05
528, 0.891248, 0.01551188, -0.000126178
529, 0.794325, 0.01553689, -0.0001150606
530, 0.707943, 0.01553712, -0.0001241421
532, 0.630955, 0.01558947, -0.0001002782
534, 0.562339, 0.01556407, -0.0001367566
536, 0.501185, 0.0156251, -0.0001154025
538, 0.446682, 0.01564191, -0.0001048892
541, 0.398106, 0.01560074, -8.925981e-05
544, 0.354812, 0.01566905, -0.0001169844
547, 0.316227, 0.01571785, -0.0001035578
550, 0.281837, 0.01565778, -3.72692e-05
554, 0.251188, 0.01545031, 8.904662e-05
559, 0.223871, 0.0155187, 6.485594e-05
564, 0.199525, 0.0154386, 1.341996e-05
570, 0.177827, 0.01549654, -1.007574e-05
576, 0.158489, 0.01548243, 1.937162e-05
583, 0.141253, 0.01545363, -8.676384e-06
591, 0.125892, 0.01558925, -4.00491e-05
600, 0.112201, 0.01553913, 4.917494e-05
610, 0.1, 0.01553286, -0.0001324979
