Experiment:, EIS
Start date:, st?eda 30. listopadu 2022
Start time:, 17:25:17 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
45, 100000, 0.1760868, 0.05458916
46, 79432.82, 0.5466624, 0.6360621
46, 63095.73, 0.1524416, 0.09895949
46, 50118.72, 0.1925139, 1.280251
46, 39810.71, 0.05409106, 0.09087048
47, 31622.77, 0.4144554, 0.006844655
47, 25118.86, 0.3897476, 0.4061472
47, 19952.62, 0.3118812, -0.150053
47, 15848.93, 1.338709, 2.628996
48, 12589.25, 0.2982632, -0.01175795
48, 9999.997, 0.4405008, 0.1315719
48, 7943.28, 0.2430157, -0.01662771
49, 6309.571, 0.3829401, -0.1835413
49, 5011.871, 0.1200482, -0.1974162
50, 3981.07, 0.2926406, -0.01944571
50, 3162.276, 0.356708, -0.01897828
50, 2511.885, 0.3722059, -0.03081801
51, 1995.261, 0.3974244, -0.03944144
51, 1584.892, 0.3506855, -0.03108045
51, 1258.925, 0.4079666, -0.05257015
51, 999.9994, 0.4105791, -0.06510933
52, 794.3277, 0.3294518, -0.04874816
52, 630.9569, 0.4309303, -0.08609152
52, 501.1869, 0.4431924, -0.1012912
52, 398.1069, 0.3474424, -0.07130246
53, 316.2275, 0.4586523, -0.1475984
53, 251.1884, 0.4717052, -0.1727224
53, 199.5261, 0.4872112, -0.2045186
53, 158.4892, 0.3845329, -0.1284015
54, 125.8924, 0.5076377, -0.3034199
54, 99.99991, 0.5367219, -0.3143022
54, 79.43275, 0.4345185, -0.2001131
55, 63.09567, 0.5615203, -0.4717423
55, 50.11867, 0.4785194, -0.2541943
55, 39.81068, 0.499857, -0.2682329
55, 31.62274, 0.5126854, -0.3042111
55, 25.11884, 0.5870441, -0.390294
56, 19.9526, 0.6738878, -0.3928104
56, 15.84891, 0.7700257, -0.4356525
56, 12.58924, 0.7801495, -0.5207247
56, 9.999988, 0.7888063, -0.5581196
56, 7.943272, 0.9623889, -0.5875004
57, 6.309565, 1.10105, -0.5723786
57, 5.011866, 1.13678, -0.5023741
57, 3.981066, -1.40536, -3.274354
58, 3.162273, 1.421779, -0.4598838
59, 2.511883, 1.538397, -0.447078
60, 1.995259, -1.558348, -0.4538574
61, 1.584891, -1.314644, -0.3059026
62, 1.258924, -1.153988, -0.2822467
63, 1, -1.139113, -0.3163543
