Experiment:, EIS
Start date:, p?tek 4. listopadu 2022
Start time:, 12:31:32 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
731, 100000, 0.006439358, -0.01457503
731, 89125.09, 0.000511689, 0.004155239
731, 79432.82, -0.0006732854, -0.0002132622
732, 70794.57, 0.004147312, -0.005099059
732, 63095.73, 0.003852592, 0.002101006
732, 56234.13, 0.001826246, -0.000695557
732, 50118.71, 0.001442682, -0.0007457756
733, 44668.35, 0.005386965, 0.001238335
733, 39810.71, 0.002258277, -0.0004748459
733, 35481.33, 0.002506644, -0.0001425915
733, 31622.77, 0.002728224, -0.0001346169
734, 28183.82, 0.0023208, 6.197241e-05
734, 25118.85, 0.002384558, -7.262843e-05
734, 22387.2, 0.002448801, 7.937592e-05
734, 19952.61, 0.002393751, -0.0001818327
735, 17782.79, 0.002424607, -0.0001431149
735, 15848.92, 0.002617518, -0.0002446587
735, 14125.37, 0.00266316, -0.0003537993
735, 12589.25, 0.0026718, -0.0003784482
736, 11220.18, 0.00267778, -0.0003640261
736, 9999.993, 0.002827028, -0.0004400379
736, 8912.503, 0.002786602, -0.000469597
736, 7943.276, 0.002854615, -0.000490978
737, 7079.452, 0.002849445, -0.0005315992
737, 6309.568, 0.002912355, -0.0005649215
737, 5623.409, 0.002939349, -0.0006034246
737, 5011.868, 0.002978579, -0.0006478748
738, 4466.832, 0.003007448, -0.0006982297
738, 3981.068, 0.003054759, -0.0007391884
738, 3548.131, 0.003091814, -0.0007892653
738, 3162.275, 0.003133164, -0.0008510071
739, 2818.38, 0.00317662, -0.0009147056
739, 2511.884, 0.003229453, -0.0009809849
739, 2238.719, 0.003280279, -0.00105956
739, 1995.26, 0.003335208, -0.001144152
740, 1778.277, 0.003414214, -0.001228404
740, 1584.891, 0.003489092, -0.001324467
740, 1412.536, 0.003585071, -0.001420149
740, 1258.924, 0.003688969, -0.001523075
741, 1122.017, 0.003799976, -0.001627152
741, 999.9988, 0.003896985, -0.00174352
741, 891.2498, 0.004082243, -0.001847271
