Experiment:, EIS
Start date:, ?ter? 8. listopadu 2022
Start time:, 16:15:57 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
731, 100000, -0.001914715, 0.004802192
731, 89125.09, 0.00873812, 0.001323946
731, 79432.82, -8.349622e-05, 0.001762443
732, 70794.57, 0.004914172, 0.001429602
732, 63095.73, 0.001528585, 0.001639856
732, 56234.13, 0.0008467342, 0.002520315
732, 50118.71, 0.002992318, 0.001248073
733, 44668.35, 0.0002130111, 0.001477093
733, 39810.71, 0.002472446, 0.0001228583
733, 35481.33, 0.002947488, 0.0007577069
733, 31622.77, 0.002786442, 0.0004735412
734, 28183.82, 0.002785529, -6.181802e-05
734, 25118.85, 0.003278526, -0.0003085905
734, 22387.2, 0.00318679, -0.0002619575
734, 19952.61, 0.003465407, -0.0002748623
735, 17782.79, 0.003437699, -0.0003668451
735, 15848.92, 0.003406694, -0.0004265598
735, 14125.37, 0.003522145, -0.000451771
735, 12589.25, 0.00359412, -0.0004239731
736, 11220.18, 0.003610448, -0.0005007521
736, 9999.993, 0.003703163, -0.0005559193
736, 8912.503, 0.00373367, -0.0005650596
736, 7943.276, 0.00377527, -0.0006023006
737, 7079.452, 0.003854499, -0.000638338
737, 6309.568, 0.003898981, -0.0006697166
737, 5623.409, 0.003933606, -0.0007068096
737, 5011.868, 0.003991039, -0.000756107
738, 4466.832, 0.004031556, -0.0008101758
738, 3981.068, 0.004079342, -0.0008628636
738, 3548.131, 0.004120028, -0.0009214379
738, 3162.275, 0.004166274, -0.0009857924
739, 2818.38, 0.00421558, -0.001060099
739, 2511.884, 0.00426712, -0.0011408
739, 2238.719, 0.004319783, -0.001229241
739, 1995.26, 0.004403186, -0.001326209
740, 1778.277, 0.004454607, -0.001433622
740, 1584.891, 0.004527046, -0.001547898
740, 1412.536, 0.004607413, -0.001675655
740, 1258.924, 0.00470343, -0.001809106
741, 1122.017, 0.004813886, -0.001954471
741, 999.9988, 0.004922319, -0.002143013
741, 891.2498, 0.005069602, -0.002267214
741, 794.3272, 0.005219587, -0.002445411
741, 707.9448, 0.005397058, -0.002637567
741, 630.9565, 0.005594407, -0.002827925
741, 562.3405, 0.005822102, -0.003020048
742, 501.1865, 0.006126818, -0.003267134
742, 446.6829, 0.006358627, -0.003395606
742, 398.1066, 0.006680868, -0.003647204
742, 354.8128, 0.00701214, -0.003742747
742, 316.2273, 0.00738594, -0.003888385
742, 281.8378, 0.007778915, -0.004008808
742, 251.1882, 0.008202661, -0.004103223
743, 223.8717, 0.008631961, -0.004141632
743, 199.5259, 0.009096504, -0.004114139
743, 177.8276, 0.009523408, -0.004102056
743, 158.489, 0.009927867, -0.004045911
743, 141.2535, 0.01035141, -0.003931077
743, 125.8923, 0.01074331, -0.003799076
744, 112.2016, 0.01108593, -0.003606424
744, 99.9998, 0.01136196, -0.003438384
744, 89.12492, 0.01168881, -0.003263199
744, 79.43266, 0.01195617, -0.003040854
744, 70.79443, 0.01216527, -0.002856714
744, 63.0956, 0.0123742, -0.002668809
