Experiment:, EIS
Start date:, p?tek 27. ledna 2023
Start time:, 12:41:49 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
46, 100000, 0.0005194346, -0.001994153
46, 79432.82, -0.01091154, 0.01665397
47, 63095.73, 0.001917473, 0.003354504
47, 50118.72, 0.006982628, 0.001710391
47, 39810.71, 0.002495017, -0.0004476854
47, 31622.77, 0.003922027, -0.0006022717
48, 25118.86, 0.003770764, -0.001108112
48, 19952.62, 0.003876415, -0.001065072
48, 15848.93, 0.004092027, -0.001495175
48, 12589.25, 0.004442991, -0.00169823
49, 9999.997, 0.004748175, -0.001927221
49, 7943.28, 0.004928375, -0.002229147
49, 6309.571, 0.005223826, -0.002551043
49, 5011.871, 0.00552511, -0.002875898
50, 3981.07, 0.005848275, -0.003265126
50, 3162.276, 0.006213559, -0.003729898
51, 2511.885, 0.005317084, -0.006137018
51, 1995.261, 0.007401232, -0.005031924
51, 1584.892, 0.006650945, -0.00562311
52, 1258.925, 0.01133999, -0.00767259
52, 999.9994, 0.008550907, -0.007404718
52, 794.3277, 0.009176658, -0.008590719
52, 630.9569, 0.009886376, -0.01008213
52, 501.1869, 0.01064974, -0.01184947
52, 398.1069, 0.0116666, -0.01398977
53, 316.2275, 0.01287148, -0.01661508
53, 251.1884, 0.01427647, -0.01968771
53, 199.5261, 0.01616549, -0.02340269
53, 158.4892, 0.01862, -0.02776878
53, 125.8924, 0.02177433, -0.03283165
54, 99.99991, 0.02582821, -0.03865032
54, 79.43275, 0.03116324, -0.0452686
54, 63.09567, 0.03809511, -0.05242296
54, 50.11867, 0.04665408, -0.05990142
54, 39.81068, 0.05733523, -0.06717622
54, 31.62274, 0.07188328, -0.0736549
55, 25.11884, 0.0873773, -0.07893519
55, 19.9526, 0.1050848, -0.07831212
55, 15.84891, 0.1225939, -0.07700232
55, 12.58924, 0.1417718, -0.07113408
55, 9.999988, 0.1528999, -0.06151893
55, 7.943272, 0.1648115, -0.05102628
56, 6.309565, 0.1709187, -0.0358527
56, 5.011866, 0.1755996, -0.02989527
56, 3.981066, 0.1767219, -0.01810507
56, 3.162273, 0.1761982, -0.01207947
57, 2.511883, 0.179268, -0.006695279
58, 1.995259, 0.1767049, -0.00334328
58, 1.584891, 0.1766587, 0.0008453892
59, 1.258924, 0.1745754, 0.002326729
60, 1, 0.1733473, 0.002379351
