Experiment:, EIS
Start date:, pond?l? 30. ledna 2023
Start time:, 17:15:11 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
61, 100000, -0.0002646229, 0.001603972
61, 79432.82, 0.001382857, 0.0008031721
62, 63095.73, 0.002215352, 0.0007283889
62, 50118.72, 0.00218377, 0.0002889121
62, 39810.71, 0.002537116, 5.374874e-05
62, 31622.77, 0.00288752, -0.0001265006
63, 25118.86, 0.003089785, -0.0005205547
63, 19952.62, 0.003283333, -0.0006803017
63, 15848.93, 0.003400884, -0.00083862
63, 12589.25, 0.003579355, -0.001001501
64, 9999.997, 0.003762547, -0.00115339
64, 7943.28, 0.003932747, -0.001304861
64, 6309.571, 0.00411306, -0.001451867
64, 5011.871, 0.004302815, -0.001620629
65, 3981.07, 0.004500806, -0.00180847
65, 3162.276, 0.004697242, -0.002016831
65, 2511.885, 0.004901877, -0.002262719
66, 1995.261, 0.005110719, -0.002564733
66, 1584.892, 0.005311246, -0.002931155
66, 1258.925, 0.005538154, -0.00327938
67, 999.9994, 0.005777758, -0.003820675
67, 794.3277, 0.006052394, -0.004496661
67, 630.9569, 0.006378777, -0.005334064
67, 501.1869, 0.006777873, -0.006365936
67, 398.1069, 0.007271715, -0.007617471
67, 316.2275, 0.007927666, -0.009111949
68, 251.1884, 0.008780065, -0.01094089
68, 199.5261, 0.009874778, -0.01310413
68, 158.4892, 0.01134717, -0.01566536
68, 125.8924, 0.01332653, -0.01862263
68, 99.99991, 0.01599983, -0.02195787
68, 79.43275, 0.01960412, -0.02554109
69, 63.09567, 0.02432486, -0.02913639
69, 50.11867, 0.03029177, -0.03236184
69, 39.81068, 0.0374545, -0.03470222
69, 31.62274, 0.04539849, -0.03552236
69, 25.11884, 0.05358364, -0.03468299
69, 19.9526, 0.0611534, -0.03211166
70, 15.84891, 0.06772571, -0.02814611
70, 12.58924, 0.07247335, -0.02380032
70, 9.999988, 0.07598583, -0.01912467
70, 7.943272, 0.0782623, -0.01464077
70, 6.309565, 0.07956584, -0.01108976
70, 5.011866, 0.08020572, -0.00781635
71, 3.981066, 0.08052584, -0.005222843
71, 3.162273, 0.08078243, -0.002893128
72, 2.511883, 0.08055549, -0.001367582
72, 1.995259, 0.08029846, 8.777891e-05
73, 1.584891, 0.0806826, 0.001452188
74, 1.258924, 0.08106549, 0.002430843
75, 1, 0.08177189, 0.003248103
