Experiment:, EIS
Start date:, ?ter? 7. ?nora 2023
Start time:, 15:29:46 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
46, 100000, -0.002600119, -0.0002101609
46, 79432.82, 0.001997494, -0.0005501429
46, 63095.73, -0.0006805072, 0.0007853126
47, 50118.72, -0.0007119271, 0.001020305
47, 39810.71, 0.000345527, 0.001408175
47, 31622.77, -0.001897763, 0.0003257608
47, 25118.86, 0.0009967866, 0.002305627
48, 19952.62, 0.006042109, 0.004859465
48, 15848.93, 0.006623488, 0.005626956
48, 12589.25, 0.007840038, 0.0004727985
48, 9999.997, 0.009562403, -4.836486e-05
49, 7943.28, 0.009383867, -0.001936491
49, 6309.571, 0.009336028, -0.002915255
49, 5011.871, 0.009364749, -0.003183154
49, 3981.07, 0.009365253, -0.003110556
50, 3162.276, 0.009719087, -0.003797838
50, 2511.885, 0.009882144, -0.00398254
50, 1995.261, 0.0102434, -0.004343143
51, 1584.892, 0.01066797, -0.004576712
51, 1258.925, 0.01111269, -0.005034145
51, 999.9994, 0.01148691, -0.005837015
52, 794.3277, 0.01188844, -0.006743553
52, 630.9569, 0.01239589, -0.007894672
52, 501.1869, 0.01295741, -0.009310279
53, 398.1069, 0.01370009, -0.01093911
53, 316.2275, 0.01451536, -0.0129005
53, 251.1884, 0.01545672, -0.0153186
53, 199.5261, 0.01662758, -0.01821629
53, 158.4892, 0.01807187, -0.02173707
53, 125.8924, 0.01981425, -0.02598092
53, 99.99991, 0.02210202, -0.03101218
54, 79.43275, 0.02501669, -0.03712319
54, 63.09567, 0.02888295, -0.0442134
54, 50.11867, 0.03388719, -0.05276624
54, 39.81068, 0.04074504, -0.06231698
54, 31.62274, 0.04971655, -0.07304238
55, 25.11884, 0.06143826, -0.08430638
55, 19.9526, 0.07672118, -0.09542543
55, 15.84891, 0.09577647, -0.1056323
55, 12.58924, 0.1184912, -0.113002
55, 9.999988, 0.143492, -0.1163185
56, 7.943272, 0.1694236, -0.1142868
56, 6.309565, 0.1934744, -0.1070175
56, 5.011866, 0.2149718, -0.09571571
56, 3.981066, 0.2311438, -0.08284944
57, 3.162273, 0.2439262, -0.06822823
57, 2.511883, 0.253022, -0.05515449
58, 1.995259, 0.2570913, -0.04214267
58, 1.584891, 0.2613807, -0.03180649
59, 1.258924, 0.2634677, -0.02396626
60, 1, 0.2657703, -0.01655066
