Experiment:, EIS
Start date:, p?tek 24. ?nora 2023
Start time:, 12:35:09 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
1486, 100000, 0.001161387, 0.01102958
1486, 89125.09, -0.01469134, -0.03346849
1486, 79432.82, 0.003231802, 0.001699402
1487, 70794.57, 0.000154175, 0.002337188
1487, 63095.73, 0.02041159, 0.01150533
1487, 56234.13, 0.008939572, 0.001535676
1487, 50118.71, -0.01447715, 0.01879053
1488, 44668.35, -0.03903158, -0.0116416
1488, 39810.71, 0.00804787, 0.01301965
1488, 35481.33, 0.008574017, 0.008811315
1488, 31622.77, 0.01239806, 0.01618974
1489, 28183.82, 0.002723965, 0.008104497
1489, 25118.85, 0.004479848, 0.00616598
1489, 22387.2, 0.006766526, 0.0003095475
1489, 19952.61, 0.003036749, 0.0002827098
1490, 17782.79, 0.004410847, 0.001322019
1490, 15848.92, 0.007211246, -0.001315978
1490, 14125.37, 0.006235509, -0.0009786332
1490, 12589.25, 0.006657428, 0.001009166
1491, 11220.18, 0.005085362, -0.0008690794
1491, 9999.993, 0.005688483, -0.0005383335
1491, 8912.503, 0.006056783, -0.00099764
1491, 7943.276, 0.006076262, -0.001078638
1492, 7079.452, 0.006221891, -0.0007362157
1492, 6309.568, 0.006158332, -0.001136713
1492, 5623.409, 0.006141081, -0.000991659
1492, 5011.868, 0.00611687, -0.001209639
1493, 4466.832, 0.006171518, -0.001202786
1493, 3981.068, 0.006395019, -0.001186396
1493, 3548.131, 0.006387434, -0.0013426
1493, 3162.275, 0.006428203, -0.001407551
1494, 2818.38, 0.006576628, -0.001466625
1494, 2511.884, 0.006592469, -0.001570171
1494, 2238.719, 0.006716352, -0.001634167
1494, 1995.26, 0.006729904, -0.001845726
1495, 1778.277, 0.006865295, -0.001892825
1495, 1584.891, 0.007058103, -0.001993494
1495, 1412.536, 0.007147869, -0.002004018
1495, 1258.924, 0.00735514, -0.002188523
1496, 1122.017, 0.007469955, -0.002270336
1496, 999.9988, 0.007751999, -0.002556559
1496, 891.2498, 0.007846399, -0.00253581
1496, 794.3272, 0.007980023, -0.002671147
1496, 707.9448, 0.008129979, -0.002700495
1496, 630.9565, 0.008304667, -0.002879883
1496, 562.3405, 0.008496732, -0.003012193
1497, 501.1865, 0.008705823, -0.003077916
1497, 446.6829, 0.00887272, -0.003261067
1497, 398.1066, 0.009171198, -0.003317674
1497, 354.8128, 0.009307374, -0.003553364
1497, 316.2273, 0.009503668, -0.003701591
1497, 281.8378, 0.00975476, -0.003880934
