Experiment:, EIS
Start date:, ?tvrtek 2. b?ezna 2023
Start time:, 13:08:54 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
31, 100000, -0.01283459, 0.002349645
31, 79432.82, -0.0003561966, -0.0006998285
32, 63095.73, -0.000224354, 0.003396385
32, 50118.72, 0.0121401, -0.005545128
32, 39810.71, 0.00880372, 0.004794388
32, 31622.77, 0.009367602, -9.651834e-05
33, 25118.86, 0.009349196, -0.001656435
33, 19952.62, 0.00896121, -0.002172359
33, 15848.93, 0.008892292, -0.00248276
33, 12589.25, 0.009099807, -0.002400864
34, 9999.997, 0.009369744, -0.002883425
34, 7943.28, 0.009663223, -0.003025186
34, 6309.571, 0.009909132, -0.003330015
34, 5011.871, 0.01023137, -0.00368508
35, 3981.07, 0.0105397, -0.004090269
35, 3162.276, 0.0108993, -0.00458032
35, 2511.885, 0.01134052, -0.005156391
36, 1995.261, 0.01107321, -0.005163078
36, 1584.892, 0.01176048, -0.005232788
36, 1258.925, 0.01233595, -0.005614325
37, 999.9994, 0.014295, -0.006828652
37, 794.3277, 0.01585155, -0.007343806
37, 630.9569, 0.01649291, -0.008122042
38, 501.1869, 0.01739698, -0.00901345
38, 398.1069, 0.0167617, -0.009934905
38, 316.2275, 0.01829027, -0.00994175
38, 251.1884, 0.02034061, -0.0133592
38, 199.5261, 0.02277111, -0.01543899
39, 158.4892, 0.02349064, -0.01371104
39, 125.8924, 0.02325603, -0.01742847
39, 99.99991, 0.0250301, -0.0181611
39, 79.43275, 0.02766148, -0.01970329
39, 63.09567, 0.02859683, -0.021875
40, 50.11867, 0.03146996, -0.02573608
40, 39.81068, 0.03530858, -0.02775981
40, 31.62274, 0.03110647, -0.04439042
40, 25.11884, 0.04437193, -0.04564656
40, 19.9526, 0.04103011, -0.05255751
40, 15.84891, 0.04676706, -0.04663763
41, 12.58924, 0.04931419, -0.07336248
41, 9.999988, 0.0593686, -0.0648393
41, 7.943272, 0.05805194, -0.134751
41, 6.309565, 0.06863686, -0.0991462
42, 5.011866, 0.1255584, -0.1393434
42, 3.981066, 0.1044616, -0.1229994
42, 3.162273, 0.1847675, -0.1614566
43, 2.511883, 0.1660287, -0.2362401
43, 1.995259, 0.2100146, -0.2412766
45, 1.584891, 0.1994506, -0.3790561
47, 1.258924, 0.4124789, -0.4155203
48, 1, 0.4303656, -0.408898
