Experiment:, EIS
Start date:, ?ter? 28. b?ezna 2023
Start time:, 15:10:06 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
681, 100000, 0.01083581, 0.003673484
681, 89125.09, -0.004698142, 0.002843934
681, 79432.82, 0.000658486, -0.00135565
681, 70794.57, 0.001081378, 0.002118819
682, 63095.73, 0.005101606, -0.0002876524
682, 56234.13, 6.764467e-05, -0.002386879
682, 50118.71, 0.0004705705, -0.001957417
682, 44668.35, 0.002457885, -0.005641388
683, 39810.71, 0.004287972, 0.0006400167
683, 35481.33, 0.003944732, 0.0007030361
683, 31622.77, 0.003457672, -0.0002967612
683, 28183.82, 0.004078423, -0.0004115438
684, 25118.85, 0.004211853, -0.0002516291
684, 22387.2, 0.004357923, -0.0005666511
684, 19952.61, 0.004020238, -0.000516221
684, 17782.79, 0.004419093, -0.0005201776
685, 15848.92, 0.004523695, -0.0006620383
685, 14125.37, 0.004752587, -0.0006117394
685, 12589.25, 0.004765879, -0.000701772
686, 11220.18, 0.004982696, -0.0008749219
686, 9999.993, 0.005033368, -0.0009062652
686, 8912.503, 0.005081909, -0.0009265792
686, 7943.276, 0.005212675, -0.001039887
687, 7079.452, 0.005293438, -0.001091252
687, 6309.568, 0.005403375, -0.001136025
687, 5623.409, 0.005471132, -0.001166723
687, 5011.868, 0.00557381, -0.001211665
688, 4466.832, 0.005675809, -0.001250192
688, 3981.068, 0.005763572, -0.00129749
688, 3548.131, 0.005861754, -0.00134848
688, 3162.275, 0.005959748, -0.001396017
689, 2818.38, 0.006062127, -0.0014503
689, 2511.884, 0.00617117, -0.001504856
689, 2238.719, 0.006279635, -0.001566996
689, 1995.26, 0.006406554, -0.001629081
690, 1778.277, 0.006517943, -0.001700273
690, 1584.891, 0.006644925, -0.001779235
690, 1412.536, 0.006783672, -0.001856661
690, 1258.924, 0.006917835, -0.001938616
691, 1122.017, 0.007076773, -0.002026876
691, 999.9988, 0.007266048, -0.002093923
691, 891.2498, 0.007431821, -0.002213709
691, 794.3272, 0.007600542, -0.002310124
691, 707.9448, 0.00780671, -0.002403483
691, 630.9565, 0.008023088, -0.002485218
691, 562.3405, 0.008266364, -0.002557768
692, 501.1865, 0.008497831, -0.002705673
692, 446.6829, 0.008781417, -0.002700696
692, 398.1066, 0.009106338, -0.002674812
692, 354.8128, 0.009324915, -0.002752157
692, 316.2273, 0.009623146, -0.002750817
692, 281.8378, 0.009900663, -0.002747269
692, 251.1882, 0.01018004, -0.002718057
693, 223.8717, 0.01045523, -0.002654791
693, 199.5259, 0.01072953, -0.002528211
693, 177.8276, 0.01099626, -0.002480138
693, 158.489, 0.01124072, -0.002375385
693, 141.2535, 0.01145144, -0.002261532
693, 125.8923, 0.01166248, -0.002137973
694, 112.2016, 0.01185367, -0.001978287
694, 99.9998, 0.01194733, -0.001791307
694, 89.12492, 0.01212741, -0.0017261
694, 79.43266, 0.01227018, -0.001607023
694, 70.79443, 0.0123881, -0.001469181
694, 63.0956, 0.01248148, -0.001374513
694, 56.23401, 0.01257365, -0.001261594
695, 50.11861, 0.01258573, -0.001117744
695, 44.66826, 0.01271849, -0.001037827
695, 39.81063, 0.01278533, -0.000982173
695, 35.48126, 0.01279944, -0.0008912202
695, 31.6227, 0.01289987, -0.0008254925
695, 28.18376, 0.01292092, -0.0007853876
696, 25.11881, 0.01302334, -0.0006875186
696, 22.38716, 0.01306529, -0.0006973294
696, 19.95257, 0.01302285, -0.0006563007
696, 17.78275, 0.01306004, -0.0006058726
696, 15.84889, 0.01314416, -0.0005843244
696, 14.12534, 0.01320561, -0.0005569412
697, 12.58922, 0.01318026, -0.000465042
697, 11.22016, 0.013198, -0.0004984441
697, 9.999973, 0.01327282, -0.0004731469
697, 8.912485, 0.0132477, -0.0004716298
697, 7.943261, 0.01334511, -0.0004478227
698, 7.079438, 0.01330847, -0.000502739
698, 6.309556, 0.0133339, -0.0004241669
698, 5.623397, 0.01350298, -0.000505034
698, 5.011858, 0.01384044, 0.0006737693
699, 4.466823, 0.01327359, -0.0004264842
699, 3.98106, 0.01353569, -0.0003483006
699, 3.548123, 0.0136225, -0.0004882927
700, 3.162268, 0.01355064, -0.000606626
700, 2.818374, 0.01358117, -0.0005789554
700, 2.511878, 0.01360804, -0.0006300407
701, 2.238714, 0.01365931, -0.0006509284
702, 1.995256, 0.01367731, -0.0007018636
702, 1.778274, 0.01366771, -0.0008066835
703, 1.584888, 0.01371885, -0.0007823511
704, 1.412533, 0.01379794, -0.000733154
704, 1.258921, 0.01423418, -0.0008421236
705, 1.122015, 0.01407006, -0.0009750565
706, 0.999997, 0.01419259, -0.00106332
708, 0.891248, 0.01427769, -0.00121255
709, 0.794325, 0.0145054, -0.0007736681
710, 0.707943, 0.01421011, -0.00150126
712, 0.630955, 0.01465773, -0.000941664
714, 0.562339, 0.01551302, -0.001081138
716, 0.501185, 0.01546932, -0.0003376312
718, 0.446682, 0.01414465, -0.0006183128
721, 0.398106, 0.01623267, 0.001524578
724, 0.354812, 0.01585388, -0.0008306958
727, 0.316227, 0.01509984, -0.0004466898
730, 0.281837, 0.01415006, -0.0009172646
734, 0.251188, 0.01449688, -0.0009458456
739, 0.223871, 0.01352182, -0.0006757639
744, 0.199525, 0.01434045, 3.199081e-06
750, 0.177827, 0.01367064, -0.0003225971
756, 0.158489, 0.01362665, 0.0003729536
763, 0.141253, 0.01457579, 4.135061e-05
771, 0.125892, 0.01532976, -0.000629009
780, 0.112201, 0.01785506, -0.002205219
790, 0.1, 0.01482772, -0.0004305488
