Experiment:, EIS
Start date:, p?tek 31. b?ezna 2023
Start time:, 17:39:10 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
1103, 100000, 0.014467, -0.02467078
1103, 89125.09, -0.01004288, 0.003501125
1103, 79432.82, 0.005573501, -0.009133645
1104, 70794.57, 0.003879989, 0.001551612
1104, 63095.73, -0.002670278, -0.005762123
1104, 56234.13, -0.006239541, 0.004360427
1104, 50118.71, -0.006447603, 0.002664794
1105, 44668.35, -0.01066751, 0.001205738
1105, 39810.71, -0.002622219, 6.681526e-05
1105, 35481.33, -0.01614352, -0.003318585
1105, 31622.77, 0.01093533, -0.008620558
1106, 28183.82, 0.0009921835, 0.0006584229
1106, 25118.85, 0.005901486, 0.001345238
1106, 22387.2, 0.004605481, -0.0001661055
1106, 19952.61, 3.649058e-05, 0.0001553587
1107, 17782.79, 0.002104578, 0.001597587
1107, 15848.92, 0.001334026, -0.0002491915
1107, 14125.37, 0.001983842, -0.0005220557
1107, 12589.25, 0.001710113, -0.0006841641
1108, 11220.18, 0.002511163, -0.0006733701
1108, 9999.993, 0.002791161, -0.0004111406
1108, 8912.503, 0.002442117, -0.001049874
1108, 7943.276, 0.002752851, -0.0007174652
1109, 7079.452, 0.002990693, -0.0008400865
1109, 6309.568, 0.002788618, -0.0008255029
1109, 5623.409, 0.002992354, -0.001118071
1109, 5011.868, 0.003002231, -0.001081032
1110, 4466.832, 0.003082399, -0.001196486
1110, 3981.068, 0.003060006, -0.001322844
1110, 3548.131, 0.003058413, -0.001512042
1110, 3162.275, 0.003190423, -0.001572944
1111, 2818.38, 0.003311977, -0.00163667
1111, 2511.884, 0.003400765, -0.001832054
1111, 2238.719, 0.003442334, -0.001926925
1111, 1995.26, 0.003464672, -0.002155776
1112, 1778.277, 0.003637802, -0.002248336
1112, 1584.891, 0.003747276, -0.002431305
1112, 1412.536, 0.003877016, -0.002580039
1112, 1258.924, 0.004096941, -0.002835713
1112, 1122.017, 0.004207272, -0.003011195
1113, 999.9988, 0.004465175, -0.003481049
1113, 891.2498, 0.004635536, -0.003514808
1113, 794.3272, 0.004853583, -0.003766248
1113, 707.9448, 0.005177303, -0.004144418
1113, 630.9565, 0.005473566, -0.004407689
1113, 562.3405, 0.005868012, -0.004689557
1114, 501.1865, 0.006184987, -0.00489398
1114, 446.6829, 0.006696912, -0.005220644
1114, 398.1066, 0.007214816, -0.005400937
1114, 354.8128, 0.007708515, -0.005748321
1114, 316.2273, 0.008278944, -0.005878896
1114, 281.8378, 0.008871218, -0.006041138
1115, 251.1882, 0.009541117, -0.006130885
1115, 223.8717, 0.01016679, -0.006121193
1115, 199.5259, 0.01078798, -0.00616621
1115, 177.8276, 0.01144543, -0.005972795
1115, 158.489, 0.01204917, -0.00593578
1115, 141.2535, 0.01265952, -0.005715337
1115, 125.8923, 0.01313919, -0.005479649
1116, 112.2016, 0.01364812, -0.005231792
1116, 99.9998, 0.01412976, -0.005126914
1116, 89.12492, 0.01456814, -0.004690017
1116, 79.43266, 0.01488655, -0.004380415
1116, 70.79443, 0.01516254, -0.004041548
1116, 63.0956, 0.01543321, -0.003939377
1117, 56.23401, 0.0157822, -0.003632635
1117, 50.11861, 0.01592568, -0.00315705
1117, 44.66826, 0.01605182, -0.002887398
1117, 39.81063, 0.0161299, -0.002793577
1117, 35.48126, 0.0167292, -0.002574574
1117, 31.6227, 0.01668194, -0.002173333
1117, 28.18376, 0.01677394, -0.002185825
1118, 25.11881, 0.01663266, -0.002006207
1118, 22.38716, 0.01680277, -0.001842742
1118, 19.95257, 0.01681103, -0.001664362
1118, 17.78275, 0.01682856, -0.001520294
1118, 15.84889, 0.0167977, -0.001553906
