Experiment:, EIS
Start date:, st?eda 12. dubna 2023
Start time:, 13:31:36 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm), Voltage (V)
554, 100000, -0.08523271, 0.03610552, 0.1205038
554, 79432.82, 0.07498457, 0.06017292, 0.1205038
555, 63095.73, 0.09901237, 0.1638359, 0.1168258
555, 50118.72, -0.2607023, -0.1575666, 0.1168258
555, 39810.71, 0.1616328, 0.2722455, 0.1168258
555, 31622.77, 0.1854001, 0.1981013, 0.1168258
556, 25118.86, 0.8626699, -0.1886754, 0.1146001
556, 19952.62, 0.2597833, 0.1984109, 0.1146001
556, 15848.93, 0.2846847, 0.2861935, 0.1146001
556, 12589.25, -0.01808378, -0.2080111, 0.1146001
557, 9999.997, 0.3610481, -0.007279417, 0.1178992
557, 7943.28, 0.2865725, -0.01164763, 0.1178992
557, 6309.571, 0.2768131, -0.07673464, 0.1178992
557, 5011.871, 0.3179862, -0.1189021, 0.1178992
558, 3981.07, 0.370463, -0.06682725, 0.1235977
559, 3162.276, 0.395947, -0.07159763, 0.117031
559, 2511.885, 0.408099, -0.08182327, 0.117031
559, 1995.261, 0.4200966, -0.09469499, 0.117031
559, 1584.892, 0.4320462, -0.1052908, 0.117031
560, 1258.925, 0.4457143, -0.1246248, 0.1146791
560, 999.9994, 0.4618635, -0.1375039, 0.1146791
560, 794.3277, 0.4803278, -0.1552808, 0.1146791
560, 630.9569, 0.5060586, -0.1702229, 0.1146791
560, 501.1869, 0.5259552, -0.1806244, 0.1146791
560, 398.1069, 0.5393729, -0.2016149, 0.1146791
561, 316.2275, 0.56754, -0.2389133, 0.1114273
561, 251.1884, 0.569487, -0.2594706, 0.1114273
561, 199.5261, 0.5858776, 0.02126958, 0.1114273
561, 158.4892, 0.6365833, -0.3207867, 0.1114273
561, 125.8924, 0.6621246, -0.3718065, 0.1114273
562, 99.99991, 0.6835538, -0.4458353, 0.1180886
562, 79.43275, 0.7207525, -0.4846942, 0.1180886
563, 63.09567, 0.4068892, 0.1597457, 0.1680644
563, 50.11867, 0.3648848, 0.1331414, 0.1680644
563, 39.81068, 0.345673, 0.1036528, 0.1680644
563, 31.62274, 0.3326051, 0.07795285, 0.1680644
563, 25.11884, 0.3201803, 0.0515821, 0.1680644
564, 19.9526, 0.3211932, 0.02731108, 0.07216967
564, 15.84891, 0.319008, 0.01448367, 0.07216967
564, 12.58924, 0.3209157, -0.007023455, 0.07216967
564, 9.999988, 0.3239954, -0.02348912, 0.07216967
564, 7.943272, 0.3287581, -0.03646615, 0.07216967
565, 6.309565, 0.3351039, -0.05468966, 0.1253182
565, 5.011866, 0.3415547, -0.07468902, 0.1253182
565, 3.981066, 1.624431, -0.06863686, 0.1253182
567, 3.162273, 0.3626175, -0.1060224, 0.1154525
567, 2.511883, 0.3882492, -0.1229403, 0.1154525
568, 1.995259, 1.674646, -0.06976471, 0.1231241
569, 1.584891, 1.616749, -0.03350131, 0.1169363
570, 1.258924, 1.702786, -0.1039708, 0.1090753
571, 0.999998, 1.790338, -0.1132688, 0.1193672
572, 0.794327, 1.776193, -0.1060367, 0.11711
574, 0.630956, 1.813951, -0.1191817, 0.1150105
576, 0.501186, 1.936745, -0.023872, 0.1144738
578, 0.398106, 2.267825, 0.07879631, 0.1178519
581, 0.316227, 2.676097, 0.3482243, 0.1196356
586, 0.251188, 2.990895, 0.4190597, 0.111159
591, 0.199526, 3.12976, 0.2157857, 0.1140319
597, 0.158489, 2.691373, -0.04144526, 0.1073548
605, 0.125892, 1.895754, -0.1609013, 0.1108275
615, 0.1, 1.244352, -0.0955571, 0.1072916
