Experiment:, EIS
Start date:, p?tek 21. dubna 2023
Start time:, 13:32:23 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
1014, 100000, 0.003429407, -0.002868488
1014, 89125.09, 0.002045398, 0.00212139
1014, 79432.82, 0.002487028, -0.002280026
1015, 70794.57, -0.001687419, -3.437256e-05
1015, 63095.73, -1.886791e-05, -0.005096438
1015, 56234.13, 0.00100049, -0.005078043
1015, 50118.71, 0.0016967, -0.006297882
1016, 44668.35, 0.00221277, 0.005168893
1016, 39810.71, 0.003254636, 0.002525798
1016, 35481.33, 0.001032421, 0.0007871073
1016, 31622.77, 0.001864192, 0.0005494658
1017, 28183.82, 0.001576029, 0.0002286119
1017, 25118.85, 0.002250992, -0.0001055577
1017, 22387.2, 0.002345783, -0.0005597247
1017, 19952.61, 0.002408539, -0.0001459795
1018, 17782.79, 0.002372922, -0.0003764504
1018, 15848.92, 0.002450299, -0.0003688463
1018, 14125.37, 0.002360802, -0.0003280024
1018, 12589.25, 0.00258805, -0.0003340559
1019, 11220.18, 0.002639152, -0.000411868
1019, 9999.993, 0.002611786, -0.0003438626
1019, 8912.503, 0.002691339, -0.0003864499
1019, 7943.276, 0.002730723, -0.0003257666
1020, 7079.452, 0.002731778, -0.0003395529
1020, 6309.568, 0.002783177, -0.0003596616
1020, 5623.409, 0.002785422, -0.0003406043
1020, 5011.868, 0.002810593, -0.0003666594
1021, 4466.832, 0.002829542, -0.000386288
1021, 3981.068, 0.002852417, -0.000391232
1021, 3548.131, 0.002864149, -0.0004168076
1021, 3162.275, 0.002882822, -0.0004438748
1022, 2818.38, 0.002891847, -0.000465812
1022, 2511.884, 0.002908443, -0.0004939857
1022, 2238.719, 0.002917894, -0.0005310252
1022, 1995.26, 0.002938724, -0.0005704762
1023, 1778.277, 0.002951162, -0.0006206279
1023, 1584.891, 0.002968643, -0.0006797569
1023, 1412.536, 0.00298191, -0.0007387103
1023, 1258.924, 0.003008119, -0.000809057
1024, 1122.017, 0.003025029, -0.0008804051
1024, 999.9988, 0.003041625, -0.0009682463
1024, 891.2498, 0.003087046, -0.001064738
1024, 794.3272, 0.003126744, -0.001172765
1024, 707.9448, 0.003163431, -0.001297503
1024, 630.9565, 0.003209351, -0.001420104
1025, 562.3405, 0.003264724, -0.001563786
