Experiment:, EIS
Start date:, ?ter? 25. dubna 2023
Start time:, 10:20:04 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
961, 100000, -0.003951213, 0.006108877
961, 89125.09, 0.01791047, -0.007979996
961, 79432.82, -0.01683804, 0.003776265
961, 70794.57, 0.000180619, -0.0003714451
962, 63095.73, -0.002913014, 0.0009772276
962, 56234.13, 0.02007364, -0.01201446
962, 50118.71, -0.01626843, -0.006763145
962, 44668.35, -0.01229463, 0.006992825
963, 39810.71, 0.004525856, -0.03711896
963, 35481.33, 0.005707829, 0.005087835
963, 31622.77, -0.0008598671, -0.004757295
963, 28183.82, 0.001958241, 0.001934315
964, 25118.85, -0.0005271409, -1.860005e-05
964, 22387.2, 0.004461654, -0.00114492
964, 19952.61, 0.00234853, 0.0001909219
964, 17782.79, 0.002556699, 0.0007395738
965, 15848.92, 0.0005237591, -0.002919088
965, 14125.37, 0.00332166, -0.0007032453
965, 12589.25, 0.003430028, -0.0009831022
965, 11220.18, 0.003325492, -0.001063128
966, 9999.993, 0.002992535, -0.00127419
966, 8912.503, 0.003429891, -0.000237573
966, 7943.276, 0.003147812, -0.0009756584
966, 7079.452, 0.003519484, -0.0005446094
967, 6309.568, 0.003611493, -0.0003575132
967, 5623.409, 0.003532236, -0.0004026062
967, 5011.868, 0.00361271, -0.0005280893
967, 4466.832, 0.0036673, -0.0005330398
968, 3981.068, 0.003571302, -0.0005917861
968, 3548.131, 0.003628776, -0.0006305319
968, 3162.275, 0.003694202, -0.0006764349
968, 2818.38, 0.003799732, -0.0006882878
969, 2511.884, 0.003778188, -0.0007133442
969, 2238.719, 0.003800423, -0.0007682018
969, 1995.26, 0.004033608, -0.0009111313
969, 1778.277, 0.003910753, -0.0009033899
970, 1584.891, 0.003918715, -0.0009251436
970, 1412.536, 0.004001993, -0.000948384
970, 1258.924, 0.004060566, -0.001044885
970, 1122.017, 0.00414626, -0.001133869
971, 999.9988, 0.004114864, -0.001286867
971, 891.2498, 0.004330521, -0.001242597
971, 794.3272, 0.004397374, -0.001439772
971, 707.9448, 0.004492099, -0.001375469
971, 630.9565, 0.004657068, -0.001494145
971, 562.3405, 0.00479674, -0.001579217
972, 501.1865, 0.004983928, -0.001774469
972, 446.6829, 0.005113346, -0.001675649
972, 398.1066, 0.005326069, -0.001843983
972, 354.8128, 0.005448395, -0.001747372
972, 316.2273, 0.005637547, -0.0017837
972, 281.8378, 0.005836732, -0.001770051
973, 251.1882, 0.006006909, -0.001771472
973, 223.8717, 0.006186889, -0.001729437
973, 199.5259, 0.006369335, -0.001637384
973, 177.8276, 0.006534667, -0.001602144
973, 158.489, 0.006675296, -0.001536933
973, 141.2535, 0.006834596, -0.001448105
973, 125.8923, 0.006953993, -0.001345543
974, 112.2016, 0.007055394, -0.001225088
974, 99.9998, 0.006982618, -0.001156145
974, 89.12492, 0.007221164, -0.001100757
974, 79.43266, 0.007305692, -0.001011905
974, 70.79443, 0.007340293, -0.0009066121
974, 63.0956, 0.007420702, -0.000825846
975, 56.23401, 0.007438952, -0.0007660948
975, 50.11861, 0.007475186, -0.000713868
975, 44.66826, 0.007542269, -0.0006271605
975, 39.81063, 0.007541698, -0.0006175878
975, 35.48126, 0.007560679, -0.000543697
975, 31.6227, 0.00760535, -0.0004982335
