Experiment:, EIS
Start date:, p?tek 5. kv?tna 2023
Start time:, 13:54:13 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
271, 100000, -0.04879404, 0.06656402
271, 89125.09, -0.001221862, 0.001807304
271, 79432.82, -0.0009760326, 0.0007239119
272, 70794.57, 0.002529261, 0.002315713
272, 63095.73, 0.002984106, -0.002371839
272, 56234.13, 0.001643523, -5.80808e-05
272, 50118.71, -0.004942567, -0.004853274
273, 44668.35, 0.003283374, -0.0009076597
273, 39810.71, 0.002496365, -0.0002621126
273, 35481.33, 0.002026316, -7.584654e-06
273, 31622.77, 0.001856838, 0.0002377497
274, 28183.82, 0.001558808, -0.0003431607
274, 25118.85, 0.00192419, 0.0003566442
274, 22387.2, 0.001952486, -0.0004026536
274, 19952.61, 0.002092971, -4.227494e-05
275, 17782.79, 0.002272949, -7.589026e-05
275, 15848.92, 0.00217666, -0.0001590822
275, 14125.37, 0.002252608, -0.0002849964
275, 12589.25, 0.002278674, -0.0003447447
276, 11220.18, 0.002279453, -0.0003472955
276, 9999.993, 0.002367443, -0.0003789313
276, 8912.503, 0.002413613, -0.0003826593
276, 7943.276, 0.002434838, -0.0004120209
277, 7079.452, 0.002459186, -0.0004182705
277, 6309.568, 0.002489649, -0.0004381591
277, 5623.409, 0.00252933, -0.0004582079
277, 5011.868, 0.002547822, -0.0004840365
278, 4466.832, 0.002571173, -0.0005098002
278, 3981.068, 0.002597753, -0.0005344498
278, 3548.131, 0.002630145, -0.0005609048
278, 3162.275, 0.002649716, -0.0005929915
279, 2818.38, 0.002683522, -0.0006356298
279, 2511.884, 0.002711477, -0.0006781478
279, 2238.719, 0.002740281, -0.0007260168
279, 1995.26, 0.002773337, -0.0007847658
280, 1778.277, 0.002803277, -0.0008366685
280, 1584.891, 0.002837671, -0.0009029235
280, 1412.536, 0.002873085, -0.0009798434
280, 1258.924, 0.002913906, -0.001057258
281, 1122.017, 0.002963356, -0.001144831
281, 999.9988, 0.003027456, -0.00126008
281, 891.2498, 0.003067306, -0.001349366
281, 794.3272, 0.003132902, -0.001471603
281, 707.9448, 0.003206121, -0.001593461
281, 630.9565, 0.003290687, -0.001728442
282, 562.3405, 0.003388071, -0.001886274
282, 501.1865, 0.003526069, -0.002081975
282, 446.6829, 0.003629789, -0.002210896
282, 398.1066, 0.003813168, -0.002429846
282, 354.8128, 0.003944938, -0.002585001
282, 316.2273, 0.004138815, -0.002779595
282, 281.8378, 0.004367049, -0.002984398
283, 251.1882, 0.004615608, -0.003180376
283, 223.8717, 0.004903282, -0.003374516
283, 199.5259, 0.005238361, -0.003560181
283, 177.8276, 0.005564655, -0.003721284
283, 158.489, 0.00594045, -0.003860996
283, 141.2535, 0.006355738, -0.00397682
283, 125.8923, 0.006776143, -0.004064668
284, 112.2016, 0.007212926, -0.004092831
284, 99.9998, 0.007628534, -0.004067492
284, 89.12492, 0.008090572, -0.004046999
284, 79.43266, 0.00852349, -0.003956317
284, 70.79443, 0.008933782, -0.003821947
284, 63.0956, 0.009313281, -0.003676414
285, 56.23401, 0.009658036, -0.003479253
285, 50.11861, 0.00997594, -0.003279607
285, 44.66826, 0.01026982, -0.00306358
285, 39.81063, 0.01049567, -0.002821185
285, 35.48126, 0.01072435, -0.002613049
285, 31.6227, 0.01090598, -0.002407911
286, 28.18376, 0.01107074, -0.002161138
286, 25.11881, 0.01117536, -0.002002458
286, 22.38716, 0.01128595, -0.001802365
286, 19.95257, 0.01138846, -0.001596864
286, 17.78275, 0.01143123, -0.001406508
286, 15.84889, 0.0115285, -0.001289753
287, 14.12534, 0.01150994, -0.001137695
287, 12.58922, 0.0116194, -0.001021144
287, 11.22016, 0.01155177, -0.0008438686
287, 9.999973, 0.01155257, -0.0007949884
287, 8.912485, 0.01162326, -0.0006817824
288, 7.943261, 0.0116156, -0.0005849901
288, 7.079438, 0.01164569, -0.0004430919
288, 6.309556, 0.01163713, -0.0003854625
288, 5.623397, 0.01162038, -0.000371886
288, 5.011858, 0.01159361, -0.0003230696
289, 4.466823, 0.01157218, -0.0002411532
289, 3.98106, 0.01160695, -0.000212182
289, 3.548123, 0.01159984, -0.0001852087
290, 3.162268, 0.01158529, -0.0001276453
290, 2.818374, 0.01157633, -9.820164e-05
291, 2.511878, 0.0115767, -5.115333e-05
291, 2.238714, 0.01156351, -3.640924e-05
292, 1.995256, 0.01157376, -5.695905e-05
292, 1.778274, 0.01152261, 3.066351e-06
293, 1.584888, 0.01153883, -3.870698e-06
294, 1.412533, 0.01151663, 4.196782e-05
295, 1.258921, 0.01149506, 5.123729e-05
295, 1.122015, 0.01151049, 7.460406e-05
296, 0.999997, 0.01149011, 8.394501e-05
298, 0.891248, 0.0115231, 0.0001207919
299, 0.794325, 0.01145605, 0.0001035033
300, 0.707943, 0.01145048, 0.0001012781
302, 0.630955, 0.01142234, 0.0001371404
304, 0.562339, 0.01141091, 0.0001418036
306, 0.501185, 0.01141091, 0.0001450559
308, 0.446682, 0.01137674, 0.0001277707
311, 0.398106, 0.01134422, 0.0001363181
314, 0.354812, 0.01134734, 0.0001825198
317, 0.316227, 0.01131086, 0.0001315584
320, 0.281837, 0.01129059, 0.0001527956
324, 0.251188, 0.01135453, 0.0002064813
329, 0.223871, 0.01125326, 0.0001140594
334, 0.199525, 0.01127009, 0.000156703
340, 0.177827, 0.01124871, 0.0001489029
346, 0.158489, 0.01129508, 0.0001135339
353, 0.141253, 0.0112336, 0.0001100736
361, 0.125892, 0.01124336, 8.634484e-05
370, 0.112201, 0.01121547, 7.692937e-05
380, 0.1, 0.01120842, 9.076042e-05
