Experiment:, EIS
Start date:, st?eda 26. dubna 2023
Start time:, 14:04:26 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
271, 100000, 0.01671581, -0.0130066
271, 89125.09, 0.002095299, 0.01350747
271, 79432.82, 0.0009904484, 0.003977332
271, 70794.57, -0.0005450164, -0.001419774
272, 63095.73, 0.0002182105, -0.0002486428
272, 56234.13, 0.00799265, 0.009542634
272, 50118.71, -0.00382783, 2.967763e-05
272, 44668.35, -0.002893393, 0.003083414
273, 39810.71, 0.003668927, 0.0001548661
273, 35481.33, 0.003535832, -0.001357365
273, 31622.77, 0.002375684, 0.0001458997
273, 28183.82, 0.002974599, 0.0005182898
274, 25118.85, 0.003367589, -0.0003426373
274, 22387.2, 0.003308552, 0.0001133994
274, 19952.61, 0.0034027, -0.0003216341
274, 17782.79, 0.003510581, -0.0003615771
275, 15848.92, 0.003645116, -0.0003380734
275, 14125.37, 0.00341189, -0.0002830029
275, 12589.25, 0.003676901, -0.0004690334
275, 11220.18, 0.00376895, -0.0002922453
276, 9999.993, 0.003791341, -0.0004455406
276, 8912.503, 0.003810751, -0.0004083808
276, 7943.276, 0.003842665, -0.0004743711
276, 7079.452, 0.003906867, -0.0004459836
277, 6309.568, 0.003932631, -0.000455226
277, 5623.409, 0.003957768, -0.0004833655
277, 5011.868, 0.003992886, -0.0004909169
277, 4466.832, 0.004020222, -0.0004995317
278, 3981.068, 0.004050046, -0.0005227356
278, 3548.131, 0.004073518, -0.0005450581
278, 3162.275, 0.004101685, -0.0005690869
278, 2818.38, 0.004122886, -0.0005993791
279, 2511.884, 0.004145861, -0.0006332651
279, 2238.719, 0.004168738, -0.0006712815
279, 1995.26, 0.004193916, -0.0007090655
279, 1778.277, 0.004218024, -0.0007655413
280, 1584.891, 0.00424138, -0.0008273947
280, 1412.536, 0.004275281, -0.0008927581
280, 1258.924, 0.004304784, -0.0009647964
280, 1122.017, 0.004334771, -0.001043532
281, 999.9988, 0.004357718, -0.001117714
281, 891.2498, 0.004424781, -0.001236176
281, 794.3272, 0.004465598, -0.001336243
281, 707.9448, 0.00452785, -0.001473538
281, 630.9565, 0.004588571, -0.001600769
281, 562.3405, 0.00466021, -0.001749865
282, 501.1865, 0.004763021, -0.001860511
282, 446.6829, 0.004835171, -0.002085618
282, 398.1066, 0.004952654, -0.002229741
282, 354.8128, 0.005086202, -0.002478359
282, 316.2273, 0.005223432, -0.002691967
282, 281.8378, 0.005392733, -0.002911459
283, 251.1882, 0.005579067, -0.003148139
283, 223.8717, 0.005806075, -0.003402084
283, 199.5259, 0.006038172, -0.003676429
283, 177.8276, 0.006335311, -0.003928286
283, 158.489, 0.006655022, -0.004195797
283, 141.2535, 0.007009396, -0.004453494
283, 125.8923, 0.007404183, -0.004710273
284, 112.2016, 0.007859766, -0.004955582
