Experiment:, EIS
Start date:, ?tvrtek 27. dubna 2023
Start time:, 14:50:53 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
961, 100000, 0.001774074, 0.004957706
961, 89125.09, -0.005131244, -0.0119663
961, 79432.82, -0.0006455997, 0.002013424
961, 70794.57, 0.001644976, 0.0009688844
962, 63095.73, -0.005842951, -0.00878909
962, 56234.13, -0.0008452777, 0.004236976
962, 50118.71, -0.01570904, -0.008212941
962, 44668.35, -0.004299692, -0.002416344
963, 39810.71, 0.007190034, 0.01101724
963, 35481.33, -0.008826593, -0.002445897
963, 31622.77, 0.001435813, -0.003381691
963, 28183.82, 0.001346756, 0.00352993
964, 25118.85, 0.002211001, -0.005425132
964, 22387.2, -0.001358459, 0.003585264
964, 19952.61, 0.002675912, -0.0008089323
964, 17782.79, 0.0007229636, 0.0006545309
965, 15848.92, 0.002896514, -0.001766969
965, 14125.37, 0.002277475, -0.0006427293
965, 12589.25, 0.002393212, -0.0005549608
965, 11220.18, 0.003947726, -0.0003253802
966, 9999.993, 0.003028084, -0.0003046459
966, 8912.503, 0.00339647, -0.0002902684
966, 7943.276, 0.00296275, -0.0003712531
966, 7079.452, 0.003059112, -0.0005572464
967, 6309.568, 0.003341856, -0.0004186047
967, 5623.409, 0.003246603, -0.000423006
967, 5011.868, 0.003385305, -0.0004151632
967, 4466.832, 0.003203735, -0.0003324616
968, 3981.068, 0.003353975, -0.000407446
968, 3548.131, 0.003347096, -0.0004772129
968, 3162.275, 0.003347634, -0.0004744932
968, 2818.38, 0.003443387, -0.0004289365
969, 2511.884, 0.003452992, -0.0005207967
969, 2238.719, 0.003486571, -0.000534371
969, 1995.26, 0.003469835, -0.0004116194
969, 1778.277, 0.003497049, -0.0006001882
970, 1584.891, 0.003528024, -0.0006626413
970, 1412.536, 0.003624394, -0.0007088222
970, 1258.924, 0.003654588, -0.0006853818
970, 1122.017, 0.003703946, -0.0007391879
971, 999.9988, 0.00381665, -0.0006595867
971, 891.2498, 0.003792167, -0.0008370604
