Experiment:, EIS
Start date:, ?ter? 23. kv?tna 2023
Start time:, 13:48:03 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
1331, 100000, 0.01491661, 0.0653126
1331, 89125.09, 0.008616256, -0.004906969
1331, 79432.82, -0.002468171, 0.01783922
1331, 70794.57, -0.0001642311, 0.0002432639
1332, 63095.73, 2.614652e-05, 0.005953974
1332, 56234.13, 0.01157439, -0.02318999
1332, 50118.71, 0.1163496, 0.1310934
1332, 44668.35, -0.01766337, -0.002864464
1333, 39810.71, -0.007696841, 0.02348696
1333, 35481.33, 0.005303077, 0.0007718502
1333, 31622.77, 0.0002806259, 0.0001184637
1333, 28183.82, 0.002856412, 0.002973862
1334, 25118.85, 0.002840297, 0.004013273
1334, 22387.2, -0.0007603061, 0.00149562
1334, 19952.61, 0.002995307, 0.0007621722
1334, 17782.79, 0.004105957, -0.001482962
1335, 15848.92, 0.003098887, -0.0002236269
1335, 14125.37, 0.002451356, -0.0007385417
1335, 12589.25, 0.002075461, -0.001289107
1335, 11220.18, 0.002858393, -0.0003803746
1336, 9999.993, 0.002382997, -0.0008050639
1336, 8912.503, 0.002560748, -0.0005477761
1336, 7943.276, 0.002827552, -0.0005928457
1336, 7079.452, 0.002908538, -0.0005426403
1337, 6309.568, 0.003018006, -0.0007623137
1337, 5623.409, 0.003001745, -0.0007471003
1337, 5011.868, 0.00294581, -0.0007188068
1337, 4466.832, 0.003054483, -0.0007803948
1338, 3981.068, 0.003044322, -0.0008177179
1338, 3548.131, 0.003137749, -0.0008512064
1338, 3162.275, 0.003196635, -0.0009203684
1338, 2818.38, 0.003261, -0.001000819
1339, 2511.884, 0.00335599, -0.001135839
1339, 2238.719, 0.003403447, -0.001183452
1339, 1995.26, 0.003652449, -0.001321345
1339, 1778.277, 0.003644638, -0.001324097
1340, 1584.891, 0.003754023, -0.00141494
1340, 1412.536, 0.003960026, -0.001543051
1340, 1258.924, 0.004025392, -0.001563971
1340, 1122.017, 0.004206602, -0.001652172
1341, 999.9988, 0.004394785, -0.001828302
1341, 891.2498, 0.004525903, -0.001698456
1341, 794.3272, 0.004680126, -0.001749671
1341, 707.9448, 0.004946321, -0.001749965
1341, 630.9565, 0.005114471, -0.001715064
1341, 562.3405, 0.005329156, -0.00164659
1342, 501.1865, 0.005474249, -0.001681449
1342, 446.6829, 0.005644767, -0.001488155
1342, 398.1066, 0.005764726, -0.001526559
1342, 354.8128, 0.005915869, -0.001321039
1342, 316.2273, 0.006008317, -0.001221204
1342, 281.8378, 0.006109993, -0.001126312
1343, 251.1882, 0.006200807, -0.001023335
1343, 223.8717, 0.006297667, -0.0009416316
1343, 199.5259, 0.006287215, -0.0009330924
1343, 177.8276, 0.006381692, -0.0007498947
1343, 158.489, 0.006385311, -0.0006477392
1343, 141.2535, 0.006423263, -0.0005728179
1343, 125.8923, 0.006444775, -0.0004957809
1344, 112.2016, 0.006430912, -0.0004368202
1344, 99.9998, 0.006451642, -0.0004398092
1344, 89.12492, 0.006477641, -0.0003449532
1344, 79.43266, 0.006519231, -0.0002712237
1344, 70.79443, 0.006480802, -0.0002321364
1344, 63.0956, 0.006477131, -0.0001818004
1345, 56.23401, 0.006436243, -0.0001444866
1345, 50.11861, 0.006464749, -7.134641e-05
1345, 44.66826, 0.00654081, -0.0001144024
1345, 39.81063, 0.006328663, -0.0002033468
1345, 35.48126, 0.00649774, -3.627859e-05
1345, 31.6227, 0.006412068, -4.063006e-05
1345, 28.18376, 0.006469244, -4.616093e-05
1346, 25.11881, 0.006380128, -5.824226e-06
1346, 22.38716, 0.006461981, 7.617621e-05
1346, 19.95257, 0.006402345, 2.221719e-06
1346, 17.78275, 0.006375433, 3.757181e-05
1346, 15.84889, 0.006318916, 1.578136e-05
1346, 14.12534, 0.006249814, 1.547421e-05
1347, 12.58922, 0.006491041, 0.0002304769
1347, 11.22016, 0.006395228, -9.386421e-06
1347, 9.999973, 0.006355772, 0.0001205789
1347, 8.912485, 0.006252056, 2.26516e-05
1347, 7.943261, 0.006339297, -2.009238e-05
1348, 7.079438, 0.006336679, 0.0001315012
1348, 6.309556, 0.006387346, 0.0001130179
1348, 5.623397, 0.006276594, 2.075008e-05
1348, 5.011858, 0.006318591, 0.0001041469
1349, 4.466823, 0.006316601, 0.0001241309
1349, 3.98106, 0.006242873, -0.0001141236
1349, 3.548123, 0.006318138, 3.074349e-06
1350, 3.162268, 0.00624918, 2.438421e-05
1350, 2.818374, 0.006317112, 0.0001374555
1350, 2.511878, 0.006301139, 9.745244e-05
1351, 2.238714, 0.006331186, 4.783089e-05
1352, 1.995256, 0.006281016, 5.246461e-05
1352, 1.778274, 0.006335243, -4.80856e-05
1353, 1.584888, 0.006310044, -4.618566e-05
1354, 1.412533, 0.006285555, -2.085092e-05
1354, 1.258921, 0.006231366, -4.410732e-05
1355, 1.122015, 0.006235617, -1.329515e-05
1356, 0.999997, 0.006258622, -0.0001307433
1358, 0.891248, 0.006275556, 6.36531e-05
1359, 0.794325, 0.006310012, -5.329898e-05
1360, 0.707943, 0.006179233, -5.095986e-05
