Experiment:, EIS
Start date:, st?eda 21. ?ervna 2023
Start time:, 10:34:48 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
731, 100000, 0.01425977, -0.004675303
731, 89125.09, 0.001056107, -8.656905e-05
731, 79432.82, 0.001792356, -0.001169927
731, 70794.57, 0.0007051954, -0.0007792415
732, 63095.73, -0.002432193, -0.002055078
732, 56234.13, -0.0009449626, -0.0002261054
732, 50118.71, -0.003788775, 0.003149073
732, 44668.35, 0.00216609, 0.00317503
733, 39810.71, 0.002777365, -0.0005531854
733, 35481.33, 0.001255824, -0.000259404
733, 31622.77, 0.001558498, 0.0005363695
733, 28183.82, 0.001301845, -0.0001851173
734, 25118.85, 0.001296816, 0.0001342394
734, 22387.2, 0.001293982, 7.098051e-05
734, 19952.61, 0.001294099, -0.0001450768
734, 17782.79, 0.001319498, -9.073105e-05
735, 15848.92, 0.00134449, -7.158525e-05
735, 14125.37, 0.001337235, -0.0001191126
735, 12589.25, 0.001426534, -6.374682e-05
735, 11220.18, 0.001321408, -9.236347e-05
736, 9999.993, 0.001394545, -0.0001552255
736, 8912.503, 0.001384125, -0.0001962668
736, 7943.276, 0.001438214, -0.0002050955
736, 7079.452, 0.001436612, -0.0002347437
737, 6309.568, 0.001444588, -0.0002426091
737, 5623.409, 0.001457832, -0.0002657827
737, 5011.868, 0.001480115, -0.0002836341
737, 4466.832, 0.00149329, -0.0003042743
738, 3981.068, 0.001507323, -0.0003257232
738, 3548.131, 0.001514921, -0.0003599093
738, 3162.275, 0.001532091, -0.0003921043
738, 2818.38, 0.001545089, -0.0004291119
739, 2511.884, 0.001561297, -0.0004626096
739, 2238.719, 0.001577395, -0.0005109957
739, 1995.26, 0.00160865, -0.0005495327
739, 1778.277, 0.001617316, -0.0006072912
740, 1584.891, 0.001636274, -0.0006681456
740, 1412.536, 0.001664021, -0.0007225148
740, 1258.924, 0.001693131, -0.0007977241
740, 1122.017, 0.00172569, -0.0008739835
741, 999.9988, 0.001767501, -0.0009376497
741, 891.2498, 0.001798447, -0.001046652
741, 794.3272, 0.001839217, -0.001135757
741, 707.9448, 0.001895239, -0.001257516
741, 630.9565, 0.001968394, -0.001371773
741, 562.3405, 0.002046302, -0.001499544
742, 501.1865, 0.002154067, -0.001631039
742, 446.6829, 0.002237739, -0.001782747
742, 398.1066, 0.002345558, -0.001965317
742, 354.8128, 0.002490958, -0.002103533
742, 316.2273, 0.002646786, -0.002271716
742, 281.8378, 0.002821168, -0.002433534
743, 251.1882, 0.003015184, -0.002608665
743, 223.8717, 0.003247449, -0.00277654
743, 199.5259, 0.003516697, -0.002939446
