Experiment:, EIS
Start date:, ?tvrtek 21. z??? 2023
Start time:, 14:33:37 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm), Voltage (V)
579, 100000, 0.0006436897, 0.0006958283, 0.4988376
579, 79432.82, 0.00126211, 0.0007551563, 0.4988376
580, 63095.73, 0.001649537, 0.0004529263, 0.4988376
580, 50118.72, 0.002816329, 0.001441368, 0.4988376
580, 39810.71, 0.002298625, 0.0001751584, 0.4988376
580, 31622.77, 0.002701816, -6.83081e-05, 0.4988376
581, 25118.86, 0.002918322, -0.0002787065, 0.4988376
581, 19952.62, 0.003080091, -0.0004336705, 0.4988376
581, 15848.93, 0.003218432, -0.0005304803, 0.4988376
581, 12589.25, 0.003358441, -0.0006321055, 0.4988376
582, 9999.997, 0.00348919, -0.0007410329, 0.4991536
582, 7943.28, 0.003603033, -0.0008447129, 0.4991536
582, 6309.571, 0.00370428, -0.0009517197, 0.4991536
582, 5011.871, 0.003805609, -0.001082086, 0.4991536
583, 3981.07, 0.003872008, -0.001232183, 0.5001016
583, 3162.276, 0.003965351, -0.001428433, 0.5001016
583, 2511.885, 0.004069166, -0.001672157, 0.5001016
583, 1995.261, 0.004191159, -0.00197399, 0.5001016
584, 1584.892, 0.004319174, -0.002329703, 0.4918858
584, 1258.925, 0.004495395, -0.002761058, 0.4918858
584, 999.9994, 0.004698391, -0.003247953, 0.4918858
584, 794.3277, 0.004964651, -0.003883259, 0.4918858
585, 630.9569, 0.005314237, -0.004644943, 0.4997856
585, 501.1869, 0.005751563, -0.005554419, 0.4997856
585, 398.1069, 0.006331427, -0.006631067, 0.4997856
585, 316.2275, 0.007081716, -0.007909352, 0.4997856
585, 251.1884, 0.008073659, -0.009376714, 0.4997856
585, 199.5261, 0.009405899, -0.01099769, 0.4997856
586, 158.4892, 0.01114332, -0.01273203, 0.4991536
586, 125.8924, 0.01338798, -0.01448878, 0.4991536
586, 99.99991, 0.01619275, -0.0160793, 0.4991536
586, 79.43275, 0.01954692, -0.01732725, 0.4991536
586, 63.09567, 0.02329828, -0.0179814, 0.4991536
586, 50.11867, 0.02721236, -0.01788448, 0.4991536
587, 39.81068, 0.03097287, -0.01705277, 0.5004175
587, 31.62274, 0.03426037, -0.01560854, 0.5004175
587, 25.11884, 0.03694211, -0.01377214, 0.5004175
587, 19.9526, 0.0390381, -0.01184749, 0.5004175
587, 15.84891, 0.04057866, -0.009960072, 0.5004175
587, 12.58924, 0.04163054, -0.008225692, 0.5004175
588, 9.999988, 0.04239388, -0.006781972, 0.5016815
588, 7.943272, 0.04289291, -0.005563882, 0.5016815
588, 6.309565, 0.04327403, -0.004557364, 0.5016815
588, 5.011866, 0.04347048, -0.003728572, 0.5016815
589, 3.981066, 0.04361127, -0.003169884, 0.5004175
589, 3.162273, 0.04383352, -0.002604915, 0.5004175
589, 2.511883, 0.04405044, -0.002207367, 0.5004175
590, 1.995259, 0.04411288, -0.001897893, 0.4993116
591, 1.584891, 0.04434238, -0.001775031, 0.4953617
591, 1.258924, 0.04434802, -0.001331861, 0.4953617
592, 0.999998, 0.04454658, -0.00140133, 0.4996276
594, 0.794327, 0.04473867, -0.001259713, 0.4880939
595, 0.630956, 0.04499005, -0.00113409, 0.4868299
597, 0.501186, 0.04532392, -0.001108719, 0.4651845
600, 0.398106, 0.04567907, -0.001122567, 0.4639205
603, 0.316227, 0.04599747, -0.001096627, 0.4519129
607, 0.251188, 0.04619458, -0.001050648, 0.4569688
612, 0.199526, 0.04666929, -0.0009810935, 0.4613926
619, 0.158489, 0.04724635, -0.0009759351, 0.5102133
627, 0.125892, 0.04774502, -0.001015708, 0.5116352
637, 0.1, 0.04840504, -0.001136175, 0.4985216
