Experiment:, EIS
Start date:, st?eda 27. z??? 2023
Start time:, 11:48:31 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
531, 100000, 0.0007606348, 0.009725894
531, 79432.82, 0.001668597, 0.002009312
531, 63095.73, 0.001426002, -0.0001680896
532, 50118.72, 0.001578071, 0.0008466424
532, 39810.71, 0.00198574, 0.0001790985
532, 31622.77, 0.001629401, 1.858616e-06
532, 25118.86, 0.001841987, -0.000121784
533, 19952.62, 0.001959338, -9.783252e-05
533, 15848.93, 0.002098393, -0.0001319594
533, 12589.25, 0.002147601, -0.0001789355
533, 9999.997, 0.002199776, -0.0002461672
534, 7943.28, 0.00224133, -0.0002964349
534, 6309.571, 0.00228511, -0.0003304637
534, 5011.871, 0.002318842, -0.0003824803
534, 3981.07, 0.002353014, -0.0004403165
535, 3162.276, 0.002386211, -0.0005177708
535, 2511.885, 0.00241884, -0.0006099356
535, 1995.261, 0.00245443, -0.0007296708
535, 1584.892, 0.00248893, -0.0008673717
536, 1258.925, 0.002542059, -0.001050531
536, 999.9994, 0.00260403, -0.001278111
536, 794.3277, 0.002675998, -0.001556303
536, 630.9569, 0.002760477, -0.001882601
536, 501.1869, 0.002894965, -0.002257932
536, 398.1069, 0.003004458, -0.002808816
536, 316.2275, 0.003311318, -0.003433137
537, 251.1884, 0.003659055, -0.004182378
537, 199.5261, 0.004151259, -0.005023059
537, 158.4892, 0.004874238, -0.006046473
537, 125.8924, 0.005881883, -0.00708768
537, 99.99991, 0.007260825, -0.008106722
537, 79.43275, 0.008917518, -0.009025169
538, 63.09567, 0.01085857, -0.009626041
538, 50.11867, 0.01305346, -0.009773596
538, 39.81068, 0.01525, -0.009477073
538, 31.62274, 0.01729258, -0.008973389
538, 25.11884, 0.01894674, -0.007922105
538, 19.9526, 0.02013655, -0.006794699
539, 15.84891, 0.02117593, -0.005600611
539, 12.58924, 0.02166041, -0.004600101
539, 9.999988, 0.02209057, -0.003747082
539, 7.943272, 0.02234444, -0.002935497
539, 6.309565, 0.02261961, -0.002155513
540, 5.011866, 0.02268204, -0.001739178
540, 3.981066, 0.02272591, -0.001203627
540, 3.162273, 0.02262477, -0.0008442136
541, 2.511883, 0.02263714, -0.000520479
541, 1.995259, 0.02259549, -0.0002402772
542, 1.584891, 0.02255073, 5.902889e-07
543, 1.258924, 0.02250299, 7.093742e-05
544, 0.999998, 0.02239266, 0.0002947946
545, 0.794327, 0.02232866, 0.0003879947
547, 0.630956, 0.02216737, 0.0005565627
549, 0.501186, 0.02230077, 0.0008129827
551, 0.398106, 0.0218044, 0.001054603
555, 0.316227, 0.02170472, 0.001155434
559, 0.251188, 0.02169304, 0.0009925469
564, 0.199526, 0.02102835, 0.001742384
570, 0.158489, 0.02116146, 0.001600902
578, 0.125892, 0.02070778, 0.001782494
588, 0.1, 0.02012685, 0.001753927
