Experiment:, EIS
Start date:, ?ter? 3. ??jna 2023
Start time:, 12:04:08 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
1571, 100000, -0.001793088, 0.0003114259
1571, 79432.82, -0.004081904, 0.006064564
1571, 63095.73, -0.006946129, 0.003172829
1572, 50118.72, 0.0926418, -0.009715801
1572, 39810.71, -0.001250366, -0.001449724
1572, 31622.77, 0.0006302383, 0.0009852003
1572, 25118.86, 0.001263548, -0.0001989027
1573, 19952.62, 0.001658628, 3.380425e-05
1573, 15848.93, 0.0009252785, -8.36264e-05
1573, 12589.25, 0.001144872, 6.225584e-05
1573, 9999.997, 0.001092268, -0.0002908951
1574, 7943.28, 0.00100577, -0.0003419191
1574, 6309.571, 0.001064925, -0.0002985321
1574, 5011.871, 0.001090203, -0.0003225965
1574, 3981.07, 0.001129529, -0.0004094931
1575, 3162.276, 0.001165084, -0.0004744366
1575, 2511.885, 0.001198024, -0.0005553058
1575, 1995.261, 0.001256476, -0.0006278078
1575, 1584.892, 0.001308382, -0.0007648549
1576, 1258.925, 0.001387083, -0.0009137092
1576, 999.9994, 0.001462604, -0.001055926
1576, 794.3277, 0.00161713, -0.001299162
1576, 630.9569, 0.001775259, -0.001523401
1576, 501.1869, 0.002012449, -0.001754814
1576, 398.1069, 0.002280434, -0.002046213
1577, 316.2275, 0.002674502, -0.002281397
1577, 251.1884, 0.003123867, -0.002494161
1577, 199.5261, 0.003625863, -0.002634725
1577, 158.4892, 0.004172143, -0.002697224
1577, 125.8924, 0.004715447, -0.002672603
1577, 99.99991, 0.005253634, -0.002582237
1577, 79.43275, 0.005681032, -0.002412655
1577, 63.09567, 0.006061338, -0.002225032
1578, 50.11867, 0.006414173, -0.002055049
1578, 39.81068, 0.006703154, -0.001845119
1578, 31.62274, 0.006971727, -0.001661279
1578, 25.11884, 0.007149518, -0.001485127
1578, 19.9526, 0.007370381, -0.001265354
1578, 15.84891, 0.007478064, -0.001100315
1579, 12.58924, 0.007641764, -0.0009497805
1579, 9.999988, 0.007784223, -0.000838944
1579, 7.943272, 0.007855881, -0.0007027467
1579, 6.309565, 0.007818018, -0.0005614496
1580, 5.011866, 0.007894499, -0.0004278047
1580, 3.981066, 0.007941354, -0.0004119651
1580, 3.162273, 0.007953146, -0.0003148143
1581, 2.511883, 0.007921815, -0.0002681887
1581, 1.995259, 0.008033429, -0.0002036645
1582, 1.584891, 0.007975346, -0.0002050647
1583, 1.258924, 0.007987845, -0.0001773155
1584, 0.999998, 0.008017837, -0.0001356353
1585, 0.794327, 0.008005753, -8.241562e-05
1587, 0.630956, 0.008010182, -0.0001367641
1589, 0.501186, 0.008415356, 0.0001919311
1591, 0.398106, 0.008044246, 5.178096e-05
1595, 0.316227, 0.008106421, -3.753842e-05
1599, 0.251188, 0.008047367, -9.420532e-05
1604, 0.199526, 0.007755299, -0.0004632749
1610, 0.158489, 0.00818259, 0.0001195333
1618, 0.125892, 0.008257923, 2.747034e-05
1628, 0.1, 0.008359709, -0.0001817706
