Experiment:, EIS
Start date:, ?ter? 19. z??? 2023
Start time:, 13:22:56 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
681, 100000, -0.002929601, 0.0008026595
681, 79432.82, 0.003509206, -0.0002289428
681, 63095.73, 2.486377e-05, 0.001366936
682, 50118.72, -0.00113435, 0.003841382
682, 39810.71, 0.002369805, 0.0009523911
682, 31622.77, 0.00249407, -0.0002143087
682, 25118.86, 0.002264701, -0.0001939575
683, 19952.62, 0.002523138, -0.0002971006
683, 15848.93, 0.00263342, -0.0004899887
683, 12589.25, 0.002660214, -0.0004606955
683, 9999.997, 0.002782251, -0.0005419315
684, 7943.28, 0.002880483, -0.0006022131
684, 6309.571, 0.00296617, -0.0006800414
684, 5011.871, 0.003044607, -0.0007621588
684, 3981.07, 0.003127691, -0.000866827
685, 3162.276, 0.003210659, -0.0009929187
685, 2511.885, 0.003311957, -0.001150011
685, 1995.261, 0.003446206, -0.001334221
685, 1584.892, 0.003588553, -0.001561907
686, 1258.925, 0.003788664, -0.001810774
686, 999.9994, 0.004035379, -0.002129132
686, 794.3277, 0.004362836, -0.002404525
686, 630.9569, 0.004770344, -0.002716491
686, 501.1869, 0.005258428, -0.002947335
686, 398.1069, 0.005819275, -0.003294839
686, 316.2275, 0.00654381, -0.003415103
687, 251.1884, 0.007285296, -0.003470517
687, 199.5261, 0.007983622, -0.003350859
687, 158.4892, 0.008681769, -0.003165795
687, 125.8924, 0.009283805, -0.002849754
687, 99.99991, 0.009717228, -0.002452641
687, 79.43275, 0.01011508, -0.002114521
688, 63.09567, 0.01038501, -0.001740194
688, 50.11867, 0.0105347, -0.001411879
688, 39.81068, 0.01065703, -0.001121336
688, 31.62274, 0.01073703, -0.0008742827
688, 25.11884, 0.01081301, -0.0006638094
688, 19.9526, 0.01080639, -0.0004829931
689, 15.84891, 0.01081442, -0.0003514735
689, 12.58924, 0.01079656, -0.0002829613
689, 9.999988, 0.01079529, -0.0002140011
689, 7.943272, 0.01077344, -0.0001358883
689, 6.309565, 0.01074628, -0.0001143042
690, 5.011866, 0.01076001, -4.100862e-05
690, 3.981066, 0.01076789, -2.837005e-05
690, 3.162273, 0.0107039, -2.140512e-05
691, 2.511883, 0.01071685, -2.369883e-05
691, 1.995259, 0.01070958, -9.58812e-06
692, 1.584891, 0.01068707, 4.370675e-06
693, 1.258924, 0.0106842, -5.444857e-05
694, 0.999998, 0.01068089, -3.8925e-05
695, 0.794327, 0.01068721, -4.330283e-05
697, 0.630956, 0.01069732, -4.755836e-05
699, 0.501186, 0.01075425, -9.824663e-06
701, 0.398106, 0.01069498, -3.009516e-05
704, 0.316227, 0.01073978, -9.734516e-05
708, 0.251188, 0.01008057, 0.0001045843
714, 0.199526, 0.01068283, 4.323245e-05
720, 0.158489, 0.01084878, -4.776894e-05
728, 0.125892, 0.01021032, 0.0005226496
738, 0.1, 0.010904, -3.6571e-05
