Experiment:, EIS
Start date:, p?tek 27. ??jna 2023
Start time:, 12:23:05 +02:00
Time (s), Voltage (V)
160, 0.6977542
161, 0.6999661
162, 0.6999661
163, 0.6999661
164, 0.6999661
165, 0.6999661
166, 0.6999661
167, 0.6999661
168, 0.6999661
169, 0.6999661
170, 0.6998081
171, 0.6998081
172, 0.6998081
173, 0.6999661
174, 0.6999661
175, 0.6998081
176, 0.6999661
177, 0.6999661
178, 0.6998081
179, 0.6998081
180, 0.6998081
181, 0.6998081
182, 0.6998081
183, 0.6998081
184, 0.6998081
185, 0.6998081
186, 0.6998081
187, 0.6998081
188, 0.6999661
189, 0.6999661
190, 0.6999661
191, 0.6999661
192, 0.6999661
193, 0.6999661
194, 0.6999661
195, 0.6999661
196, 0.6999661
197, 0.6999661
198, 0.6999661
199, 0.6999661
200, 0.6999661
201, 0.6999661
202, 0.6999661
203, 0.6999661
204, 0.6998081
205, 0.6998081
206, 0.6998081
207, 0.6998081
208, 0.6999661
209, 0.6999661
210, 0.6999661
211, 0.6999661
212, 0.6999661
213, 0.6999661
214, 0.6999661
215, 0.6999661
216, 0.6999661
217, 0.7001241
218, 0.7001241
219, 0.6999661
220, 0.6999661
220, 0.6999661
221, 0.6998081
221, 0.6998081
221, 0.6998081
221, 0.6998081
222, 0.6999661
222, 0.6999661
222, 0.6999661
222, 0.6999661
223, 0.6999661
223, 0.6999661
223, 0.6999661
223, 0.6999661
224, 0.7004401
224, 0.7004401
224, 0.7004401
224, 0.7004401
225, 0.6884325
225, 0.6884325
225, 0.6884325
225, 0.6884325
225, 0.6884325
226, 0.6958582
226, 0.6958582
226, 0.6958582
226, 0.6958582
226, 0.6958582
227, 0.6993341
227, 0.6993341
227, 0.6993341
227, 0.6993341
227, 0.6993341
227, 0.6993341
228, 0.6998081
228, 0.6998081
228, 0.6998081
228, 0.6998081
228, 0.6998081
228, 0.6998081
228, 0.6998081
229, 0.70281
229, 0.70281
229, 0.70281
230, 0.7024941
230, 0.7024941
230, 0.7024941
231, 0.6920664
232, 0.7077079
232, 0.7077079
233, 0.6998081
234, 0.6964902
235, 0.6723168
236, 0.7231915
237, 0.6841666
238, 0.7149757
239, 0.669157
240, 0.7506828
241, 0.6478276
242, 0.7097619
243, 0.7494188
244, 0.6497235
245, 0.6738968
246, 0.7579505
247, 0.7247715
248, 0.6411918
249, 0.6633112
250, 0.740571
251, 0.7619004
252, 0.6979122
253, 0.6366099
254, 0.6538314
255, 0.7163977
256, 0.7639544
257, 0.7530527
258, 0.6936463
259, 0.6399277
260, 0.6386638
261, 0.6792687
262, 0.7318813
263, 0.7655343
264, 0.7601625
265, 0.7190837
266, 0.6664711
267, 0.6336079
268, 0.6385058
269, 0.669315
270, 0.7116578
271, 0.7497348
272, 0.7685363
273, 0.7611105
274, 0.7303013
275, 0.6878005
276, 0.6500395
277, 0.63108
278, 0.6765828
