Experiment:, EIS
Start date:, ?ter? 30. ledna 2024
Start time:, 14:54:17 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
531, 100000, -0.00502791, -0.009148874
531, 79432.82, 0.005052388, 0.0002778012
531, 63095.73, 0.00157776, 0.003187485
532, 50118.72, -0.000154495, 0.001270401
532, 39810.71, 0.002387049, 0.00172653
532, 31622.77, 0.003768567, 5.699276e-05
532, 25118.86, 0.003775404, -0.0002334779
533, 19952.62, 0.004035901, -0.0003861705
533, 15848.93, 0.004212897, -0.0005212911
533, 12589.25, 0.004409831, -0.0006475569
533, 9999.997, 0.004615712, -0.0007538048
534, 7943.28, 0.004747458, -0.0008812072
534, 6309.571, 0.004874276, -0.0009847552
534, 5011.871, 0.004996015, -0.001099228
534, 3981.07, 0.00513337, -0.001241458
535, 3162.276, 0.005269918, -0.001414561
535, 2511.885, 0.005424281, -0.001621123
535, 1995.261, 0.005610466, -0.001850907
535, 1584.892, 0.005832108, -0.002153138
536, 1258.925, 0.006127339, -0.002481195
536, 999.9994, 0.006488592, -0.002801024
536, 794.3277, 0.006971413, -0.003227896
536, 630.9569, 0.007546579, -0.003573444
536, 501.1869, 0.00822627, -0.003793498
536, 398.1069, 0.009103192, -0.004149542
536, 316.2275, 0.009911642, -0.004143575
537, 251.1884, 0.01075921, -0.004051038
537, 199.5261, 0.011626, -0.003828793
537, 158.4892, 0.01231908, -0.003475429
537, 125.8924, 0.01290944, -0.003047448
537, 99.99991, 0.0133785, -0.002605592
537, 79.43275, 0.01370281, -0.00213672
538, 63.09567, 0.01391527, -0.001749793
538, 50.11867, 0.01404331, -0.001410229
538, 39.81068, 0.01413092, -0.001096791
538, 31.62274, 0.01419113, -0.0008659622
538, 25.11884, 0.01424437, -0.0006764883
538, 19.9526, 0.01424848, -0.0005156623
539, 15.84891, 0.01420697, -0.0003535948
539, 12.58924, 0.01419958, -0.0002757176
539, 9.999988, 0.01421926, -0.0001801645
539, 7.943272, 0.01414849, -0.0001983073
539, 6.309565, 0.01414433, -0.000138867
539, 5.011866, 0.0143939, -0.0001531714
540, 3.981066, 0.01414932, -8.995494e-05
540, 3.162273, 0.01418443, -5.14878e-05
541, 2.511883, 0.01408792, -0.0001056864
541, 1.995259, 0.01411051, -8.689713e-05
542, 1.584891, 0.01405013, -0.0001077369
543, 1.258924, 0.01420662, -8.967319e-05
544, 0.999998, 0.01436164, -0.0001411128
545, 0.794327, 0.0143814, -0.0001526426
547, 0.630956, 0.01432167, -0.000325066
549, 0.501186, 0.01441411, -0.0003818155
551, 0.398106, 0.01433723, -0.0009440402
555, 0.316227, 0.01520267, -0.001099064
559, 0.251188, 0.01530343, -0.0008311674
564, 0.199526, 0.01488577, -0.0002231304
570, 0.158489, 0.01458806, -0.0001881475
578, 0.125892, 0.01472821, -0.0007175706
588, 0.1, 0.01489628, -0.0005672101
