Experiment:, EIS
Start date:, ?tvrtek 1. ?nora 2024
Start time:, 12:05:39 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
271, 100000, 0.007724582, 0.008807951
271, 89125.09, 0.0009873301, -0.004970991
271, 79432.82, 0.002934224, -0.002338785
272, 70794.57, 0.007078759, -0.002643836
272, 63095.73, 0.001534256, 0.005160781
272, 56234.13, 0.00305499, -0.001158472
272, 50118.71, 0.009148544, -0.0002086497
272, 44668.35, 0.007103019, 0.001718363
273, 39810.71, 0.004487562, -0.0008092471
273, 35481.33, 0.003437203, 0.002020858
273, 31622.77, 0.004104774, -0.001926339
273, 28183.82, 0.004480985, -0.0008996108
274, 25118.85, 0.004006063, -0.0006545651
274, 22387.2, 0.004041445, -0.0002953413
274, 19952.61, 0.00404084, -0.0006899161
275, 17782.79, 0.004330103, -0.0006342769
275, 15848.92, 0.004405741, -0.0004563018
275, 14125.37, 0.004726828, -0.0006052737
275, 12589.25, 0.004516749, -0.0007189437
275, 11220.18, 0.004712555, -0.000736332
276, 9999.993, 0.00493096, -0.0008151572
276, 8912.503, 0.005063292, -0.0009466916
276, 7943.276, 0.005075398, -0.0009862897
276, 7079.452, 0.005172504, -0.001004489
277, 6309.568, 0.005218703, -0.001076194
277, 5623.409, 0.005300385, -0.001115357
277, 5011.868, 0.00537075, -0.00119356
277, 4466.832, 0.005436569, -0.001259279
278, 3981.068, 0.005518654, -0.001330158
278, 3548.131, 0.005596431, -0.001410823
278, 3162.275, 0.005664452, -0.001500242
278, 2818.38, 0.005737335, -0.001600292
279, 2511.884, 0.005814311, -0.001707668
279, 2238.719, 0.005898554, -0.001832698
279, 1995.26, 0.005999686, -0.0019578
279, 1778.277, 0.006090004, -0.002121257
280, 1584.891, 0.00619267, -0.002286281
280, 1412.536, 0.006308829, -0.002446316
280, 1258.924, 0.00644144, -0.002643824
280, 1122.017, 0.006597295, -0.002851991
281, 999.9988, 0.006735083, -0.003035694
281, 891.2498, 0.006972603, -0.00330746
281, 794.3272, 0.007147212, -0.003568864
281, 707.9448, 0.007416733, -0.003844353
281, 630.9565, 0.00769816, -0.004126615
281, 562.3405, 0.008008951, -0.004410136
282, 501.1865, 0.008428055, -0.004627679
282, 446.6829, 0.008762463, -0.004992852
282, 398.1066, 0.00910191, -0.005207737
282, 354.8128, 0.009703215, -0.005553126
282, 316.2273, 0.01023881, -0.005816952
282, 281.8378, 0.01079693, -0.006006693
282, 251.1882, 0.01145224, -0.006186659
283, 223.8717, 0.01210255, -0.006297851
283, 199.5259, 0.01284326, -0.006385087
283, 177.8276, 0.01348654, -0.006366299
283, 158.489, 0.01418071, -0.006293642
283, 141.2535, 0.01488385, -0.006176773
283, 125.8923, 0.01546686, -0.005944604
284, 112.2016, 0.01613032, -0.005616057
284, 99.9998, 0.01665896, -0.005427365
284, 89.12492, 0.01715702, -0.005013688
284, 79.43266, 0.01765041, -0.004643972
284, 70.79443, 0.01797654, -0.004235848
284, 63.0956, 0.01829419, -0.003878826
285, 56.23401, 0.01858349, -0.003485831
285, 50.11861, 0.01876902, -0.00316847
285, 44.66826, 0.01897378, -0.002832888
285, 39.81063, 0.01899421, -0.002556872
285, 35.48126, 0.01922543, -0.002234111
285, 31.6227, 0.01922128, -0.001971274
285, 28.18376, 0.0193573, -0.00170174
286, 25.11881, 0.01933344, -0.001409437
286, 22.38716, 0.01945362, -0.001313475
286, 19.95257, 0.01936355, -0.001114291
286, 17.78275, 0.0194035, -0.000949772
286, 15.84889, 0.01931662, -0.0008003896
286, 14.12534, 0.01936433, -0.0006318904
287, 12.58922, 0.0194474, -0.000494186
287, 11.22016, 0.01940083, -0.0004263898
287, 9.999973, 0.0193288, -0.0002683003
287, 8.912485, 0.01929891, -0.0003491223
287, 7.943261, 0.01924388, -0.0002018036
288, 7.079438, 0.0192139, -0.0001015358
288, 6.309556, 0.01926821, -7.083642e-05
288, 5.623397, 0.01918064, 1.219941e-05
288, 5.011858, 0.01910846, -1.384497e-05
289, 4.466823, 0.01920611, 0.0001113307
289, 3.98106, 0.01904761, 7.370963e-05
289, 3.548123, 0.0190263, 0.0001044694
290, 3.162268, 0.01903626, 0.0001094375
290, 2.818374, 0.01898997, 4.5182e-05
290, 2.511878, 0.0189901, 8.736917e-05
291, 2.238714, 0.01895973, 5.643518e-05
292, 1.995256, 0.01894945, 7.397633e-05
292, 1.778274, 0.0188818, 9.699217e-05
293, 1.584888, 0.01892768, 7.261332e-05
294, 1.412533, 0.01894032, 0.0001163747
294, 1.258921, 0.0189617, 4.102088e-05
