Experiment:, EIS
Start date:, ?tvrtek 1. ?nora 2024
Start time:, 14:24:21 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm), Voltage (V)
161, 100000, -0.0134912, -0.02967946, 0.70518
161, 79432.82, 0.023761, -0.01017727, 0.70518
161, 63095.73, 0.04856642, -0.001413111, 0.70518
162, 50118.72, 0.03480357, -0.01451003, 0.6947523
162, 39810.71, 0.02650132, -0.01007795, 0.6947523
162, 31622.77, 0.0284784, -0.007159297, 0.6947523
162, 25118.86, 0.03370178, -0.01638813, 0.6947523
162, 19952.62, 0.02884918, 0.00781168, 0.6947523
163, 15848.93, 0.04622184, -0.002063503, 0.7026521
163, 12589.25, 0.04360776, -0.007967, 0.7026521
163, 9999.997, 0.03458462, -0.006808877, 0.7026521
163, 7943.28, 0.0496885, 0.01350205, 0.7026521
164, 6309.571, 0.04649751, -0.006023247, 0.1174888
164, 5011.871, 0.04460934, -0.007020348, 0.1174888
164, 3981.07, 0.04482225, -0.007209343, 0.1174888
164, 3162.276, 0.04580101, -0.006753392, 0.1174888
165, 2511.885, 0.04880771, -0.006653736, 0.2105738
165, 1995.261, 0.04894012, -0.007344727, 0.2105738
166, 1584.892, 0.04974878, -0.00809706, 0.2288372
166, 1258.925, 0.0507929, -0.008934048, 0.2288372
166, 999.9994, 0.05155627, -0.009364698, 0.2288372
166, 794.3277, 0.05303613, -0.01067144, 0.2288372
167, 630.9569, 0.05455508, -0.01227705, 0.2202343
167, 501.1869, 0.05630272, -0.01270756, 0.2202343
167, 398.1069, 0.0566757, -0.01341953, 0.2202343
167, 316.2275, 0.05961958, -0.01527101, 0.2202343
167, 251.1884, 0.06168726, -0.0169103, 0.2202343
167, 199.5261, 0.06429771, -0.01851943, 0.2202343
168, 158.4892, 0.06832244, -0.02098573, 0.2479846
168, 125.8924, 0.07245445, -0.02029433, 0.2479846
168, 99.99991, 0.07501567, -0.02276199, 0.2479846
168, 79.43275, 0.07960632, -0.02293509, 0.2479846
168, 63.09567, 0.08315934, -0.02300407, 0.2479846
169, 50.11867, 0.09196682, -0.02119423, 0.2238491
169, 39.81068, 0.09329494, -0.01711177, 0.2238491
169, 31.62274, 0.0963188, -0.02131028, 0.2238491
169, 25.11884, 0.1012639, -0.01583202, 0.2238491
169, 19.9526, 0.1083331, -0.0214139, 0.2238491
170, 15.84891, 0.104093, -0.01543368, 0.2211183
170, 12.58924, 0.1089251, -0.01064298, 0.2211183
170, 9.999988, 0.1163667, -0.01599133, 0.2211183
170, 7.943272, 0.116779, -0.01113957, 0.2211183
170, 6.309565, 0.104977, -0.008633952, 0.2211183
171, 5.011866, 0.1090665, -0.01030635, 0.2220496
171, 3.981066, 0.1096682, -0.0038171, 0.2220496
171, 3.162273, 0.1141569, -0.006656159, 0.2220496
172, 2.511883, 0.1099443, -0.002629617, 0.2289003
173, 1.995259, 0.1141094, -0.002194459, 0.2239596
174, 1.584891, 0.11538, -0.0007473254, 0.2300684
174, 1.258924, 0.1135242, -0.0004739262, 0.2300684
175, 0.999998, 0.1157424, 0.0005614777, 0.2250172
177, 0.794327, 0.1121435, -0.002157458, 0.2227599
178, 0.630956, 0.1127858, 0.002415631, 0.2246384
180, 0.501186, 0.1130242, -0.000580575, 0.2310945
183, 0.398106, 0.1121389, 0.002960753, 0.2305262
186, 0.316227, 0.1122312, 0.002889264, 0.2320258
