Experiment:, Load
Start date:, st?eda 31. srpna 2022
Start time:, 16:42:33 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
150.1, 0.01823028, 1.083106
150.3, -0.08873863, 1.058932
150.35, -0.006791682, 0.9303238
150.5, -0.007417239, 0.9377497
150.65, -0.009293883, 0.9224241
150.7, -0.009293883, 0.9191062
150.8, -0.009919429, 0.9107324
150.85, -0.01054498, 0.9064665
150.95, -0.01179608, 0.8949329
151.05, -0.01179608, 0.888613
151.2, -0.01304718, 0.8830832
151.25, -0.01304718, 0.8815032
151.4, -0.01492382, 0.8767633
151.45, -0.01492382, 0.8745514
151.5, -0.01617493, 0.8731294
151.6, -0.01680047, 0.8704435
151.7, -0.01742602, 0.8691795
151.8, -0.01805157, 0.8664936
151.95, -0.01930267, 0.8638077
152, -0.01992822, 0.8627017
152.15, -0.02117932, 0.8600158
152.2, -0.02180487, 0.8589098
152.25, -0.02243042, 0.8578038
152.35, -0.02243042, 0.8578038
152.45, -0.02368151, 0.8559079
152.55, -0.02305596, 0.8552759
152.65, -0.02493261, 0.85259
152.75, -0.02493261, 0.8518
152.9, -0.02680926, 0.8499041
152.95, -0.02680926, 0.8492721
153.05, -0.02806036, 0.8478501
153.1, -0.02806036, 0.8475341
153.25, -0.02931145, 0.8454802
153.3, -0.02931145, 0.8451642
153.35, -0.03056256, 0.8448482
153.5, -0.03118811, 0.8437423
153.6, -0.03243921, 0.8421623
153.7, -0.03181365, 0.8420042
153.8, -0.03306475, 0.8404243
153.85, -0.03306475, 0.8397923
154, -0.03431586, 0.8385284
154.05, -0.03431586, 0.8385284
154.15, -0.03556695, 0.8372644
154.25, -0.03556695, 0.8369485
154.4, -0.03806914, 0.8348945
154.45, -0.03806914, 0.8347365
154.6, -0.0386947, 0.8342625
154.75, -0.04119689, 0.8315766
154.8, -0.04119689, 0.8311026
154.95, -0.04244799, 0.8293646
155, -0.04307353, 0.8287326
155.15, -0.04432464, 0.8271527
155.2, -0.04495018, 0.8268367
155.35, -0.04620128, 0.8258888
155.5, -0.04682683, 0.8249407
155.55, -0.04745239, 0.8243088
155.65, -0.04807793, 0.8235188
155.75, -0.04807793, 0.8232028
155.9, -0.04932903, 0.8224128
155.95, -0.04995458, 0.8219388
156, -0.05058013, 0.8217809
156.1, -0.05058013, 0.8211489
156.25, -0.05308233, 0.8197268
156.3, -0.05308233, 0.8195689
156.45, -0.05495897, 0.8181469
156.5, -0.05433342, 0.8184629
156.55, -0.05558453, 0.8178309
156.7, -0.05683562, 0.816725
156.75, -0.05746117, 0.816409
156.85, -0.05683562, 0.816251
157, -0.05871227, 0.8148291
157.05, -0.05871227, 0.814987
157.2, -0.06058892, 0.813881
157.25, -0.05996337, 0.813407
157.4, -0.06184002, 0.8118271
157.45, -0.06246556, 0.8115111
157.6, -0.06309112, 0.8105631
157.65, -0.06371667, 0.8104051
157.8, -0.06434221, 0.8096152
157.9, -0.06559331, 0.8092992
158, -0.06621886, 0.8081931
158.15, -0.06746996, 0.8077192
158.2, -0.06746996, 0.8074032
158.3, -0.06872107, 0.8067712
158.4, -0.06872107, 0.8066132
158.5, -0.06997216, 0.8058233
158.55, -0.0705977, 0.8055072
158.7, -0.07247435, 0.8044013
158.75, -0.07247435, 0.8042433
158.8, -0.07372544, 0.8036113
158.95, -0.074351, 0.8031374
159.05, -0.07560209, 0.8025053
159.1, -0.07560209, 0.8025053
159.2, -0.0768532, 0.8017154
159.3, -0.07747874, 0.8012414
159.45, -0.07872984, 0.8002934
159.5, -0.07872984, 0.8002934
159.6, -0.07935539, 0.7998194
159.7, -0.07935539, 0.7993454
159.8, -0.08060649, 0.7988715
159.85, -0.08060649, 0.7987134
160, -0.08310869, 0.7976075
160.05, -0.08310869, 0.7974495
160.15, -0.08435979, 0.7971334
160.25, -0.08435979, 0.7965015
160.4, -0.08561088, 0.7961855
160.45, -0.08561088, 0.7961855
160.55, -0.08623644, 0.7953956
160.6, -0.08686198, 0.7947636
160.7, -0.08811309, 0.7941316
160.8, -0.08873863, 0.7938156
160.9, -0.08998973, 0.7934996
161, -0.08998973, 0.7931836
161.1, -0.09124083, 0.7923936
161.2, -0.09249193, 0.7912876
161.35, -0.09374303, 0.7911296
161.55, -0.09436858, 0.7901817
161.6, -0.09499412, 0.7898657
161.75, -0.09561968, 0.7892337
161.8, -0.09624523, 0.7890757
161.95, -0.09749633, 0.7882857
162.05, -0.09812186, 0.7878118
162.1, -0.09874742, 0.7874958
