Experiment:, Load
Start date:, st?eda 12. ??jna 2022
Start time:, 15:43:03 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
150.1, 0.02073248, 1.111703
150.25, 0.02198358, 1.175375
150.3, -0.006166136, 0.9287439
150.35, -0.005540589, 0.9714027
150.5, -0.006791682, 0.9947861
150.6, -0.008042786, 0.9957341
150.7, -0.007417239, 0.9902043
150.75, -0.008042786, 0.9859384
150.85, -0.008042786, 0.9748787
150.95, -0.01054498, 0.9617651
151.05, -0.01179608, 0.9475454
151.15, -0.01242163, 0.9337998
151.25, -0.01242163, 0.9221081
151.4, -0.01429828, 0.9066245
151.45, -0.01492382, 0.9020426
151.6, -0.01492382, 0.8952488
151.75, -0.01680047, 0.889245
151.8, -0.01742602, 0.887191
151.95, -0.01867712, 0.8824512
152, -0.01930267, 0.8813452
152.1, -0.01992822, 0.8794492
152.2, -0.02055377, 0.8775533
152.25, -0.02117932, 0.8761314
152.35, -0.02117932, 0.8743934
152.4, -0.02243042, 0.8723395
152.55, -0.02305596, 0.8709175
152.7, -0.02430707, 0.8694955
152.75, -0.02430707, 0.8691795
152.9, -0.02680926, 0.8655456
152.95, -0.02618371, 0.8652297
153, -0.02680926, 0.8645976
153.1, -0.02680926, 0.8639656
153.25, -0.02931145, 0.8614377
153.3, -0.02868591, 0.8615957
153.45, -0.02993701, 0.8590679
153.5, -0.02993701, 0.8592258
153.65, -0.03181365, 0.8568559
153.7, -0.03181365, 0.8568559
153.8, -0.03306475, 0.8551179
153.85, -0.03306475, 0.8544859
154, -0.03431586, 0.853854
154.05, -0.03431586, 0.85338
154.15, -0.03556695, 0.852432
154.25, -0.0349414, 0.851958
154.4, -0.03619251, 0.8506941
154.45, -0.0374436, 0.849746
154.5, -0.03806914, 0.8492721
154.6, -0.03932025, 0.8481661
154.65, -0.03994579, 0.8475341
154.8, -0.04057134, 0.8465861
154.95, -0.04244799, 0.8448482
155, -0.04244799, 0.8448482
155.15, -0.04369909, 0.8440582
155.2, -0.04369909, 0.8431103
155.25, -0.04495018, 0.8421623
155.35, -0.04495018, 0.8415303
155.4, -0.04620128, 0.8404243
155.6, -0.04620128, 0.8402663
155.65, -0.04745239, 0.8393183
155.75, -0.04807793, 0.8383704
155.85, -0.04932903, 0.8380544
155.95, -0.04995458, 0.8372644
156.05, -0.05120568, 0.8356844
156.1, -0.05120568, 0.8356844
156.25, -0.05308233, 0.8345785
156.3, -0.05245678, 0.8350524
156.4, -0.05370788, 0.8339465
156.5, -0.05433342, 0.8337885
156.6, -0.05558453, 0.8317346
156.7, -0.05683562, 0.8307865
156.8, -0.05746117, 0.8299966
156.85, -0.05808672, 0.8296806
157, -0.05933782, 0.8281007
157.05, -0.05933782, 0.8279427
157.15, -0.06058892, 0.8274687
157.25, -0.06121447, 0.8268367
157.3, -0.06058892, 0.8268367
157.45, -0.06184002, 0.8257307
157.55, -0.06246556, 0.8250987
157.6, -0.06309112, 0.8244667
157.65, -0.06371667, 0.8241507
157.8, -0.06496777, 0.8232028
157.95, -0.06621886, 0.8222548
158, -0.06621886, 0.8222548
158.05, -0.06496777, 0.8219388
158.2, -0.06746996, 0.8208328
158.3, -0.06809551, 0.8202009
158.35, -0.06872107, 0.8198849
158.45, -0.06997216, 0.8192528
158.55, -0.0705977, 0.8187789
158.6, -0.07122325, 0.8184629
158.75, -0.07247435, 0.8178309
158.95, -0.07372544, 0.816725
159.05, -0.074351, 0.815777
159.1, -0.074351, 0.815935
159.2, -0.07497655, 0.815619
159.3, -0.07560209, 0.814987
159.45, -0.0768532, 0.814513
159.5, -0.0768532, 0.8141971
159.65, -0.07872984, 0.812933
159.7, -0.07872984, 0.8127751
159.8, -0.07998095, 0.8115111
159.85, -0.08060649, 0.8111951
160, -0.0818576, 0.8105631
160.05, -0.0818576, 0.8102471
160.15, -0.08310869, 0.8097731
160.25, -0.08373423, 0.8094572
160.4, -0.08561088, 0.8081931
160.45, -0.08561088, 0.8080352
160.55, -0.08623644, 0.8074032
160.6, -0.08686198, 0.8072452
160.75, -0.08811309, 0.8066132
160.8, -0.08873863, 0.8061392
160.95, -0.08998973, 0.8055072
161, -0.09061528, 0.8050333
161.15, -0.09124083, 0.8045593
161.2, -0.09186638, 0.8040853
161.25, -0.09249193, 0.8039273
161.35, -0.09311747, 0.8032954
161.5, -0.09436858, 0.8029793
161.55, -0.09499412, 0.8025053
161.6, -0.09561968, 0.8021894
161.75, -0.09561968, 0.8012414
161.85, -0.09687077, 0.8004514
161.95, -0.09749633, 0.8001354
162.05, -0.09812186, 0.7998194
162.1, -0.09874742, 0.7998194
162.2, -0.09937298, 0.7988715
162.3, -0.09937298, 0.7988715
162.45, -0.1012496, 0.7982395
162.5, -0.1012496, 0.7979235
162.65, -0.1031263, 0.7968175
162.7, -0.1031263, 0.7966595
