Experiment:, Load
Start date:, ?ter? 25. ??jna 2022
Start time:, 13:47:42 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
150.1, 0.02198358, 1.063356
150.2, 0.02260913, 1.090373
150.3, -0.1081306, 1.041553
150.35, -0.007417239, 0.9921002
150.5, -0.008042786, 1.00632
150.6, -0.009293883, 1.006004
150.7, -0.009293883, 1.00474
150.8, -0.01054498, 1.001422
150.85, -0.01117053, 0.998894
150.9, -0.01179608, 0.9965241
151.05, -0.01242163, 0.9875183
151.15, -0.01429828, 0.9797766
151.3, -0.01429828, 0.9679269
151.4, -0.01554937, 0.9612911
151.45, -0.01554937, 0.9581311
151.55, -0.01617493, 0.9521273
151.6, -0.01617493, 0.9489674
151.7, -0.01742602, 0.9437535
151.8, -0.01805157, 0.9390137
151.95, -0.01930267, 0.9328519
152, -0.01992822, 0.9311138
152.2, -0.02180487, 0.925742
152.3, -0.02117932, 0.9233721
152.35, -0.02180487, 0.9228981
152.5, -0.02305596, 0.9202121
152.55, -0.02305596, 0.9194221
152.7, -0.02493261, 0.9165783
152.75, -0.02493261, 0.9154723
152.8, -0.02618371, 0.9143663
152.95, -0.02618371, 0.9134184
153, -0.02680926, 0.9127864
153.1, -0.02806036, 0.9115224
153.2, -0.02931145, 0.9105744
153.3, -0.02993701, 0.9088364
153.4, -0.03118811, 0.9074145
153.5, -0.03181365, 0.9070985
153.65, -0.03243921, 0.9058346
153.7, -0.03306475, 0.9055186
153.85, -0.03431586, 0.9044126
153.95, -0.03556695, 0.9028326
154.05, -0.03556695, 0.9020426
154.2, -0.03681805, 0.9012527
154.25, -0.0374436, 0.9009367
154.4, -0.03806914, 0.8998307
154.45, -0.0386947, 0.8993567
154.5, -0.03806914, 0.8995147
154.6, -0.03994579, 0.8982507
154.75, -0.04119689, 0.8973027
154.8, -0.04182244, 0.8966708
154.9, -0.04244799, 0.8961968
155, -0.04244799, 0.8955648
155.15, -0.04432464, 0.8944589
155.2, -0.04432464, 0.8941429
155.25, -0.04495018, 0.8935109
155.35, -0.04495018, 0.8931949
155.5, -0.04682683, 0.8922469
155.55, -0.04745239, 0.8919309
155.65, -0.04807793, 0.8912989
155.75, -0.04870348, 0.8909829
155.85, -0.04995458, 0.890193
155.95, -0.05058013, 0.889877
156.05, -0.05120568, 0.889403
156.1, -0.05058013, 0.889087
156.15, -0.05183123, 0.888929
156.3, -0.05308233, 0.8879811
156.45, -0.05433342, 0.886717
156.5, -0.05433342, 0.886717
156.65, -0.05621007, 0.8857691
156.7, -0.05683562, 0.8852951
156.8, -0.05746117, 0.8846631
156.9, -0.05746117, 0.8846631
157, -0.05871227, 0.8841891
157.05, -0.05933782, 0.8835571
157.2, -0.06058892, 0.8827672
157.25, -0.06058892, 0.8826092
157.4, -0.06184002, 0.8819772
157.45, -0.06184002, 0.8818192
157.55, -0.06309112, 0.8811872
157.6, -0.06309112, 0.8811872
157.75, -0.06496777, 0.8802392
157.8, -0.06621886, 0.8799232
157.9, -0.06559331, 0.8794492
158, -0.06621886, 0.8791333
158.2, -0.06746996, 0.8785013
158.3, -0.06872107, 0.8778693
158.35, -0.06872107, 0.8775533
158.45, -0.06997216, 0.8770794
158.55, -0.0693466, 0.8772373
158.7, -0.0705977, 0.8764474
158.75, -0.07247435, 0.8754994
158.85, -0.0730999, 0.8751833
158.95, -0.07372544, 0.8747094
159.05, -0.074351, 0.8745514
159.1, -0.07497655, 0.8740774
159.25, -0.07622765, 0.8732874
159.3, -0.0768532, 0.8732874
159.4, -0.0781043, 0.8728135
159.5, -0.0781043, 0.8728135
159.6, -0.07935539, 0.8721815
159.7, -0.07935539, 0.8717075
159.8, -0.08060649, 0.8712335
159.85, -0.08060649, 0.8713915
160, -0.08248314, 0.8704435
160.05, -0.08310869, 0.8702855
160.2, -0.08435979, 0.8696535
160.25, -0.08435979, 0.8694955
160.35, -0.08561088, 0.8688635
160.45, -0.08623644, 0.8685476
160.5, -0.08686198, 0.8682315
160.6, -0.08748753, 0.8677576
160.7, -0.08811309, 0.8674416
160.8, -0.08873863, 0.8669676
160.9, -0.08998973, 0.8666516
161, -0.08998973, 0.8664936
161.15, -0.09061528, 0.8661776
161.2, -0.09124083, 0.8658617
161.35, -0.09249193, 0.8653877
161.5, -0.09374303, 0.8649137
161.55, -0.09499412, 0.8645976
161.7, -0.09624523, 0.8638077
161.75, -0.09687077, 0.8638077
161.9, -0.09749633, 0.8634917
161.95, -0.09749633, 0.8634917
162.05, -0.09812186, 0.8628597
162.1, -0.09874742, 0.8628597
162.2, -0.09937298, 0.8625437
162.3, -0.09937298, 0.8620697
162.4, -0.1006241, 0.8615957
162.5, -0.1012496, 0.8614377
162.65, -0.1025007, 0.8606478
162.7, -0.1031263, 0.8604898
162.75, -0.1043774, 0.8601738
162.85, -0.1043774, 0.8600158
163, -0.106254, 0.8590679
163.05, -0.1068796, 0.8589098
163.2, -0.1081306, 0.8584358
163.25, -0.1081306, 0.8584358
163.35, -0.1093817, 0.8579618
163.45, -0.1100073, 0.8574879
163.5, -0.1106329, 0.8574879
163.6, -0.1106329, 0.8571718
163.75, -0.1125095, 0.8563819
163.8, -0.1125095, 0.8562239
163.95, -0.1137606, 0.8559079
164, -0.1143861, 0.8555919
164.15, -0.1162628, 0.8551179
164.2, -0.1162628, 0.85496
164.3, -0.1175139, 0.8544859
164.35, -0.1181394, 0.85417
164.5, -0.1193905, 0.853854
164.55, -0.1200161, 0.853696
164.65, -0.1206416, 0.853222
164.75, -0.1212672, 0.8529059
164.9, -0.1225183, 0.852748
164.95, -0.1231438, 0.852432
165.1, -0.1231438, 0.852274
165.2, -0.125646, 0.851484
165.3, -0.1250205, 0.851642
165.4, -0.1268971, 0.850852
165.5, -0.1268971, 0.8506941
165.6, -0.1281482, 0.8502201
165.7, -0.1281482, 0.8502201
165.8, -0.1293993, 0.8495881
165.85, -0.1287738, 0.8495881
165.95, -0.1306504, 0.8492721
166.05, -0.1306504, 0.8491141
166.15, -0.1319015, 0.8487981
166.25, -0.1325271, 0.8486401
166.4, -0.1344037, 0.8480082
166.45, -0.1350293, 0.8478501
166.55, -0.1356548, 0.8473761
166.6, -0.1362804, 0.8470601
166.65, -0.1369059, 0.8469021
166.8, -0.1369059, 0.8469021
166.95, -0.1375315, 0.8464282
167, -0.1387826, 0.8461121
167.15, -0.1400337, 0.8457962
167.2, -0.1400337, 0.8457962
167.35, -0.1412848, 0.8451642
167.5, -0.1425359, 0.8445322
167.55, -0.1425359, 0.8445322
167.65, -0.143787, 0.8440582
167.75, -0.1444125, 0.8439003
167.85, -0.1450381, 0.8437423
167.95, -0.1456636, 0.8432683
168, -0.1462891, 0.8432683
168.1, -0.1462891, 0.8431103
168.15, -0.1469147, 0.8431103
168.3, -0.1475403, 0.8426363
168.4, -0.1494169, 0.8421623
168.5, -0.1494169, 0.8420042
168.6, -0.1512935, 0.8415303
168.7, -0.1512935, 0.8415303
168.8, -0.1525446, 0.8412143
168.85, -0.1525446, 0.8412143
169, -0.1544213, 0.8405823
169.05, -0.1544213, 0.8405823
169.2, -0.1556724, 0.8401083
169.25, -0.1556724, 0.8401083
169.4, -0.157549, 0.8394763
169.45, -0.1581746, 0.8393183
169.5, -0.1594257, 0.8391604
169.6, -0.1594257, 0.8388444
169.8, -0.1594257, 0.8385284
169.95, -0.1606768, 0.8380544
170, -0.1613023, 0.8378964
170.15, -0.1619279, 0.8374224
170.2, -0.1625534, 0.8372644
170.25, -0.1638045, 0.8371064
170.35, -0.1644301, 0.8367904
170.5, -0.1656812, 0.8364744
170.55, -0.1663067, 0.8360004
170.7, -0.1675578, 0.8355264
170.75, -0.1681834, 0.8355264
170.9, -0.1694345, 0.8352104
170.95, -0.17006, 0.8348945
171, -0.1706856, 0.8345785
171.1, -0.1713111, 0.8344205
171.2, -0.1719366, 0.8341045
171.3, -0.1725622, 0.8337885
171.45, -0.1738133, 0.8334725
171.6, -0.1744389, 0.8331565
171.65, -0.1756899, 0.8328406
171.7, -0.1763155, 0.8325245
171.8, -0.1775666, 0.8323665
171.85, -0.1769411, 0.8323665
172, -0.1788177, 0.8315766
172.05, -0.1781922, 0.8317346
172.2, -0.1806944, 0.8309445
172.25, -0.1806944, 0.8307865
172.35, -0.1819454, 0.8306286
172.45, -0.1813199, 0.8304706
172.55, -0.182571, 0.8299966
172.6, -0.182571, 0.8298386
172.7, -0.1831965, 0.8293646
172.8, -0.1838221, 0.8290486
172.95, -0.1863243, 0.8282586
173, -0.1863243, 0.8282586
173.15, -0.1875754, 0.8277847
173.2, -0.1875754, 0.8276266
173.25, -0.1888265, 0.8274687
