Experiment:, Load
Start date:, st?eda 30. listopadu 2022
Start time:, 17:17:18 +01:00
Time (s), Current Density (A/cm2), Voltage (V)
40.1, -0.005115243, 0.555558
40.15, -0.004990155, 0.5402325
40.2, -0.004865066, 0.5356506
40.25, -0.005052699, 0.5345446
40.3, 0.0123972, 0.8382124
40.35, -0.002425833, 0.9781966
40.4, -0.002863644, 0.9165783
40.45, -0.003238911, 0.8578038
40.5, -0.003614177, 0.7944475
40.55, -0.004051988, 0.7214535
40.6, -0.004552344, 0.6568333
40.65, -0.004865066, 0.6092766
40.7, -0.005115243, 0.5790994
40.75, -0.005302876, 0.5621939
40.8, -0.006115956, 0.5394425
40.85, -0.006428677, 0.519535
40.9, -0.006803945, 0.5064214
40.95, -0.007241755, 0.4944137
41, -0.007617021, 0.48288
41.05, -0.008054832, 0.4729263
41.1, -0.008367555, 0.4636046
41.15, -0.008867911, 0.4531768
41.2, -0.009305722, 0.4435391
41.25, -0.009618443, 0.4354813
41.3, -0.01005625, 0.4263176
41.35, -0.01043152, 0.4166798
41.4, -0.01086933, 0.4083061
41.45, -0.01130714, 0.3989843
41.5, -0.01168241, 0.3915585
41.55, -0.01205768, 0.3839747
41.6, -0.01249549, 0.375443
41.65, -0.01287076, 0.3684911
41.7, -0.01330856, 0.3607493
41.75, -0.01368383, 0.3531656
41.8, -0.01418419, 0.3444758
41.85, -0.01443437, 0.33784
41.9, -0.01487218, 0.3294662
41.95, -0.01524744, 0.3220404
42, -0.01562271, 0.3157206
42.05, -0.01606052, 0.3082948
42.1, -0.01649833, 0.299921
42.15, -0.01693614, 0.2932852
42.2, -0.01724887, 0.2857014
42.25, -0.01774922, 0.2779596
42.3, -0.01812449, 0.2700598
42.35, -0.0185623, 0.26295
42.4, -0.01893756, 0.2556822
42.45, -0.01931283, 0.2488884
42.5, -0.01981319, 0.2387503
42.55, -0.02012591, 0.2336674
42.6, -0.02056372, 0.2263116
42.65, -0.02093899, 0.2186084
42.7, -0.02131425, 0.212026
42.75, -0.02181461, 0.2034389
42.8, -0.02200224, 0.1971722
42.85, -0.0225026, 0.1892796
42.9, -0.02294041, 0.1818764
42.95, -0.02331568, 0.1749625
43, -0.02375349, 0.1673067
43.05, -0.0241913, 0.1598719
43.1, -0.02456657, 0.1517268
43.15, -0.02506692, 0.1445288
43.2, -0.02537964, 0.137457
43.25, -0.02575491, 0.1298959
43.3, -0.02619272, 0.1223506
43.35, -0.02656799, 0.1155946
43.4, -0.02694325, 0.1080809
43.45, -0.02731852, 0.1005829
43.5, -0.02775634, 0.09226415
43.55, -0.02806906, 0.08454522
43.6, -0.02856941, 0.07640009
43.65, -0.02894468, 0.06866536
43.7, -0.02931994, 0.06063073
43.75, -0.02975775, 0.05297494
43.8, -0.03013302, 0.04554014
43.85, -0.03057083, 0.03812112
43.9, -0.03100864, 0.02992863
43.95, -0.03138391, 0.02242621
44, -0.03175918, 0.01486697
44.05, -0.03213444, 0.007769805
44.1, -0.03275989, -0.003309042
