Experiment:, Load
Start date:, ?ter? 28. b?ezna 2023
Start time:, 12:55:57 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
180.1, 0.03324346, 1.135876
180.25, 0.03449456, 1.249791
180.3, -0.1200161, 1.125765
180.35, -0.0005361915, 0.9151562
180.5, -0.001161743, 0.9557612
180.65, -0.003038393, 0.963977
180.7, -0.003038393, 0.962397
180.8, -0.00366394, 0.9552872
180.85, -0.004289486, 0.9478614
181, -0.005540589, 0.924952
181.05, -0.005540589, 0.9165783
181.15, -0.006791682, 0.9047286
181.25, -0.007417239, 0.8941429
181.4, -0.008668332, 0.8818192
181.45, -0.009293883, 0.8775533
181.6, -0.009919429, 0.8712335
181.65, -0.01054498, 0.8704435
181.8, -0.01179608, 0.8666516
181.95, -0.01304718, 0.8636497
182, -0.01429828, 0.8619117
182.2, -0.01554937, 0.8582778
182.25, -0.01617493, 0.8573298
182.35, -0.01617493, 0.8555919
182.5, -0.01742602, 0.8551179
182.55, -0.01805157, 0.854012
182.6, -0.01867712, 0.852748
182.75, -0.01930267, 0.852432
182.8, -0.01992822, 0.851326
182.95, -0.02055377, 0.850536
183.05, -0.02243042, 0.8487981
183.1, -0.02243042, 0.8487981
183.25, -0.02368151, 0.8472181
183.3, -0.02430707, 0.8469021
183.45, -0.02493261, 0.8457962
183.5, -0.02555816, 0.8454802
183.55, -0.02618371, 0.8451642
183.7, -0.02618371, 0.8443742
183.75, -0.02680926, 0.8439003
183.85, -0.02806036, 0.8421623
183.95, -0.02931145, 0.8418462
184.05, -0.02931145, 0.8410563
184.15, -0.03056256, 0.8405823
184.25, -0.03181365, 0.8394763
184.35, -0.03243921, 0.8390024
184.45, -0.03306475, 0.8385284
184.5, -0.03431586, 0.8383704
184.6, -0.0349414, 0.8377384
184.7, -0.03556695, 0.8374224
184.8, -0.03619251, 0.8367904
184.85, -0.03681805, 0.8364744
185, -0.0374436, 0.8356844
185.15, -0.0386947, 0.8344205
185.2, -0.03932025, 0.8336305
185.25, -0.03994579, 0.8336305
185.35, -0.03994579, 0.8334725
185.4, -0.04119689, 0.8331565
185.55, -0.04119689, 0.8325245
185.7, -0.04307353, 0.8318925
185.75, -0.04369909, 0.8314186
185.95, -0.04432464, 0.8304706
