Experiment:, Load
Start date:, p?tek 31. b?ezna 2023
Start time:, 17:31:42 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
151.1, 0.02448577, 1.190385
151.2, 0.02511132, 1.309513
151.3, -0.1081306, 1.217718
151.35, -0.005540589, 0.9232141
151.5, -0.005540589, 0.9472294
151.65, -0.008042786, 0.9319038
151.7, -0.007417239, 0.926848
151.75, -0.008042786, 0.9194221
151.85, -0.008668332, 0.9055186
152, -0.01054498, 0.8908249
152.05, -0.01054498, 0.888455
152.2, -0.01242163, 0.8802392
152.25, -0.01242163, 0.8781853
152.35, -0.01367273, 0.8737614
152.45, -0.01367273, 0.8706015
152.5, -0.01429828, 0.8694955
152.6, -0.01492382, 0.8655456
152.75, -0.01680047, 0.8614377
152.8, -0.01742602, 0.8598578
153.05, -0.01742602, 0.8582778
153.15, -0.01930267, 0.8559079
153.2, -0.01992822, 0.854802
153.3, -0.02055377, 0.8530639
153.35, -0.02117932, 0.8518
153.5, -0.02243042, 0.8492721
153.55, -0.02305596, 0.8487981
153.65, -0.02368151, 0.8475341
153.75, -0.02368151, 0.8465861
153.8, -0.02493261, 0.8456382
153.95, -0.02493261, 0.8445322
154.05, -0.02618371, 0.8418462
154.1, -0.02680926, 0.8416883
154.25, -0.02743481, 0.8396344
154.3, -0.02743481, 0.8397923
154.45, -0.02931145, 0.8383704
154.5, -0.02931145, 0.8378964
154.65, -0.03118811, 0.8360004
154.7, -0.03181365, 0.8358424
154.8, -0.03243921, 0.8342625
154.85, -0.03306475, 0.8339465
154.95, -0.03431586, 0.8333145
155.1, -0.0349414, 0.8306286
155.2, -0.03619251, 0.8290486
155.25, -0.03681805, 0.8295226
155.4, -0.0374436, 0.8281007
155.45, -0.03806914, 0.8276266
155.6, -0.03806914, 0.8274687
155.75, -0.03994579, 0.8262047
155.8, -0.03994579, 0.8258888
155.95, -0.04119689, 0.8252567
156, -0.04182244, 0.8244667
156.15, -0.04307353, 0.8232028
156.2, -0.04369909, 0.8225708
156.25, -0.04432464, 0.8225708
156.35, -0.04495018, 0.8219388
156.5, -0.04620128, 0.8211489
156.55, -0.04682683, 0.8203589
156.7, -0.04807793, 0.8194109
156.75, -0.04870348, 0.8190949
156.85, -0.04995458, 0.8181469
156.95, -0.04995458, 0.8181469
157.05, -0.05058013, 0.817515
157.1, -0.05183123, 0.8165669
157.25, -0.05308233, 0.815777
157.3, -0.05308233, 0.815935
157.45, -0.05433342, 0.815461
157.5, -0.05433342, 0.815145
157.55, -0.05558453, 0.814513
157.7, -0.05621007, 0.813723
157.75, -0.05683562, 0.813407
157.85, -0.05808672, 0.8127751
158.05, -0.05871227, 0.8123011
158.2, -0.05996337, 0.8105631
158.25, -0.06058892, 0.8105631
158.3, -0.05996337, 0.8108791
158.45, -0.06184002, 0.8097731
158.6, -0.06309112, 0.8085092
158.65, -0.06371667, 0.8081931
158.8, -0.06496777, 0.8075612
159, -0.06621886, 0.8064553
159.15, -0.06746996, 0.8061392
159.2, -0.06746996, 0.8058233
159.25, -0.06809551, 0.8056653
159.35, -0.06872107, 0.8055072
159.55, -0.06997216, 0.8045593
159.7, -0.07184881, 0.8034533
159.75, -0.07247435, 0.8028213
159.9, -0.07372544, 0.8023473
159.95, -0.07372544, 0.8021894
160.05, -0.074351, 0.8018733
160.1, -0.07497655, 0.8015574
160.25, -0.07622765, 0.8007674
160.3, -0.0768532, 0.8006094
160.45, -0.0781043, 0.7998194
160.5, -0.0781043, 0.7998194
160.65, -0.07872984, 0.7996615
160.7, -0.07935539, 0.7995034
160.8, -0.08060649, 0.7982395
160.85, -0.08060649, 0.7983975
161, -0.08123204, 0.7979235
161.05, -0.0818576, 0.7976075
161.2, -0.08373423, 0.7968175
161.3, -0.08373423, 0.7968175
161.4, -0.08561088, 0.7961855
161.45, -0.08561088, 0.7958695
161.55, -0.08623644, 0.7955535
161.6, -0.08686198, 0.7952375
161.75, -0.08748753, 0.7946056
161.8, -0.08873863, 0.7939736
