Experiment:, Load
Start date:, st?eda 19. dubna 2023
Start time:, 13:20:26 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
300.1, 0.02448577, 1.083422
300.15, 0.02511132, 1.104435
300.3, -0.08498534, 1.071098
300.35, 8.935458e-05, 0.9480194
300.5, -0.001161743, 0.9706128
300.65, -0.00366394, 0.9740887
300.7, -0.004289486, 0.9717188
300.85, -0.004915043, 0.959869
301, -0.006791682, 0.9465975
301.05, -0.006791682, 0.9423316
301.2, -0.007417239, 0.9292179
301.25, -0.008042786, 0.926058
301.4, -0.008668332, 0.9175262
301.45, -0.008668332, 0.9151562
301.55, -0.009919429, 0.9108904
301.6, -0.01054498, 0.9089944
301.75, -0.01179608, 0.9048866
301.8, -0.01179608, 0.9026746
301.85, -0.01304718, 0.9012527
302, -0.01429828, 0.8984088
302.1, -0.01304718, 0.8985668
302.2, -0.01492382, 0.8961968
302.25, -0.01554937, 0.8947749
302.35, -0.01617493, 0.8931949
302.45, -0.01680047, 0.8914569
302.55, -0.01742602, 0.890193
302.65, -0.01867712, 0.888771
302.75, -0.01867712, 0.8881391
302.9, -0.02055377, 0.8865591
302.95, -0.02117932, 0.8856111
303, -0.02243042, 0.8843471
303.1, -0.02243042, 0.8840311
303.2, -0.02368151, 0.8824512
303.3, -0.02368151, 0.8816612
303.45, -0.02493261, 0.8799232
303.5, -0.02493261, 0.8799232
303.65, -0.02618371, 0.8781853
303.7, -0.02743481, 0.8775533
303.75, -0.02806036, 0.8767633
303.85, -0.02806036, 0.8761314
304, -0.02868591, 0.8753414
304.05, -0.02931145, 0.8745514
304.2, -0.03056256, 0.8731294
304.25, -0.03181365, 0.8724974
304.35, -0.03306475, 0.8718655
304.45, -0.03306475, 0.8713915
304.5, -0.0336903, 0.8709175
304.6, -0.03431586, 0.8701275
304.75, -0.03556695, 0.8690215
304.8, -0.03619251, 0.8683895
304.95, -0.03681805, 0.8674416
305, -0.0374436, 0.8671256
305.1, -0.03806914, 0.8666516
305.2, -0.0386947, 0.8655456
305.3, -0.03994579, 0.8652297
305.35, -0.03994579, 0.8645976
305.5, -0.04057134, 0.8641236
305.55, -0.04119689, 0.8639656
305.7, -0.04244799, 0.8625437
305.75, -0.04307353, 0.8619117
305.8, -0.04369909, 0.8614377
305.95, -0.04495018, 0.8606478
306.05, -0.04620128, 0.8593838
306.1, -0.04557574, 0.8592258
306.25, -0.04745239, 0.8582778
306.3, -0.04807793, 0.8579618
306.45, -0.04932903, 0.8568559
306.5, -0.04870348, 0.8571718
306.6, -0.05058013, 0.8562239
306.7, -0.05058013, 0.8560659
306.8, -0.05120568, 0.8555919
306.85, -0.05183123, 0.8552759
307, -0.05308233, 0.85417
307.05, -0.05308233, 0.853854
307.2, -0.05433342, 0.8530639
307.25, -0.05558453, 0.852432
307.3, -0.05495897, 0.85259
307.45, -0.05683562, 0.852116
307.6, -0.05746117, 0.851484
307.75, -0.05871227, 0.8506941
307.8, -0.05933782, 0.8502201
307.95, -0.06058892, 0.8495881
308, -0.06058892, 0.8492721
308.15, -0.06246556, 0.8484821
308.2, -0.06246556, 0.8481661
308.3, -0.06371667, 0.8475341
308.35, -0.06371667, 0.8473761
308.45, -0.06496777, 0.8465861
308.55, -0.06496777, 0.8461121
308.6, -0.06621886, 0.8456382
308.75, -0.06684442, 0.8454802
308.9, -0.06809551, 0.8446902
308.95, -0.06872107, 0.8443742
309.1, -0.06872107, 0.8439003
309.15, -0.06997216, 0.8435842
309.3, -0.0693466, 0.8432683
309.45, -0.07184881, 0.8424783
309.5, -0.07184881, 0.8424783
309.65, -0.0730999, 0.8418462
309.7, -0.07372544, 0.8415303
309.75, -0.074351, 0.8413723
309.85, -0.074351, 0.8412143
310, -0.07622765, 0.8402663
310.05, -0.0768532, 0.8397923
310.2, -0.0781043, 0.8394763
310.25, -0.0781043, 0.8391604
310.4, -0.07998095, 0.8385284
310.45, -0.08060649, 0.8383704
310.55, -0.0818576, 0.8375804
310.6, -0.0818576, 0.8375804
310.75, -0.08248314, 0.8371064
310.85, -0.08248314, 0.8367904
310.95, -0.08435979, 0.8364744
311, -0.08435979, 0.8361584
311.15, -0.08561088, 0.8360004
311.2, -0.08561088, 0.8358424
311.3, -0.08623644, 0.8353685
311.35, -0.08686198, 0.8352104
311.4, -0.08748753, 0.8348945
311.55, -0.08811309, 0.8348945
311.65, -0.08936418, 0.8341045
311.75, -0.08998973, 0.8339465
311.9, -0.09061528, 0.8333145
311.95, -0.09061528, 0.8333145
312.05, -0.09186638, 0.8326825
312.1, -0.09249193, 0.8325245
312.25, -0.09436858, 0.8314186
312.3, -0.09499412, 0.8311026
312.45, -0.09561968, 0.8304706
312.5, -0.09624523, 0.8301546
312.65, -0.09749633, 0.8295226
312.7, -0.09749633, 0.8292066
312.8, -0.09812186, 0.8285747
312.85, -0.09812186, 0.8285747
313, -0.0999985, 0.8277847
313.05, -0.1006241, 0.8276266
313.25, -0.1012496, 0.8268367
313.4, -0.1031263, 0.8262047
313.45, -0.1031263, 0.8262047
313.55, -0.1043774, 0.8255727
313.6, -0.1056285, 0.8252567
313.75, -0.1068796, 0.8247827
313.8, -0.1081306, 0.8246247
314, -0.1081306, 0.8243088
314.15, -0.1106329, 0.8235188
314.2, -0.1106329, 0.8232028
314.3, -0.1112584, 0.8225708
314.35, -0.1112584, 0.8219388
314.5, -0.1125095, 0.8214648
314.55, -0.1125095, 0.8211489
314.7, -0.1150117, 0.8205169
314.75, -0.1150117, 0.8202009
314.8, -0.1156372, 0.8197268
314.95, -0.1162628, 0.8195689
315.05, -0.1168883, 0.8192528
315.1, -0.1168883, 0.8190949
315.25, -0.118765, 0.8186209
315.3, -0.118765, 0.8186209
315.4, -0.1200161, 0.8183049
315.5, -0.1200161, 0.8181469
315.6, -0.1212672, 0.8176729
315.7, -0.1212672, 0.8181469
315.75, -0.1225183, 0.8179889
315.85, -0.1225183, 0.817515
316, -0.1237694, 0.816409
316.05, -0.1243949, 0.816251
316.2, -0.125646, 0.815619
316.25, -0.1262716, 0.815303
316.4, -0.1275227, 0.8143551
316.45, -0.1281482, 0.8141971
316.55, -0.1287738, 0.813881
316.6, -0.1287738, 0.813881
316.7, -0.1300249, 0.813565
316.8, -0.1306504, 0.8132491
316.95, -0.1325271, 0.8127751
317.05, -0.1319015, 0.812933
317.15, -0.1337782, 0.8123011
317.2, -0.1344037, 0.8119851
317.3, -0.1350293, 0.8118271
317.35, -0.1350293, 0.8116691
317.5, -0.1362804, 0.8113531
317.55, -0.1362804, 0.8111951
317.65, -0.1375315, 0.8108791
317.8, -0.1375315, 0.8107212
317.9, -0.1394081, 0.8104051
317.95, -0.1400337, 0.8100892
318.05, -0.1406592, 0.8099312
318.1, -0.1412848, 0.8096152
318.2, -0.1425359, 0.8094572
318.3, -0.1425359, 0.8088252
318.45, -0.143787, 0.8085092
318.5, -0.1444125, 0.8081931
318.55, -0.1450381, 0.8080352
318.7, -0.1450381, 0.8078772
318.85, -0.1456636, 0.8077192
319, -0.1475403, 0.8070872
319.05, -0.1481658, 0.8069292
319.15, -0.1494169, 0.8064553
319.25, -0.1500424, 0.8061392
319.35, -0.1512935, 0.8058233
319.45, -0.1519191, 0.8058233
319.55, -0.1531702, 0.8055072
319.6, -0.1525446, 0.8055072
319.75, -0.1544213, 0.8048753
319.8, -0.1544213, 0.8048753
319.95, -0.1562979, 0.8040853
320, -0.1562979, 0.8040853
320.1, -0.157549, 0.8036113
320.2, -0.1581746, 0.8034533
320.3, -0.1588001, 0.8031374
320.35, -0.1588001, 0.8031374
320.5, -0.1600512, 0.8026633
320.55, -0.1606768, 0.8025053
320.75, -0.1613023, 0.8023473
320.9, -0.1625534, 0.8018733
320.95, -0.163179, 0.8017154
321, -0.1638045, 0.8015574
321.1, -0.1650556, 0.8009254
321.25, -0.1656812, 0.8006094
321.3, -0.1663067, 0.8004514
321.4, -0.1675578, 0.8001354
321.5, -0.1675578, 0.8001354
321.55, -0.1688089, 0.7996615
321.7, -0.1694345, 0.7993454
321.75, -0.1706856, 0.7991874
321.85, -0.1706856, 0.7988715
321.9, -0.1713111, 0.7985555
322.05, -0.1719366, 0.7983975
322.15, -0.1731878, 0.7979235
322.25, -0.1731878, 0.7977655
322.35, -0.1744389, 0.7976075
322.45, -0.1750644, 0.7972915
322.5, -0.1756899, 0.7969755
322.6, -0.1769411, 0.7965015
322.75, -0.1781922, 0.7963435
322.8, -0.1781922, 0.7963435
322.95, -0.1794432, 0.7960275
323, -0.1794432, 0.7958695
323.15, -0.1813199, 0.7952375
323.2, -0.1813199, 0.7952375
323.25, -0.1819454, 0.7949216
323.35, -0.1831965, 0.7944475
323.55, -0.1838221, 0.7942896
323.7, -0.1856987, 0.7938156
323.75, -0.1856987, 0.7936576
323.85, -0.1869498, 0.7933416
323.9, -0.1875754, 0.7931836
324, -0.188201, 0.7928676
324.1, -0.1888265, 0.7927096
324.2, -0.1900776, 0.7923936
324.3, -0.1907031, 0.7922357
324.45, -0.1913287, 0.7919196
324.5, -0.1913287, 0.7917617
324.55, -0.1925798, 0.7916036
324.65, -0.1925798, 0.7912876
324.75, -0.1944564, 0.7909716
324.85, -0.195082, 0.7908136
324.95, -0.1957076, 0.7906557
325.05, -0.1957076, 0.7904977
325.1, -0.1969586, 0.7901817
325.25, -0.1969586, 0.7898657
325.35, -0.1988353, 0.7895497
325.4, -0.1994608, 0.7892337
325.55, -0.2000864, 0.7890757
325.6, -0.2000864, 0.7890757
325.75, -0.2013375, 0.7886018
325.8, -0.201963, 0.7884437
325.95, -0.2025886, 0.7881277
326, -0.2032141, 0.7881277
326.1, -0.2038397, 0.7878118
326.15, -0.2044652, 0.7878118
326.3, -0.2063419, 0.7871798
326.35, -0.2063419, 0.7871798
326.5, -0.207593, 0.7865478
326.55, -0.207593, 0.7863898
326.7, -0.2094696, 0.7862318
326.75, -0.2100952, 0.7859158
326.9, -0.2100952, 0.7859158
326.95, -0.2113463, 0.7857578
327.1, -0.2113463, 0.7855998
327.2, -0.2125974, 0.7852838
327.3, -0.2138485, 0.7851258
327.45, -0.2150996, 0.7848098
327.5, -0.2157251, 0.7846518
327.6, -0.2163507, 0.7844938
327.65, -0.2169762, 0.7841778
327.7, -0.2176018, 0.7838619
327.85, -0.2188529, 0.7835459
327.95, -0.2194784, 0.7832299
328.05, -0.220104, 0.7829139
328.1, -0.2207295, 0.7825979
328.25, -0.2213551, 0.7824399
328.3, -0.2219806, 0.7822819
328.4, -0.2226062, 0.7819659
328.5, -0.2232317, 0.7818079
328.6, -0.2238573, 0.7816499
328.75, -0.2263595, 0.781176
328.8, -0.2263595, 0.781018
328.95, -0.2276105, 0.780702
329, -0.2276105, 0.780702
329.05, -0.2282361, 0.780702
329.15, -0.2288617, 0.7803859
329.3, -0.2307383, 0.7799119
329.35, -0.2307383, 0.7797539
329.4, -0.2319894, 0.779596
329.55, -0.232615, 0.7792799
329.7, -0.233866, 0.778964
329.75, -0.233866, 0.778806
329.85, -0.2351171, 0.77849
329.9, -0.2351171, 0.778648
330.05, -0.2363683, 0.778174
330.1, -0.2363683, 0.777858
330.15, -0.2376193, 0.777858
330.3, -0.2388704, 0.777384
330.4, -0.239496, 0.777226
330.5, -0.2401216, 0.7769101
330.6, -0.2407471, 0.7767521
330.65, -0.2407471, 0.7767521
330.8, -0.2426237, 0.7762781
330.85, -0.2426237, 0.7762781
331, -0.2445004, 0.7758041
331.05, -0.2445004, 0.7758041
331.15, -0.2457515, 0.7754881
331.25, -0.2457515, 0.7751721
331.4, -0.2457515, 0.7750141
331.55, -0.2476281, 0.7745401
331.6, -0.2470026, 0.7748562
331.75, -0.2488792, 0.7742241
331.8, -0.2495048, 0.7742241
331.9, -0.2507559, 0.7739081
332, -0.2507559, 0.7737501
332.1, -0.252007, 0.7734341
332.15, -0.252007, 0.7732762
332.25, -0.2532581, 0.7729601
332.35, -0.2538836, 0.7728022
332.45, -0.2545092, 0.7724862
332.55, -0.2557603, 0.7723281
332.7, -0.2570114, 0.7718542
332.75, -0.2563858, 0.7718542
332.8, -0.2576369, 0.7718542
332.9, -0.258888, 0.7715382
333.05, -0.2601391, 0.7712222
333.1, -0.2601391, 0.7712222
333.25, -0.2620158, 0.7705902
333.3, -0.2626413, 0.7704322
333.45, -0.2638924, 0.7701163
333.5, -0.2638924, 0.7699583
333.55, -0.2651435, 0.7698002
333.65, -0.2651435, 0.7698002
333.75, -0.2663946, 0.7694843
333.85, -0.2663946, 0.7694843
333.95, -0.2676457, 0.7691682
334.05, -0.2682712, 0.7690102
334.2, -0.2695223, 0.7688522
334.25, -0.2695223, 0.7688522
334.35, -0.2707734, 0.7685363
334.4, -0.271399, 0.7683783
334.5, -0.2720245, 0.7682202
334.6, -0.2732756, 0.7679043
334.75, -0.2739012, 0.7679043
334.8, -0.2732756, 0.7680623
334.9, -0.2745267, 0.7679043
335, -0.2751523, 0.7675883
335.1, -0.2764034, 0.7672723
335.15, -0.2764034, 0.7671143
335.3, -0.27828, 0.7664824
335.35, -0.27828, 0.7664824
335.5, -0.2801567, 0.7658504
335.55, -0.2795311, 0.7658504
335.7, -0.2814078, 0.7652184
335.75, -0.2826589, 0.7650604
335.85, -0.2832844, 0.7645864
335.9, -0.2832844, 0.7645864
335.95, -0.28391, 0.7645864
336.1, -0.2851611, 0.7642704
336.2, -0.2857866, 0.7639544
336.3, -0.2864122, 0.7637964
336.45, -0.2876633, 0.7634804
336.5, -0.2876633, 0.7633224
336.6, -0.2889144, 0.7633224
336.65, -0.2895399, 0.7631644
336.8, -0.290791, 0.7626904
336.85, -0.2914166, 0.7625324
337.05, -0.2926677, 0.7622164
337.15, -0.2939188, 0.7622164
337.25, -0.2945443, 0.7619004
337.3, -0.2951699, 0.7615845
337.4, -0.2951699, 0.7615845
337.5, -0.2970465, 0.7612684
337.6, -0.2970465, 0.7612684
337.7, -0.2982976, 0.7609525
337.8, -0.2989231, 0.7607945
337.9, -0.3001743, 0.7606365
338, -0.3007998, 0.7604785
338.1, -0.3020509, 0.7601625
338.15, -0.3020509, 0.7600045
338.3, -0.303302, 0.7598465
338.35, -0.303302, 0.7596885
338.45, -0.3039276, 0.7593725
338.55, -0.3045531, 0.7593725
