Experiment:, Load
Start date:, ?tvrtek 21. z??? 2023
Start time:, 15:21:51 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
181, -0.0005988096, 0.8694955
182, -0.0002917966, 0.8661776
183, -0.0003231246, 0.8612798
184, -0.0004609671, 0.8560659
185, -0.0005800129, 0.851326
186, -0.0008431669, 0.8461121
187, -0.001024868, 0.8413723
188, -0.001363209, 0.8363164
189, -0.00170155, 0.8303126
190, -0.002071219, 0.8249407
191, -0.002516074, 0.8202009
192, -0.00296093, 0.814987
193, -0.003462175, 0.8099312
194, -0.004051139, 0.8050333
195, -0.004815539, 0.8001354
196, -0.005473424, 0.7949216
197, -0.006325541, 0.7898657
198, -0.007215252, 0.7852838
199, -0.008155088, 0.7803859
200, -0.009207703, 0.7751721
201, -0.01040443, 0.7702742
202, -0.01161368, 0.7655343
203, -0.01291066, 0.7604785
204, -0.01431414, 0.7554227
205, -0.01579908, 0.7503667
206, -0.01734041, 0.7454689
207, -0.01913863, 0.740571
208, -0.02088673, 0.7355151
209, -0.02249698, 0.7304593
210, -0.02425134, 0.7255614
211, -0.0260057, 0.7205056
212, -0.02781645, 0.7156077
213, -0.02967106, 0.7105519
214, -0.03162592, 0.705654
215, -0.03356824, 0.7005981
216, -0.03561708, 0.6955422
217, -0.0376346, 0.6904864
218, -0.0397085, 0.6859046
219, -0.04187639, 0.6808487
220, -0.04401921, 0.6756348
221, -0.04619963, 0.670579
222, -0.04837379, 0.6658391
223, -0.05068578, 0.6609412
224, -0.05297898, 0.6558853
225, -0.0553411, 0.6508294
226, -0.05779093, 0.6456156
227, -0.06010293, 0.6408758
228, -0.06255278, 0.6356619
229, -0.06499634, 0.630922
230, -0.06748378, 0.6258662
231, -0.06988349, 0.6209683
232, -0.07252129, 0.6159124
233, -0.07494607, 0.6108565
234, -0.07755255, 0.6059586
235, -0.08011517, 0.6009029
236, -0.08277177, 0.595847
237, -0.08537198, 0.5907911
238, -0.08817269, 0.5860512
239, -0.09299091, 0.5809954
240, -0.09540942, 0.5759395
241, -0.09705101, 0.5710416
242, -0.0991813, 0.5661438
243, -0.1016249, 0.5609299
244, -0.1041624, 0.5561901
245, -0.1065183, 0.5511342
246, -0.1090621, 0.5462363
247, -0.1115683, 0.5413384
248, -0.1140683, 0.5362825
249, -0.1164931, 0.5312268
250, -0.1187675, 0.5264868
251, -0.1220734, 0.521431
252, -0.124325, 0.5159011
253, -0.1267016, 0.5102133
254, -0.1290783, 0.5049994
255, -0.1312048, 0.5002595
256, -0.1334564, 0.4952037
257, -0.1356455, 0.4903058
258, -0.1378971, 0.485092
259, -0.1398985, 0.4803521
260, -0.1418374, 0.4752962
261, -0.1439013, 0.4702404
262, -0.1459653, 0.4651845
263, -0.1478417, 0.4602866
264, -0.1499056, 0.4555468
265, -0.1518445, 0.4503329
266, -0.1534707, 0.4452771
267, -0.155347, 0.4402212
268, -0.1571608, 0.4353233
269, -0.1588495, 0.4302675
270, -0.1604756, 0.4253696
271, -0.1622269, 0.4203137
272, -0.1639156, 0.4154159
273, -0.1653541, 0.410518
274, -0.1671054, 0.4056201
275, -0.168669, 0.4005643
276, -0.1703576, 0.3956664
277, -0.1716711, 0.3909265
278, -0.1732347, 0.3857127
279, -0.1746732, 0.3809728
280, -0.1761118, 0.3760749
281, -0.1776128, 0.3708611
282, -0.1789263, 0.3659632
283, -0.1824913, 0.3609074
284, -0.1853058, 0.3560095
285, -0.186369, 0.3509536
286, -0.1868694, 0.3457398
287, -0.1876199, 0.3409999
288, -0.1886206, 0.335944
289, -0.189809, 0.3310462
290, -0.1908722, 0.3259903
291, -0.1921857, 0.3212504
292, -0.1934365, 0.3161946
293, -0.1985027, 0.3112967
294, -0.1998787, 0.3060828
295, -0.1995659, 0.301343
296, -0.199691, 0.2962871
297, -0.2040691, 0.2912312
298, -0.2087599, 0.2861754
299, -0.206008, 0.2815935
300, -0.2051949, 0.2762216
301, -0.2050698, 0.2713238
302, -0.2055702, 0.2662679
303, -0.2060706, 0.26137
304, -0.2069462, 0.2563349
305, -0.2076342, 0.2512363
306, -0.2083221, 0.2462324
307, -0.2091978, 0.2412128
308, -0.2100734, 0.2361142
309, -0.2107614, 0.2313313
310, -0.2118246, 0.2261379
311, -0.2152646, 0.2213708
312, -0.2206434, 0.2161775
313, -0.2195801, 0.2109526
314, -0.2187671, 0.2061697
315, -0.2185169, 0.201229
