Experiment:, Load
Start date:, st?eda 27. z??? 2023
Start time:, 11:40:34 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
33.1, 0.03261791, 1.112651
33.3, -0.1369059, 1.115021
33.4, -0.004915043, 0.9356957
33.6, -0.007417239, 0.9514953
33.65, -0.008042786, 0.9495994
33.8, -0.008668332, 0.9431215
33.95, -0.008668332, 0.9333258
34.05, -0.01054498, 0.92353
34.2, -0.01054498, 0.9140503
34.35, -0.01242163, 0.9042546
34.45, -0.01304718, 0.9007787
34.7, -0.01617493, 0.8916149
34.75, -0.01617493, 0.8905089
34.9, -0.01805157, 0.886875
35, -0.01805157, 0.8859271
35.2, -0.01992822, 0.8818192
35.25, -0.01992822, 0.8808712
35.5, -0.02243042, 0.8756573
35.55, -0.02243042, 0.8756573
35.75, -0.02430707, 0.8728135
35.8, -0.02493261, 0.8717075
36, -0.02680926, 0.8691795
36.05, -0.02618371, 0.8696535
36.25, -0.02868591, 0.8671256
36.35, -0.02806036, 0.8672836
36.45, -0.02931145, 0.8660197
36.6, -0.02993701, 0.8642817
36.75, -0.03181365, 0.8628597
36.85, -0.03243921, 0.8617538
37.05, -0.03431586, 0.8598578
37.15, -0.03556695, 0.8589098
37.3, -0.03619251, 0.8576458
37.4, -0.03681805, 0.8566979
37.6, -0.0386947, 0.8551179
37.65, -0.0386947, 0.854802
37.85, -0.04119689, 0.852432
37.95, -0.04119689, 0.85259
38.1, -0.04244799, 0.851642
38.2, -0.04307353, 0.850852
38.4, -0.04495018, 0.8491141
38.45, -0.04495018, 0.8487981
38.6, -0.04682683, 0.8473761
38.75, -0.04682683, 0.8470601
38.95, -0.04870348, 0.8459542
39, -0.04870348, 0.8457962
39.25, -0.05058013, 0.8445322
39.3, -0.05058013, 0.8445322
39.5, -0.05370788, 0.8431103
39.6, -0.05370788, 0.8424783
39.75, -0.05558453, 0.8415303
39.8, -0.05621007, 0.8407403
39.95, -0.05746117, 0.8401083
40.1, -0.05746117, 0.8401083
40.3, -0.05933782, 0.8388444
40.35, -0.05996337, 0.8382124
40.55, -0.06121447, 0.8367904
40.6, -0.06121447, 0.8364744
40.7, -0.06246556, 0.8358424
40.9, -0.06371667, 0.8352104
41.1, -0.06496777, 0.8342625
41.15, -0.06496777, 0.8341045
41.35, -0.06746996, 0.8322086
