Experiment:, Load
Start date:, ?ter? 19. z??? 2023
Start time:, 13:08:36 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
300.2, 0.01885583, 1.153572
300.3, -0.09124083, 1.080894
300.45, -0.008042786, 0.9426475
300.7, -0.009919429, 0.9333258
300.75, -0.009919429, 0.927164
300.9, -0.01179608, 0.9056765
301.05, -0.01179608, 0.890193
301.3, -0.01429828, 0.8740774
301.35, -0.01429828, 0.8724974
301.6, -0.01680047, 0.8649137
301.65, -0.01680047, 0.8631757
301.95, -0.01930267, 0.8557499
302, -0.01992822, 0.854802
302.25, -0.02180487, 0.8502201
302.3, -0.02243042, 0.8495881
302.45, -0.02368151, 0.8478501
302.6, -0.02493261, 0.8462701
302.85, -0.02618371, 0.8445322
302.9, -0.02618371, 0.8442162
303.15, -0.02931145, 0.8408983
303.2, -0.02931145, 0.8402663
303.4, -0.03118811, 0.8390024
303.5, -0.03181365, 0.8378964
303.8, -0.0349414, 0.8341045
303.85, -0.03556695, 0.8334725
304.1, -0.03681805, 0.8314186
304.15, -0.03681805, 0.8309445
304.4, -0.03932025, 0.8282586
304.45, -0.03994579, 0.8282586
304.65, -0.04244799, 0.8258888
304.75, -0.04244799, 0.8255727
305, -0.04495018, 0.8233608
305.05, -0.04495018, 0.8228868
305.25, -0.04620128, 0.8222548
305.4, -0.04682683, 0.8217809
305.65, -0.04995458, 0.8195689
305.7, -0.04995458, 0.8195689
305.95, -0.05183123, 0.817515
306, -0.05183123, 0.817515
306.2, -0.05308233, 0.816725
306.3, -0.05370788, 0.8165669
306.55, -0.05558453, 0.814987
306.6, -0.05558453, 0.8148291
306.85, -0.05808672, 0.812933
306.9, -0.05808672, 0.8126171
307.2, -0.06121447, 0.8111951
307.25, -0.06184002, 0.8105631
307.5, -0.06371667, 0.8096152
307.55, -0.06309112, 0.8094572
307.75, -0.06684442, 0.8075612
307.85, -0.06684442, 0.8075612
308.05, -0.06872107, 0.8069292
308.15, -0.06872107, 0.8062972
308.4, -0.07122325, 0.8048753
308.45, -0.07122325, 0.8045593
308.65, -0.07372544, 0.8036113
308.8, -0.074351, 0.8032954
