Experiment:, Load
Start date:, ?tvrtek 26. ??jna 2023
Start time:, 13:46:39 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
41.15, 0.03261791, 1.169845
41.3, -0.1293993, 1.093533
41.35, -0.00366394, 0.9361697
41.5, -0.004915043, 0.9710867
41.55, -0.005540589, 0.9740887
41.7, -0.006791682, 0.9717188
41.75, -0.006791682, 0.9671369
41.85, -0.007417239, 0.9532332
41.95, -0.007417239, 0.9415416
42.05, -0.009293883, 0.9262159
42.15, -0.009293883, 0.9129443
42.2, -0.01054498, 0.9048866
42.4, -0.01179608, 0.889403
42.55, -0.01304718, 0.8797652
42.6, -0.01304718, 0.8778693
42.75, -0.01429828, 0.8745514
42.8, -0.01492382, 0.8723395
42.95, -0.01617493, 0.8674416
43, -0.01617493, 0.8661776
43.15, -0.01742602, 0.8615957
43.2, -0.01867712, 0.8590679
43.4, -0.01992822, 0.8551179
43.45, -0.01992822, 0.8551179
43.55, -0.02117932, 0.853222
43.65, -0.02117932, 0.85259
43.8, -0.02305596, 0.8491141
43.85, -0.02368151, 0.8484821
44, -0.02493261, 0.8454802
44.05, -0.02493261, 0.8443742
44.15, -0.02618371, 0.8439003
44.25, -0.02680926, 0.8424783
44.4, -0.02806036, 0.8399503
44.5, -0.02806036, 0.8391604
44.55, -0.02931145, 0.8380544
44.7, -0.02931145, 0.8367904
44.85, -0.03118811, 0.8341045
44.9, -0.03181365, 0.8334725
45.05, -0.03306475, 0.8314186
45.1, -0.03306475, 0.8312606
45.2, -0.03431586, 0.8288906
45.3, -0.03431586, 0.8282586
45.45, -0.03619251, 0.8262047
45.55, -0.03681805, 0.8252567
45.7, -0.0386947, 0.8225708
45.75, -0.03932025, 0.8220968
45.8, -0.03994579, 0.8219388
45.95, -0.03994579, 0.8214648
46.1, -0.04182244, 0.8200429
46.15, -0.04182244, 0.8194109
46.2, -0.04244799, 0.8189369
46.35, -0.04369909, 0.817515
46.45, -0.04495018, 0.816093
46.55, -0.04620128, 0.814987
46.75, -0.04745239, 0.8141971
46.8, -0.04807793, 0.813565
46.95, -0.04932903, 0.8121431
47, -0.04995458, 0.8113531
47.1, -0.05058013, 0.8105631
47.2, -0.05058013, 0.8096152
47.35, -0.05308233, 0.8085092
47.4, -0.05308233, 0.8077192
47.55, -0.05495897, 0.8064553
47.6, -0.05558453, 0.8059813
47.8, -0.05746117, 0.8037694
47.85, -0.05808672, 0.8037694
48, -0.05933782, 0.8028213
48.05, -0.05933782, 0.8025053
48.2, -0.06058892, 0.8009254
48.25, -0.06058892, 0.8007674
48.4, -0.06246556, 0.7998194
48.45, -0.06184002, 0.7995034
48.6, -0.06309112, 0.7983975
48.65, -0.06309112, 0.7983975
48.8, -0.06496777, 0.7968175
48.9, -0.06496777, 0.7961855
49.05, -0.06684442, 0.7949216
49.1, -0.06746996, 0.7946056
49.3, -0.06809551, 0.7942896
49.45, -0.06997216, 0.7925516
49.5, -0.0705977, 0.7922357
49.55, -0.07122325, 0.7916036
49.7, -0.07122325, 0.7916036
49.9, -0.07372544, 0.7895497
49.95, -0.074351, 0.7887597
50.05, -0.07560209, 0.7881277
50.15, -0.07622765, 0.7873378
50.3, -0.07747874, 0.7865478
50.35, -0.07747874, 0.7863898
50.4, -0.0781043, 0.7855998
50.55, -0.0781043, 0.7851258
50.6, -0.07935539, 0.7844938
50.75, -0.08060649, 0.7835459
50.85, -0.0818576, 0.7827559
51, -0.0818576, 0.7821239
51.1, -0.08310869, 0.7814919
51.2, -0.08310869, 0.7808599
51.25, -0.08435979, 0.780702
51.45, -0.08435979, 0.7799119
51.55, -0.08561088, 0.779122
51.6, -0.08686198, 0.77849
51.7, -0.08748753, 0.777858
51.8, -0.08873863, 0.7769101
51.95, -0.08998973, 0.7761201
52, -0.08998973, 0.7761201
52.15, -0.09124083, 0.7746981
52.25, -0.09124083, 0.7748562
52.4, -0.09311747, 0.7732762
52.45, -0.09374303, 0.7731181
52.6, -0.09499412, 0.7716962
52.65, -0.09499412, 0.7716962
52.75, -0.09624523, 0.7712222
52.85, -0.09624523, 0.7707482
53, -0.09749633, 0.7704322
53.05, -0.09812186, 0.7699583
53.2, -0.09874742, 0.7694843
53.3, -0.09874742, 0.7686942
53.4, -0.1006241, 0.7675883
53.5, -0.1006241, 0.7672723
53.55, -0.1018752, 0.7669563
53.7, -0.1018752, 0.7661663
53.85, -0.1043774, 0.7652184
53.9, -0.1037518, 0.7652184
54.05, -0.1050029, 0.7644284
54.1, -0.1056285, 0.7636384
54.3, -0.1068796, 0.7634804
54.35, -0.1068796, 0.7631644
54.4, -0.1081306, 0.7626904
54.55, -0.1093817, 0.7615845
54.7, -0.1112584, 0.7601625
54.75, -0.1112584, 0.7601625
54.9, -0.1118839, 0.7596885
54.95, -0.1118839, 0.7593725
55.1, -0.113135, 0.7584246
55.15, -0.1137606, 0.7581085
55.25, -0.1150117, 0.7574766
55.35, -0.1156372, 0.7573186
55.55, -0.1175139, 0.7560546
55.6, -0.1175139, 0.7555806
55.75, -0.1193905, 0.7547907
55.8, -0.1193905, 0.7547907
55.95, -0.1206416, 0.7541587
56, -0.1212672, 0.7535267
56.15, -0.1218927, 0.7530527
56.2, -0.1225183, 0.7527367
56.35, -0.1231438, 0.7516307
56.4, -0.1243949, 0.7514727
56.6, -0.1250205, 0.7508407
56.65, -0.125646, 0.7505248
56.75, -0.1268971, 0.7500508
56.85, -0.1275227, 0.7495768
57, -0.1293993, 0.7484708
57.05, -0.1293993, 0.7483128
57.2, -0.1306504, 0.7476808
57.25, -0.1306504, 0.7475229
57.4, -0.1319015, 0.7465748
57.45, -0.1325271, 0.7462589
57.6, -0.1344037, 0.7451529
57.7, -0.1344037, 0.7451529
57.75, -0.1350293, 0.7445209
57.9, -0.1356548, 0.7442049
58, -0.1362804, 0.743731
58.1, -0.1362804, 0.743573
58.25, -0.1387826, 0.742151
58.3, -0.1394081, 0.741835
58.45, -0.1406592, 0.7412031
58.5, -0.1412848, 0.740887
58.65, -0.1425359, 0.740255
58.75, -0.1425359, 0.739939
58.8, -0.143787, 0.7394651
58.95, -0.143787, 0.7388331
59.1, -0.1456636, 0.7378851
59.15, -0.1462891, 0.7375691
59.3, -0.1475403, 0.7366211
59.35, -0.1481658, 0.7364632
59.5, -0.1494169, 0.7358312
59.55, -0.1494169, 0.7355151
59.7, -0.150668, 0.7347252
59.75, -0.150668, 0.7345672
59.95, -0.1531702, 0.7333032
60, -0.1531702, 0.7329872
60.15, -0.1550468, 0.7321973
60.2, -0.1550468, 0.7323552
60.3, -0.1556724, 0.7318813
60.4, -0.1569235, 0.7312493
60.55, -0.157549, 0.7309333
60.6, -0.157549, 0.7307753
60.7, -0.1588001, 0.7301434
60.8, -0.1594257, 0.7296693
61, -0.1606768, 0.7288793
61.05, -0.1606768, 0.7285634
61.2, -0.1625534, 0.7276154
61.25, -0.1638045, 0.7272994
61.35, -0.1650556, 0.7268254
61.45, -0.1650556, 0.7265094
61.55, -0.1663067, 0.7258775
61.65, -0.1669323, 0.7255614
61.8, -0.1688089, 0.7247715
61.85, -0.1688089, 0.7246135
