Experiment:, Load
Start date:, ?tvrtek 1. ?nora 2024
Start time:, 12:33:39 +01:00
Time (s), Current Density (A/cm2), Voltage (V)
128.25, 0.01635363, 1.199706
128.3, -0.005540589, 0.889245
128.4, -0.004915043, 0.9486514
128.6, -0.006166136, 0.9567091
128.75, -0.006166136, 0.9437535
128.85, -0.008042786, 0.9238461
129, -0.008042786, 0.8980927
129.25, -0.01054498, 0.8775533
129.3, -0.01179608, 0.8740774
129.4, -0.01304718, 0.8675996
129.6, -0.01367273, 0.8636497
129.75, -0.01492382, 0.8585938
129.85, -0.01492382, 0.8571718
130.05, -0.01680047, 0.85101
130.15, -0.01742602, 0.8502201
130.35, -0.01992822, 0.8437423
130.45, -0.02055377, 0.8418462
130.65, -0.02180487, 0.8401083
130.75, -0.02243042, 0.8388444
131, -0.02493261, 0.8345785
131.05, -0.02493261, 0.8331565
131.2, -0.02680926, 0.8315766
131.35, -0.02743481, 0.8298386
131.55, -0.02931145, 0.8271527
131.6, -0.02931145, 0.8258888
131.75, -0.03181365, 0.8235188
131.9, -0.03181365, 0.8220968
132.1, -0.0336903, 0.8203589
132.2, -0.0349414, 0.8186209
132.45, -0.0374436, 0.815935
132.5, -0.0374436, 0.815619
132.65, -0.0386947, 0.813881
132.8, -0.03932025, 0.8124591
133.05, -0.04119689, 0.8108791
133.1, -0.04119689, 0.8110371
133.3, -0.04307353, 0.8088252
133.35, -0.04244799, 0.8086672
133.45, -0.04432464, 0.8070872
133.65, -0.04495018, 0.8066132
133.9, -0.04745239, 0.8045593
133.95, -0.04745239, 0.8040853
134.2, -0.04995458, 0.8020313
134.25, -0.04995458, 0.8012414
134.45, -0.05183123, 0.8001354
134.55, -0.05183123, 0.7998194
134.75, -0.05433342, 0.7976075
134.85, -0.05433342, 0.7968175
135.05, -0.05683562, 0.7944475
135.1, -0.05683562, 0.7947636
135.35, -0.05933782, 0.7931836
135.4, -0.05933782, 0.7927096
135.6, -0.06184002, 0.7911296
135.7, -0.06246556, 0.7903396
135.85, -0.06434221, 0.7892337
