TESTED,ALL DATA AVAILABLE,Sample Nr. (=INDEX Nr.),Original SAMPLE Nr.,RAW LOAD,RAW IMP,RAW CV,opt,LOAD,IMP,CV,Ink,Catalyst,Ionomer,Solvent,I:C ratio,Membrane,Pt loading - anode/cathode - mg/cm2,Comment,Filename,A loading,K loading,total load,Loading color scale,max power density (W/cm2),OCV,U at 1A/cm2,ohmic resistance (?),polarization resistance (?),mass specific surface (m2/g),,,,,,,,,,,,
1,3,1,1,1,1,1,,1,1,1,KHE_04,Pt/C 20%,,,,Nafion 212,0.1/0.3 (asi),one side,Batch 1,0.1,0.3,0.4,0.4,0.695,0.994,0.58,0.0038,0.0182,14.12207554,0,994,0,580,0,38,0,182,14,12207554,,
1,3,2,2,1,1,1,,1,1,1,KHE_05,Pt/C 20%,,,,Nafion 212,0.28/0.3 (asi),one side,Batch 1,0.3,0.3,0.6,0.6,0.499,0.952,0.474,0.0043,0.0155,5.32656348,0,952,0,474,0,43,0,155,5,32656348,,
1,3,3,3,1,1,1,,1,1,1,KHE_15,Pt/C 40%,,,,FS-960-RF,0.53/1.05,,Batch 2,0.53,1.05,1.58,1.58,0.416,0.995,0.414,0.0034,0.0164,2.169286433,0,995,0,414,0,34,0,164,2,169286433,,
1,3,4,4,1,1,1,,1,1,1,KHE_15,Pt/C 40%,,,,FS-960-RF,1.05/1.58,,Batch 2,1.05,1.58,2.63,2.63,0.661,0.984,0.582,0.0031,0.0127,3.93757133,0,984,0,582,0,31,0,127,3,93757133,,
1,3,5,5,1,1,1,,1,1,1,KHE_16,Pt/C 40%,,,,FS-960-RF,0.62/1.25,,Batch 3,0.62,1.25,1.87,1.87,0.525,1.02,0.518,0.0028,0.0199,6.347139942,1,20,0,518,0,28,0,199,6,347139942,,
1,3,6,6,1,1,1,,1,1,1,KHE_16,Pt/C 40%,,,,FS-960-RF,0.62/1.25,,Batch 3,0.62,1.25,1.87,1.87,0.703,1.006,0.614,0.0026,0.0121,5.962098055,1,6,0,614,0,26,0,121,5,962098055,,
1,3,7,7,1,1,1,,1,1,1,NL001_C,Pt_NL001,,,,FS-960-RF,0.29/0.3,one side. ultimately bad,Batch 4,0.29,0.3,0.59,0.59,0.004,1.032,NaN,[],[],,4,1,32,NaN,[],[],,,,,,
0,0,,8,0,0,0,gone,0,0,0,NL001_C,Pt_NL001,,,,,,lost to the zone,Batch 4,,,0, ,[],[],[],[],[],,,,,,,,,,,,,
1,3,8,9,1,1,1,,1,1,1,Imm-PtC_KHE_02,Catalyst 1,,,,Nafion 212,0.1/0.1,,Batch 5,0.1,0.1,0.2,0.2,0.817,0.938,0.616,0.0029,0.0087,13.36992547,0,938,0,616,0,29,0,87,13,36992547,,
0,1,,10,1,1,0,bad,0,1,0,,,,,,,,lost in the void,Batch 5,,,0, ,[],[],[],0.0039,0.0151,,151,,,,,,,,,,,
1,3,9,11,1,1,1,,1,1,1,Imm-PtC_KHE_02,Catalyst 2,,,,FS-960-RF,0.06/0.1,flowfield anode 0.06,Batch 5,0.1,0.06,0.16,0.16,0.664,0.947,0.557,0.0042,0.0101,20.03806781,0,947,0,557,0,42,0,101,20,3806781,,
1,0,,12,0,0,0,,0,0,0,,,,,,,,K.I.A.,Batch 5,,,0, ,[],[],[],[],[],,,,,,,,,,,,,
1,2,,13,0,1,1,,0,1,1,,,,,,,,K.I.A.,Batch 5,,,0, ,[],[],[],[],[],,,,,,,,,,,,,
1,2,,14,0,1,1,,0,1,1,,,,,,,,K.I.A.,Batch 5,,,0, ,[],[],[],[],[],,,,,,,,,,,,,
1,1,,15,0,1,0,,0,1,0,,,,,,,,lost to the zone,Batch 5,,,0, ,[],[],[],[],[],,,,,,,,,,,,,
1,0,,16,0,0,0,,0,0,0,,,,,,,,K.I.A.,Batch 5,,,0, ,[],[],[],[],[],,,,,,,,,,,,,
1,0,,17,0,0,0,,0,0,0,,,,,,,,,Batch 5,,,0, ,[],[],[],[],[],,,,,,,,,,,,,
1,3,10,18,1,1,1,,1,1,1,Intern_STDPt,,,,,FS-960-RF,,flowfield cathode,Batch 7,,,0, ,0.347,0.995,0.262,0.0048,0.0164,,0,48,0,164,,,,,,,,
1,3,11,19,1,1,1,,1,1,1,Intern_STDPt,,,,,FS-960-RF,,flowfield cathode,Batch 7,,,0, ,0.435,0.996,NaN,0.003,0.0203,,30,0,203,,,,,,,,,
1,3,12,20,1,1,1,,1,1,1,Intern_STDPt,,,,,FS-960-RF,,,Batch 7,,,0, ,0.492,1.027,0.48,0.005,0.0134,,0,50,0,134,,,,,,,,
1,1,,21,0,1,0,,0,1,0,Imm-PtC_KHE_03,Catalyst 1,EHU CX Nafion PEG 6 kDa,,0.58,FS-960-RF,0.044/0.089,Thickness available,Batch 8,0.044,0.089,0.133,0.133,[],[],NaN,[],[],,[],NaN,[],[],,,,,,,,
1,3,13,22,1,1,1,,1,1,1,Imm-PtC_KHE_03,Catalyst 1,EHU CX Nafion PEG 6 kDa,,0.58,Nafion 212,0.044/0.089,Thickness available,Batch 8,0.044,0.089,0.133,0.133,0.927,0.956,0.673,0.0022,0.0069,14.84084679,927,0,956,0,673,0,22,0,69,14,84084679,
1,2,14,23,1,1,0,,1,1,0,Imm-PtC_KHE_03,Catalyst 1,EHU CX Nafion PEG 6 kDa,,0.58,FS-960-RF,0.089/0.089,Thickness available,Batch 8,0.089,0.089,0.178,0.178,0.51,0.96,0.46,0.005,0.0142,,510,0,960,0,460,0,50,0,142,,,
1,3,15,24,1,1,1,,1,1,1,Imm-PtC_KHE_04,Catalyst 2,EHU CX Nafion PEG 6 kDa,,0.78,FS-960-RF,* - Maybe both 0.09/0.09,,Batch 8,0.09,0.09,0.18,0.18,0.494,0.947,0.488,0.0026,0.0171,6.574557415,494,0,947,0,488,0,26,0,171,6,574557415,
1,1,,25,0,0,1,post,0,0,1,Imm-PtC_KHE_04,Catalyst 2,EHU CX Nafion PEG 6 kDa,,0.78,FS-960-RF,,,Batch 8,,,0, ,[],[],[],[],[],,,,,,,,,,,,,
1,2,16,26,1,0,1,,1,0,1,Imm-PtC_KHE_04,Catalyst 2,EHU CX Nafion PEG 6 kDa,,0.78,FS-930-RFS,*,,Batch 8,0.09,0.09,0.18,0.18,0.777,0.951,0.633,[],[],,777,0,951,0,633,[],[],,,,,
1,0,,27,0,0,0,post,0,0,0,Imm-PtC_KHE_04,Catalyst 2,EHU CX Nafion PEG 6 kDa,,0.78,FS-930-RFS,,,Batch 8,,,0, ,[],[],[],[],[],,,,,,,,,,,,,
1,0,,28,0,0,0,post,0,0,0,Imm-PtC_KHE_04,Catalyst 2,EHU CX Nafion PEG 6 kDa,,0.78,Nafion 212,,,Batch 8,,,0, ,[],[],[],[],[],,,,,,,,,,,,,
1,2,,29,0,1,1,post,0,1,1,Imm-PtC_KHE_04,Catalyst 2,EHU CX Nafion PEG 6 kDa,,0.78,FS-715-RFS,,,Batch 8,,,0, ,[],[],[],[],[],,,,,,,,,,,,,
1,3,17,30,1,1,1,,1,1,1,Imm-PtC_TZ01,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:IPA:Gly (1:1:0.44),0.59,FS-960-RF,0.058/0.11,,Batch 9,0.058,0.11,0.168,0.168,0.719,0.979,0.572,0.0026,0.0164,17.00979372,719,0,979,0,572,0,26,0,164,17,979372,
1,3,18,31,1,1,1,,1,1,1,Imm-PtC_TZ01,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:IPA:Gly (1:1:0.44),0.59,FS-960-RF,0.058/0.11,,Batch 9,0.058,0.11,0.168,0.168,0.692,0.962,0.559,0.0027,0.0191,16.46063001,692,0,962,0,559,0,27,0,191,16,46063001,
1,3,19,32,1,1,1,,1,1,1,Imm-PtC_KHE_05,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:IPA (1:1),0.59,FS-960-RF,0.12/0.12,,Batch 9,0.12,0.12,0.24,0.24,0.725,0.958,0.566,0.0034,0.0092,10.3858402,725,0,958,0,566,0,34,0,92,10,3858402,
1,3,20,33,1,1,1,,1,1,1,Imm-PtC_KHE_05,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:IPA (1:1),0.59,FS-960-RF,0.12/0.12,,Batch 9,0.12,0.12,0.24,0.24,0.924,1.021,0.682,0.0026,0.0073,15.94589057,924,1,21,0,682,0,26,0,73,15,94589057,
1,3,21,34,1,1,1,,1,1,1,Imm-PtC_KHE_05,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:IPA (1:1),0.6,FS-960-RF,0.06/0.12,,Batch 9,0.06,0.12,0.18,0.18,0.487,0.974,0.483,0.0028,0.0231,15.94589057,487,0,974,0,483,0,28,0,231,15,94589057,
1,3,22,35,1,1,1,,1,1,1,Imm-PtC_KHE_05,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:IPA (1:1),0.6,Nafion 212,0.06/0.12,,Batch 9,0.06,0.12,0.18,0.18,0.954,1.002,0.694,0.0023,0.0069,17.27578382,954,1,2,0,694,0,23,0,69,17,27578382,
1,3,23,36,1,1,1,,1,1,1,Imm-PtC_KHE_06,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:IPA:Gly (1:1:0.08),0.6,FS-960-RF,0.11/0.11,,Batch 9,0.11,0.11,0.22,0.22,0.767,0.971,0.608,0.0027,0.0087,22.19904029,767,0,971,0,608,0,27,0,87,22,19904029,
1,3,24,37,1,1,1,,1,1,1,Imm-PtC_KHE_06,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:IPA:Gly (1:1:0.08),0.6,FS-960-RF,0.11/0.11,,Batch 9,0.11,0.11,0.22,0.22,0.583,0.978,0.505,0.0039,0.0108,15.50135589,583,0,978,0,505,0,39,0,108,15,50135589,
1,3,25,38,1,1,1,,1,1,1,Imm-PtC_KHE_06,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:IPA:Gly (1:1:0.08),0.6,Nafion 212,0.11/0.11,,Batch 9,0.11,0.11,0.22,0.22,0.734,0.98,0.615,0.0036,0.0132,23.56516478,734,0,980,0,615,0,36,0,132,23,56516478,
1,3,26,39,1,1,1,,1,1,1,Imm-PtC_KHE_06,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:IPA:Gly (1:1:0.08),0.6,FS-960-RF,0.056/0.11,,Batch 9,0.056,0.11,0.166,0.166,0.888,1.004,0.667,0.0031,0.008,22.76433365,888,1,4,0,667,0,31,0,80,22,76433365,
1,3,27,40,1,1,1,,1,1,1,Tubaf 40 % PtC,,Nafion D-512 (5wt.%),H2O:EG:1-propanol,0.6,FS-960-RF,?/0.047,,Batch 10,0.3,0.047,0.347,0.347,0.666,0.962,0.54,0.0027,0.0095,13.86221807,666,0,962,0,540,0,27,0,95,13,86221807,
1,3,28,41,1,1,1,,1,1,1,Tubaf 40 % PtC,,Nafion D-512 (5wt.%),H2O:EG:1-propanol,0.6,FS-960-RF,?/0.047,,Batch 10,0.3,0.047,0.347,0.347,0.859,0.948,0.642,0.0026,0.009,13.34587106,859,0,948,0,642,0,26,0,90,13,34587106,
1,0,,42,0,0,0,,0,0,0,Tubaf 20 % PtC,,Nafion D-512 (5wt.%),,0.6,Nafion 212,,,Batch 10,,,0, ,[],[],[],[],[],,,,,,,,,,,,,
1,3,29,43,1,1,1,,1,1,1,Tubaf 20 % PtC,,Nafion D-512 (5wt.%),,0.6,Nafion 212,0.269 total,,Batch 10,0.135,0.135,0.27,0.27,0.888,0.94,0.659,0.0014,0.01,19.08470766,888,0,940,0,659,0,14,0,100,19,8470766,
1,3,30,44,1,1,1,,1,1,1,Tubaf 20 % PtC,,Nafion D-512 (5wt.%),,0.6,FS-930-RFS,0.222 total,,Batch 10,0.11,0.11,0.22,0.22,0.813,0.953,0.628,0.0021,0.0078,20.24460714,813,0,953,0,628,0,21,0,78,20,24460714,
1,0,,45,0,0,0,,0,0,0,Tubaf 20 % PtC,,Nafion D-512 (5wt.%),,0.6,Gore 765.08,0.218 total,,Batch 10,,,0, ,[],[],[],[],[],,,,,,,,,,,,,
1,3,31,46,1,1,1,,1,1,1,Imm-PtC_KHE_11,Tanaka 29.1 %,EHU CXN PEG 6 kDa 0.5:0.27,H2O:IPA:EtOH,0.6,FS-960-RF,0.126,c:a = 2:1,Batch 11,0.042,0.084,0.126,0.126,0.463,0.966,0.461,0.0033,0.0144,17.73699748,0,463,0,966,0,461,0,33,0,144,17,73699748
