Experiment:, Cathode characterisation
Start date:, ?ter? 21. b?ezna 2023
Start time:, 13:08:50 +01:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"1020,05", "0,4005643", "0,0326481"
"1020,1", "0,4015122", "0,03296138"
"1020,15", "0,4024602", "0,03358793"
"1020,2", "0,4035662", "0,03233482"
"1020,25", "0,4045142", "0,03374457"
"1020,3", "0,4054621", "0,03374457"
"1020,35", "0,4062521", "0,03374457"
"1020,4", "0,4073581", "0,03499769"
"1020,45", "0,408464", "0,03296138"
"1020,5", "0,409412", "0,03311801"
"1020,55", "0,41036", "0,03280474"
"1020,6", "0,411466", "0,03311801"
"1020,65", "0,4125719", "0,0326481"
"1020,7", "0,4135199", "0,03515432"
"1020,75", "0,4146259", "0,03358793"
"1020,8", "0,4155739", "0,03515432"
"1020,85", "0,4165218", "0,03531097"
"1020,9", "0,4174698", "0,03405785"
"1020,95", "0,4184178", "0,03311801"
"1021", "0,4193658", "0,03593753"
"1021,05", "0,4204717", "0,03499769"
"1021,1", "0,4214197", "0,03437113"
"1021,15", "0,4223677", "0,03233482"
"1021,2", "0,4233157", "0,03405785"
"1021,25", "0,4242636", "0,03280474"
"1021,3", "0,4253696", "0,0326481"
"1021,35", "0,4264756", "0,03468441"
"1021,4", "0,4272656", "0,0326481"
"1021,45", "0,4283715", "0,03296138"
"1021,5", "0,4293195", "0,0318649"
"1021,55", "0,4304255", "0,03280474"
"1021,6", "0,4313734", "0,03249146"
"1021,65", "0,4323214", "0,03405785"
"1021,7", "0,4334274", "0,03296138"
"1021,75", "0,4343754", "0,03202154"
"1021,8", "0,4353233", "0,03405785"
"1021,85", "0,4362713", "0,03327465"
"1021,9", "0,4373773", "0,03452777"
"1021,95", "0,4383253", "0,03217818"
"1022", "0,4394312", "0,0326481"
"1022,05", "0,4403792", "0,03343129"
"1022,1", "0,4414852", "0,03374457"
"1022,15", "0,4424331", "0,03343129"
"1022,2", "0,4435391", "0,03609416"
"1022,25", "0,4446451", "0,03452777"
"1022,3", "0,4455931", "0,03327465"
"1022,35", "0,446383", "0,03405785"
"1022,4", "0,447331", "0,03374457"
"1022,45", "0,448595", "0,03593753"
"1022,5", "0,449385", "0,03452777"
"1022,55", "0,4503329", "0,03405785"
"1022,6", "0,4512809", "0,03311801"
"1022,65", "0,4522289", "0,03437113"
"1022,7", "0,4531768", "0,03405785"
"1022,75", "0,4542828", "0,03593753"
"1022,8", "0,4553888", "0,03343129"
"1022,85", "0,4563367", "0,03452777"
"1022,9", "0,4572847", "0,03515432"
"1022,95", "0,4582327", "0,0354676"
"1023", "0,4593387", "0,03311801"
"1023,05", "0,4602866", "0,03609416"
"1023,1", "0,4612346", "0,03562424"
"1023,15", "0,4623406", "0,03499769"
"1023,2", "0,4634466", "0,03609416"
"1023,25", "0,4643945", "0,03343129"
"1023,3", "0,4653425", "0,03468441"
"1023,35", "0,4662905", "0,03421449"
"1023,4", "0,4672385", "0,03437113"
"1023,45", "0,4683444", "0,03437113"
"1023,5", "0,4692924", "0,03343129"
"1023,55", "0,4703984", "0,03640744"
"1023,6", "0,4713463", "0,03609416"
"1023,65", "0,4722943", "0,03609416"
"1023,7", "0,4732423", "0,03499769"
