Experiment:, Cathode characterisation
Start date:, ?ter? 16. kv?tna 2023
Start time:, 12:34:21 +02:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"1232,55", "0,05097022", "-0,5802813"
"1232,65", "0,05313279", "-0,2926916"
"1232,7", "0,05412725", "-0,2585443"
"1232,75", "0,05499544", "-0,2256501"
"1232,8", "0,05608461", "-0,1883699"
"1232,85", "0,05695279", "-0,1904062"
"1232,9", "0,05793147", "-0,1523429"
"1233", "0,05996775", "-0,1048812"
"1233,05", "0,06102536", "-0,08890398"
"1233,1", "0,06195668", "-0,09924216"
"1233,15", "0,06279329", "-0,1050378"
"1233,2", "0,06386668", "-0,07230021"
"1233,3", "0,06579247", "-0,06697448"
"1233,35", "0,06675537", "-0,04175556"
"1233,4", "0,06765512", "-0,05178047"
"1233,45", "0,06872851", "-0,02389867"
"1233,5", "0,06978611", "-0,02405532"
"1233,55", "0,07076479", "-0,01747647"
"1233,6", "0,07180662", "-0,01528352"
"1233,65", "0,07273793", "-0,01309057"
"1233,7", "0,0738429", "0,01275491"
"1233,75", "0,07475843", "-0,009174587"
"1233,85", "0,07677893", "0,01463458"
"1233,9", "0,07771026", "0,00868229"
"1233,95", "0,07867315", "0,01620097"
"1234", "0,0796834", "0,02215327"
"1234,05", "0,08055158", "0,01244163"
"1234,15", "0,082651", "0,0326481"
"1234,2", "0,08370861", "0,02794892"
"1234,25", "0,08481357", "0,03860039"
"1234,3", "0,08590274", "0,03499769"
"1234,35", "0,08689721", "0,03515432"
"1234,4", "0,0879706", "0,0450226"
"1234,45", "0,08896507", "0,03593753"
"1234,55", "0,09085928", "0,04157653"
"1234,6", "0,09190109", "0,0450226"
"1234,65", "0,09289556", "0,04627572"
"1234,7", "0,09384266", "0,0494085"
"1234,75", "0,09490027", "0,05410768"
"1234,8", "0,09602102", "0,05473424"
"1234,85", "0,09703127", "0,05160145"
"1234,9", "0,09788366", "0,04752883"
"1235", "0,09982523", "0,05614398"
"1235,05", "0,1008986", "0,05551743"
"1235,1", "0,1018142", "0,05567407"
"1235,15", "0,1028086", "0,05128817"
"1235,25", "0,1048449", "0,05927677"
"1235,3", "0,1058552", "0,05802366"
"1235,35", "0,1067233", "0,05614398"
"1235,4", "0,1077178", "0,06068652"
"1235,45", "0,108807", "0,06413259"
"1235,5", "0,1098014", "0,05708382"
"1235,55", "0,1108906", "0,06648218"
"1235,6", "0,1119324", "0,05865022"
"1235,7", "0,1137793", "0,05818029"
"1235,75", "0,1147264", "0,06272284"
"1235,8", "0,1159103", "0,06303611"
"1235,85", "0,1168258", "0,06240956"
"1235,9", "0,1178361", "0,06460251"
"1235,95", "0,1188463", "0,0625662"
"1236,05", "0,1208195", "0,06491579"
"1236,1", "0,1218139", "0,06287947"
"1236,15", "0,1227926", "0,06554235"
"1236,2", "0,1238502", "0,0625662"
"1236,25", "0,1247815", "0,06632554"
"1236,3", "0,1257287", "0,06475915"
"1236,35", "0,1267705", "0,06648218"
"1236,45", "0,1287278", "0,061783"
"1236,5", "0,1296276", "0,06632554"
"1236,55", "0,1307483", "0,06914505"
"1236,6", "0,131727", "0,06381931"
"1236,65", "0,1326741", "0,06804857"
"1236,75", "0,1347893", "0,06914505"
"1236,8", "0,1357838", "0,06569898"
"1236,85", "0,1367467", "0,06742202"
"1236,9", "0,1376149", "0,06413259"
"1236,95", "0,1386251", "0,07071144"
"1237", "0,1396354", "0,06569898"
"1237,05", "0,140614", "0,06851849"
"1237,1", "0,1415769", "0,06836185"
"1237,2", "0,1436764", "0,07118136"
"1237,25", "0,1447971", "0,06867513"
"1237,3", "0,1457284", "0,06836185"
"1237,35", "0,1468018", "0,06789193"
"1237,4", "0,1477647", "0,06710874"
"1237,45", "0,1488697", "0,06930169"
"1237,55", "0,1509217", "0,06569898"
"1237,6", "0,1516952", "0,06836185"
"1237,65", "0,1527055", "0,06710874"
"1237,7", "0,1535894", "0,06663882"
"1237,75", "0,1547417", "0,071338"
"1237,8", "0,1556573", "0,0661689"
"1237,85", "0,1566991", "0,07008488"
"1237,9", "0,1577409", "0,06710874"
"1238", "0,1598246", "0,06601226"
"1238,05", "0,1607401", "0,06648218"
"1238,1", "0,1617977", "0,06804857"
"1238,15", "0,1629027", "0,06836185"
"1238,2", "0,1638656", "0,06507242"
"1238,25", "0,1648127", "0,06867513"
"1238,3", "0,1658071", "0,06867513"
"1238,4", "0,1677961", "0,06773529"
"1238,45", "0,1688063", "0,06710874"
"1238,5", "0,1698323", "0,06695209"
"1238,55", "0,1708426", "0,06569898"
"1238,6", "0,1717266", "0,06742202"
"1238,65", "0,1726895", "0,06663882"
"1238,75", "0,1748362", "0,06601226"
"1238,8", "0,175736", "0,0661689"
"1238,85", "0,1767936", "0,06679546"
"1238,9", "0,1778354", "0,06742202"
"1238,95", "0,1788614", "0,06444587"
"1239", "0,1799348", "0,06836185"
"1239,1", "0,1820027", "0,0653857"
"1239,15", "0,1829814", "0,06632554"
"1239,2", "0,1837864", "0,06491579"
"1239,25", "0,1847809", "0,06601226"
"1239,3", "0,1858227", "0,06898841"
"1239,35", "0,1867698", "0,06554235"
"1239,4", "0,1878432", "0,06601226"
"1239,45", "0,1888692", "0,06522907"
"1239,55", "0,1908108", "0,0661689"
"1239,6", "0,1918842", "0,06601226"
"1239,65", "0,1929102", "0,06522907"
"1239,7", "0,1939994", "0,06710874"
"1239,75", "0,1948991", "0,06381931"
"1239,8", "0,1958936", "0,0661689"
"1239,9", "0,1978983", "0,06679546"
"1239,95", "0,198877", "0,06554235"
"1240", "0,1998399", "0,06742202"
"1240,05", "0,2008975", "0,06945832"
"1240,1", "0,2019393", "0,06475915"
"1240,2", "0,2038809", "0,06632554"
"1240,25", "0,2048122", "0,0653857"
"1240,3", "0,205933", "0,06554235"
"1240,35", "0,2067854", "0,06601226"
"1240,4", "0,2079219", "0,0653857"
"1240,45", "0,2088374", "0,06632554"
"1240,5", "0,209895", "0,06507242"
"1240,55", "0,2110473", "0,06679546"
"1240,6", "0,2121207", "0,0653857"
"1240,7", "0,214015", "0,06585562"
"1240,75", "0,2148831", "0,06413259"
"1240,8", "0,2159565", "0,06569898"
"1240,85", "0,216951", "0,06507242"
"1240,9", "0,2178981", "0,06350603"
"1241", "0,2198397", "0,06475915"
"1241,05", "0,2208973", "0,06569898"
