Experiment:, Cathode characterisation
Start date:, st?eda 17. kv?tna 2023
Start time:, 14:49:46 +02:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"1232,55", "0,0505756", "-0,6515522"
"1232,65", "0,05267502", "-0,3623961"
"1232,7", "0,05366948", "-0,3180672"
"1232,75", "0,05467973", "-0,273425"
"1232,8", "0,0556742", "-0,2441335"
"1232,85", "0,05671601", "-0,2045038"
"1232,95", "0,05846817", "-0,2220473"
"1233", "0,05957313", "-0,1701998"
"1233,05", "0,06055181", "-0,164874"
"1233,1", "0,06156205", "-0,132293"
"1233,15", "0,06249338", "-0,1374622"
"1233,2", "0,06351941", "-0,105821"
"1233,25", "0,06445073", "-0,1156893"
"1233,35", "0,06648701", "-0,08013218"
"1233,4", "0,0675604", "-0,06540807"
"1233,45", "0,06842859", "-0,07637283"
"1233,5", "0,06942306", "-0,05334686"
"1233,55", "0,07044908", "-0,04582817"
"1233,6", "0,0713962", "-0,04488834"
"1233,65", "0,07254851", "-0,02812794"
"1233,7", "0,07347983", "-0,03877941"
"1233,8", "0,07545298", "-0,01544016"
"1233,85", "0,07644744", "-0,01340385"
"1233,9", "0,07759976", "-0,00651172"
"1233,95", "0,0784048", "-0,02060925"
"1234", "0,07947819", "-0,002282459"
"1234,05", "0,08039373", "-0,006355081"
"1234,15", "0,0825405", "0,008995568"
"1234,2", "0,08366125", "0,01212835"
"1234,25", "0,08457679", "0,004296389"
"1234,3", "0,08547655", "0,01040532"
"1234,35", "0,08650257", "0,01447794"
"1234,4", "0,0874339", "0,01369475"
"1234,5", "0,08932812", "0,01651425"
"1234,55", "0,09040151", "0,0238763"
"1234,6", "0,0913644", "0,02293646"
"1234,65", "0,0924378", "0,02951531"
"1234,7", "0,0935901", "0,03202154"
"1234,75", "0,09466349", "0,03092507"
"1234,8", "0,09556325", "0,02732236"
"1234,85", "0,09639986", "0,02763564"
"1234,9", "0,09739432", "0,03390121"
"1235", "0,09930433", "0,03374457"
"1235,05", "0,1003146", "0,03734728"
"1235,1", "0,1012933", "0,03358793"
"1235,15", "0,1021772", "0,03499769"
"1235,25", "0,1042924", "0,03766055"
"1235,3", "0,1052869", "0,04157653"
"1235,35", "0,1064076", "0,04094998"
"1235,4", "0,1074652", "0,04204645"
"1235,45", "0,1083176", "0,037034"
"1235,5", "0,1093595", "0,04235973"
"1235,55", "0,1103066", "0,04001015"
"1235,6", "0,1112695", "0,04267301"
"1235,7", "0,1133689", "0,0494085"
"1235,75", "0,1144738", "0,04486596"
"1235,8", "0,1154367", "0,04188982"
"1235,85", "0,1164312", "0,04705891"
"1235,9", "0,1174257", "0,0450226"
"1235,95", "0,1184517", "0,0486253"
"1236,05", "0,1204722", "0,0458058"
"1236,1", "0,1214193", "0,04893858"
"1236,15", "0,122398", "0,0478421"
"1236,2", "0,1232977", "0,04549251"
"1236,25", "0,1242922", "0,04737219"
"1236,3", "0,125334", "0,04878194"
"1236,35", "0,1262022", "0,04690227"
"1236,45", "0,1282543", "0,05332448"
"1236,5", "0,1293908", "0,04893858"
"1236,55", "0,1303537", "0,05269792"
"1236,6", "0,131285", "0,04815539"
"1236,65", "0,1323111", "0,05175809"
"1236,7", "0,133416", "0,04893858"
"1236,8", "0,135405", "0,04674564"
"1236,85", "0,1363836", "0,04846866"
"1236,9", "0,1372518", "0,04705891"
"1236,95", "0,1382778", "0,05019169"
"1237", "0,1392723", "0,04486596"
"1237,05", "0,1402194", "0,05113153"
"1237,1", "0,1412454", "0,04909522"
"1237,15", "0,1424451", "0,05332448"
"1237,2", "0,1435501", "0,04815539"
"1237,3", "0,145539", "0,0478421"
"1237,35", "0,1465177", "0,04878194"
"1237,4", "0,1475595", "0,04846866"
"1237,45", "0,1486171", "0,04596243"
"1237,55", "0,1504324", "0,04596243"
"1237,6", "0,1514742", "0,05128817"
"1237,65", "0,1525003", "0,04956514"
"1237,7", "0,1536052", "0,05066161"
"1237,75", "0,1545839", "0,04768547"
"1237,8", "0,1556257", "0,04846866"
"1237,85", "0,156557", "0,05207136"
"1237,95", "0,1584197", "0,04596243"
"1238", "0,1594773", "0,04752883"
"1238,05", "0,1602981", "0,04893858"
"1238,1", "0,1614662", "0,04846866"
"1238,15", "0,162366", "0,0486253"
"1238,2", "0,1632815", "0,04470932"
"1238,25", "0,1642444", "0,0494085"
"1238,35", "0,1663754", "0,04690227"
"1238,4", "0,1673856", "0,05113153"
"1238,45", "0,1682538", "0,04799874"
"1238,5", "0,1692325", "0,04690227"
"1238,55", "0,1701007", "0,04658899"
"1238,6", "0,1711741", "0,04815539"
"1238,65", "0,1721685", "0,04815539"
"1238,7", "0,1731157", "0,04533588"
"1238,8", "0,1750572", "0,04533588"
"1238,85", "0,1760833", "0,04752883"
"1238,9", "0,1769988", "0,04345621"
"1238,95", "0,1780564", "0,05019169"
"1239,05", "0,1802979", "0,0478421"
"1239,1", "0,1813871", "0,04329957"
"1239,15", "0,1824447", "0,0478421"
"1239,2", "0,1833602", "0,04533588"
"1239,25", "0,1843231", "0,04392612"
"1239,3", "0,1854438", "0,04846866"
"1239,35", "0,1864857", "0,04768547"
"1239,4", "0,1873538", "0,04361285"
"1239,5", "0,1892796", "0,0486253"
"1239,55", "0,190353", "0,04564916"
"1239,6", "0,1913475", "0,04517924"
"1239,65", "0,1924051", "0,04705891"
"1239,7", "0,193368", "0,04329957"
"1239,75", "0,1943467", "0,04690227"
"1239,8", "0,1953727", "0,04282965"
"1239,85", "0,1963356", "0,0486253"
"1239,95", "0,1981982", "0,04392612"
"1240", "0,1992085", "0,04564916"
"1240,05", "0,2003292", "0,04658899"
"1240,1", "0,2012606", "0,0450226"
"1240,2", "0,2033126", "0,04658899"
"1240,25", "0,2043545", "0,04235973"
"1240,3", "0,2053331", "0,04376949"
"1240,4", "0,2072905", "0,04596243"
"1240,45", "0,2083165", "0,04267301"
"1240,5", "0,2093426", "0,04737219"
"1240,55", "0,2103528", "0,04329957"
"1240,65", "0,2123575", "0,04455268"
"1240,7", "0,2135098", "0,0478421"
"1240,75", "0,2144096", "0,04094998"
"1240,8", "0,2152778", "0,04627572"
"1240,85", "0,2162565", "0,04627572"
"1240,9", "0,2172509", "0,04345621"
"1240,95", "0,2181664", "0,04486596"
"1241", "0,219303", "0,04658899"
"1241,1", "0,2213708", "0,04408276"
"1241,15", "0,2223653", "0,04486596"
"1241,2", "0,223344", "0,04627572"
"1241,25", "0,2244963", "0,04690227"
"1241,3", "0,225396", "0,04455268"
"1241,35", "0,2263432", "0,04721555"
"1241,45", "0,2283952", "0,0450226"
"1241,5", "0,2293897", "0,04768547"
"1241,55", "0,2304473", "0,04439604"
"1241,6", "0,2312997", "0,04564916"
"1241,65", "0,2324678", "0,04752883"
"1241,7", "0,2334149", "0,04408276"
"1241,8", "0,2353407", "0,04267301"
"1241,85", "0,2363983", "0,04658899"
"1241,9", "0,2374243", "0,0458058"
"1241,95", "0,2383557", "0,04455268"
"1242", "0,2393027", "0,04533588"
"1242,05", "0,2402656", "0,04298629"
"1242,1", "0,2413548", "0,04831202"
"1242,15", "0,2423809", "0,04423941"
"1242,25", "0,2444645", "0,04251637"
"1242,3", "0,2455537", "0,04533588"
"1242,35", "0,2465481", "0,04549251"
"1242,4", "0,2476057", "0,04235973"
"1242,45", "0,2484424", "0,04267301"
"1242,55", "0,2505418", "0,04564916"
"1242,6", "0,2514573", "0,04329957"
"1242,65", "0,252436", "0,04392612"
"1242,7", "0,2534147", "0,04423941"
"1242,75", "0,2545354", "0,04439604"
"1242,8", "0,255593", "0,04627572"
"1242,85", "0,2566506", "0,04455268"
"1242,95", "0,2586711", "0,04126326"
"1243", "0,2596814", "0,04455268"
"1243,05", "0,2606916", "0,04079334"
"1243,1", "0,2616229", "0,04329957"
"1243,15", "0,2626648", "0,04126326"
"1243,2", "0,2636592", "0,04157653"
"1243,25", "0,2646537", "0,04110662"
"1243,3", "0,2656166", "0,04157653"
"1243,4", "0,2675897", "0,04126326"
"1243,45", "0,2684895", "0,04016678"
"1243,5", "0,2694682", "0,04016678"
"1243,55", "0,2704942", "0,04188982"
"1243,6", "0,2714729", "0,03875703"
"1243,7", "0,273446", "0,04094998"
"1243,75", "0,2745194", "0,04094998"
"1243,8", "0,2756401", "0,0406367"
"1243,85", "0,2767925", "0,04157653"
"1243,9", "0,2777396", "0,04032342"
"1243,95", "0,2786867", "0,04001015"
"1244,05", "0,2806756", "0,04376949"
"1244,1", "0,2816701", "0,04126326"
"1244,2", "0,2835801", "0,03875703"
"1244,25", "0,2845588", "0,04032342"
"1244,3", "0,2856479", "0,03797383"
"1244,35", "0,2865477", "0,0398535"
"1244,4", "0,2875263", "0,03875703"
"1244,45", "0,2885997", "0,0406367"
"1244,55", "0,2906203", "0,0378172"
"1244,6", "0,2914884", "0,03938359"
"1244,65", "0,2926881", "0,04001015"
"1244,7", "0,2936983", "0,03938359"
"1244,75", "0,2946455", "0,03860039"
"1244,8", "0,2955768", "0,03828711"
"1244,85", "0,2966817", "0,03907031"
"1244,9", "0,2975973", "0,03734728"
"1245", "0,2998072", "0,03844375"
"1245,05", "0,3007543", "0,03672072"
"1245,1", "0,3015278", "0,03907031"
"1245,15", "0,3025222", "0,0406367"
"1245,2", "0,3035167", "0,03938359"
"1245,3", "0,3054425", "0,04016678"
"1245,35", "0,3065317", "0,03719064"
"1245,4", "0,3075419", "0,03922695"
"1245,45", "0,3085995", "0,03672072"
"1245,5", "0,3095624", "0,03719064"
"1245,55", "0,3105095", "0,03719064"
"1245,6", "0,3115987", "0,03875703"
"1245,7", "0,3136034", "0,03828711"
"1245,75", "0,3150886", "0,02779228"
"1245,8", "0,3155626", "0,03734728"
"1245,85", "0,3166686", "0,03828711"
"1245,9", "0,3176165", "0,03734728"
"1245,95", "0,3187225", "0,03938359"
"1246", "0,3196705", "0,0378172"
"1246,05", "0,3206185", "0,0354676"
"1246,15", "0,3226724", "0,03875703"
"1246,2", "0,3236203", "0,03860039"
"1246,25", "0,3244103", "0,03844375"
"1246,3", "0,3255163", "0,03813047"
"1246,35", "0,3264643", "0,03828711"
"1246,5", "0,3293082", "0,03954023"
"1246,55", "0,3302562", "0,03828711"
"1246,6", "0,3315201", "0,03813047"
"1246,65", "0,3323101", "0,03766055"
"1246,7", "0,3332581", "0,03828711"
"1246,75", "0,3343641", "0,03844375"
"1246,85", "0,33626", "0,03734728"
"1246,9", "0,337366", "0,03891367"
"1246,95", "0,3383139", "0,03907031"
"1247", "0,3394199", "0,03797383"
"1247,05", "0,3403679", "0,03875703"
"1247,1", "0,3413159", "0,03922695"
"1247,2", "0,3430538", "0,03844375"
"1247,25", "0,3440018", "0,03734728"
"1247,3", "0,3451078", "0,03891367"
"1247,35", "0,3460557", "0,0378172"
"1247,4", "0,3473197", "0,03797383"
"1247,45", "0,3482677", "0,03969686"
"1247,5", "0,3493736", "0,03813047"
"1247,6", "0,3512696", "0,03938359"
"1247,65", "0,3523756", "0,03875703"
"1247,7", "0,3534816", "0,037034"
"1247,75", "0,3544295", "0,03609416"
"1247,8", "0,3553775", "0,03828711"
"1247,85", "0,3564835", "0,03797383"
"1247,9", "0,3574314", "0,03656408"
"1248", "0,3593274", "0,03734728"
"1248,05", "0,3602754", "0,03828711"
"1248,1", "0,3613814", "0,03828711"
"1248,15", "0,3624873", "0,03719064"
"1248,2", "0,3634353", "0,037034"
"1248,25", "0,3643833", "0,03797383"
"1248,3", "0,3653312", "0,03969686"
"1248,4", "0,3672272", "0,03797383"
"1248,45", "0,3683331", "0,03860039"
"1248,5", "0,3694391", "0,03719064"
"1248,55", "0,3703871", "0,03797383"
"1248,6", "0,3713351", "0,037034"
"1248,65", "0,372283", "0,0378172"
"1248,75", "0,374337", "0,03672072"
"1248,8", "0,375127", "0,03766055"
"1248,85", "0,3762329", "0,03860039"
"1248,9", "0,3771809", "0,03766055"
"1248,95", "0,3782869", "0,0362508"
"1249", "0,3792349", "0,03844375"
"1249,1", "0,3811308", "0,03640744"
"1249,15", "0,3822368", "0,03766055"
"1249,2", "0,3831847", "0,03672072"
"1249,25", "0,3841327", "0,037034"
"1249,3", "0,3852387", "0,0378172"
"1249,35", "0,3861867", "0,03797383"
"1249,4", "0,3871346", "0,03766055"
"1249,45", "0,3882406", "0,03813047"
"1249,5", "0,3890306", "0,03609416"
"1249,6", "0,3910845", "0,03797383"
"1249,65", "0,3920325", "0,03672072"
"1249,7", "0,3929805", "0,03828711"
"1249,75", "0,3940865", "0,0362508"
"1249,8", "0,3951924", "0,03750391"
"1249,85", "0,3959824", "0,03656408"
"1249,95", "0,3980364", "0,03578088"
"1250", "0,3988263", "0,037034"
"1250,05", "0,3999323", "0,03719064"
"1250,1", "0,4008803", "0,037034"
"1250,15", "0,4019862", "0,03828711"
"1250,2", "0,4029342", "0,03609416"
"1250,3", "0,4048302", "0,03828711"
"1250,35", "0,4059362", "0,03797383"
"1250,4", "0,4067261", "0,03640744"
"1250,45", "0,4078321", "0,03656408"
"1250,5", "0,4087801", "0,0378172"
"1250,55", "0,409886", "0,03734728"
"1250,6", "0,410834", "0,03687736"
"1250,65", "0,41194", "0,03875703"
"1250,75", "0,4139939", "0,03640744"
"1250,8", "0,4149419", "0,03719064"
"1250,85", "0,4160478", "0,03578088"
"1250,9", "0,4169958", "0,03672072"
"1250,95", "0,4179438", "0,03828711"
"1251", "0,4188918", "0,03719064"
"1251,1", "0,4209457", "0,03719064"
"1251,15", "0,4218937", "0,03593753"
"1251,2", "0,4228417", "0,03656408"
"1251,25", "0,4236316", "0,03609416"
"1251,3", "0,4247376", "0,03499769"
"1251,35", "0,4256856", "0,03687736"
"1251,45", "0,4275815", "0,03719064"
"1251,5", "0,4286875", "0,03672072"
"1251,55", "0,4297935", "0,03640744"
"1251,65", "0,4318474", "0,03640744"
"1251,7", "0,4329534", "0,03656408"
"1251,8", "0,4348494", "0,03484105"
"1251,85", "0,4359553", "0,03734728"
"1251,9", "0,4369033", "0,037034"
"1251,95", "0,4378513", "0,03562424"
"1252", "0,4389572", "0,03640744"
"1252,05", "0,4399052", "0,03734728"
"1252,1", "0,4410112", "0,03531097"
"1252,2", "0,4429071", "0,03609416"
