Experiment:, Cathode characterisation
Start date:, st?eda 14. ?ervna 2023
Start time:, 11:34:38 +02:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"661,55", "0,05079659", "-0,4883341"
"661,65", "0,05310122", "-0,2867393"
"661,7", "0,05409568", "-0,2341086"
"661,75", "0,05510593", "-0,1905629"
"661,8", "0,05606882", "-0,1601748"
"661,85", "0,05703172", "-0,134486"
"661,9", "0,05807354", "-0,1062909"
"662", "0,06009403", "-0,06117883"
"662,05", "0,06112007", "-0,04175556"
"662,1", "0,06222503", "-0,01810302"
"662,15", "0,06323528", "-0,002909017"
"662,2", "0,0641666", "0,002729997"
"662,25", "0,06503478", "0,0151045"
"662,35", "0,0670395", "0,03922695"
"662,4", "0,06803396", "0,04799874"
"662,45", "0,06896529", "0,05880686"
"662,5", "0,06997553", "0,06992824"
"662,55", "0,0708595", "0,06945832"
"662,6", "0,07185397", "0,08355586"
"662,65", "0,07281686", "0,09013471"
"662,7", "0,07374819", "0,09514717"
"662,8", "0,07583182", "0,1133173"
"662,85", "0,07687364", "0,1213059"
"662,9", "0,07799438", "0,1281981"
"662,95", "0,07892571", "0,1302344"
"663", "0,07990438", "0,1344636"
"663,05", "0,08093043", "0,13603"
"663,15", "0,08280885", "0,1388495"
"663,2", "0,08404009", "0,1513807"
"663,25", "0,08511348", "0,1510674"
"663,3", "0,08591853", "0,1451151"
"663,35", "0,08686563", "0,1505975"
"663,45", "0,08896507", "0,1609357"
"663,5", "0,08981746", "0,1542002"
"663,55", "0,090733", "0,1573329"
"663,6", "0,09182217", "0,1635985"
"663,65", "0,09287977", "0,1628153"
"663,7", "0,09389003", "0,1639118"
"663,75", "0,09478978", "0,1648516"
"663,8", "0,09589474", "0,1715871"
"663,9", "0,09786788", "0,168611"
"663,95", "0,09886234", "0,1700207"
"664", "0,09990416", "0,1758164"
"664,05", "0,1009776", "0,1753465"
"664,1", "0,1019562", "0,1737801"
"664,15", "0,1028718", "0,1758164"
"664,25", "0,1048449", "0,1787925"
"664,3", "0,1056973", "0,1761297"
"664,35", "0,1068812", "0,1836483"
"664,4", "0,1078757", "0,1784793"
"664,45", "0,1087754", "0,1786359"
"664,5", "0,1098172", "0,1819253"
"664,55", "0,1109222", "0,1809855"
"664,65", "0,1127533", "0,1795757"
"664,7", "0,1138582", "0,1847448"
"664,75", "0,1149474", "0,1828652"
"664,8", "0,1159734", "0,182082"
"664,85", "0,1169048", "0,179889"
"664,9", "0,1178992", "0,1845882"
"664,95", "0,1189568", "0,1833351"
"665", "0,1199197", "0,1817687"
"665,05", "0,12093", "0,1844316"
"665,15", "0,1229505", "0,1841183"
"665,2", "0,1239607", "0,1856847"
"665,25", "0,1249078", "0,1847448"
"665,3", "0,1258865", "0,1859979"
"665,4", "0,1279386", "0,1859979"
"665,45", "0,1290278", "0,1850581"
"665,5", "0,1299275", "0,1850581"
"665,55", "0,130922", "0,1867811"
"665,6", "0,1319638", "0,1866245"
"665,65", "0,1328004", "0,1830218"
"665,75", "0,1346315", "0,1849015"
"665,8", "0,1356891", "0,1874077"
"665,85", "0,1367151", "0,1864679"
