Experiment:, Cathode characterisation
Start date:, st?eda 19. ?ervence 2023
Start time:, 11:48:16 +02:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"1117,55", "0,05144378", "-0,4170632"
"1117,65", "0,05344849", "-0,09908552"
"1117,7", "0,05437981", "-0,06478152"
"1117,75", "0,05539006", "-0,02170573"
"1117,8", "0,05641609", "0,0107186"
"1117,85", "0,05745792", "0,02841884"
"1117,9", "0,05842081", "0,03233482"
"1118", "0,06047288", "0,06632554"
"1118,05", "0,0614042", "0,06475915"
"1118,1", "0,06239866", "0,09107454"
"1118,15", "0,06345627", "0,09812331"
"1118,2", "0,06446651", "0,1031358"
"1118,25", "0,06536627", "0,09796667"
"1118,3", "0,06636073", "0,1233422"
"1118,4", "0,06842859", "0,1407292"
"1118,45", "0,06948619", "0,1463682"
"1118,5", "0,07041752", "0,1404159"
"1118,55", "0,07142776", "0,1532603"
"1118,6", "0,07235909", "0,1529471"
"1118,65", "0,07321148", "0,1498143"
"1118,7", "0,07417438", "0,1654782"
"1118,8", "0,07635273", "0,1919502"
"1118,85", "0,07733142", "0,1765996"
"1118,9", "0,07834166", "0,1875643"
"1118,95", "0,07935191", "0,1850581"
"1119", "0,08039373", "0,1916369"
"1119,05", "0,0813724", "0,1906971"
"1119,15", "0,08337712", "0,1991556"
"1119,2", "0,0843558", "0,1958662"
"1119,25", "0,08523976", "0,1991556"
"1119,3", "0,08640786", "0,2137231"
"1119,35", "0,0874339", "0,2134098"
"1119,4", "0,08834944", "0,2082407"
"1119,5", "0,09057514", "0,2204586"
"1119,55", "0,09160118", "0,218109"
"1119,6", "0,09256408", "0,2221816"
"1119,65", "0,09346382", "0,2156028"
"1119,7", "0,09447408", "0,2265675"
"1119,75", "0,09534226", "0,2171692"
"1119,8", "0,09630515", "0,2300136"
"1119,9", "0,09835722", "0,2329897"
"1119,95", "0,09927276", "0,2243746"
"1120", "0,1003777", "0,2411349"
"1120,05", "0,1014511", "0,2359659"
"1120,1", "0,1024456", "0,2353393"
"1120,15", "0,1034085", "0,2359659"
"1120,2", "0,1043398", "0,2422314"
"1120,25", "0,1055079", "0,2442677"
"1120,35", "0,1076389", "0,2458341"
"1120,4", "0,1086176", "0,2414483"
"1120,45", "0,1095015", "0,2380022"
"1120,5", "0,1103066", "0,2459908"
"1120,55", "0,11138", "0,2459908"
"1120,65", "0,1134005", "0,2527263"
"1120,7", "0,1145054", "0,255859"
"1120,75", "0,1155946", "0,2514732"
"1120,8", "0,1165259", "0,2481837"
"1120,85", "0,117473", "0,2533528"
"1120,9", "0,1185622", "0,2611848"
"1120,95", "0,1195882", "0,2547626"
"1121,05", "0,1215456", "0,2640043"
"1121,1", "0,122619", "0,2546059"
"1121,15", "0,1235661", "0,2614981"
"1121,2", "0,1246237", "0,2632211"
"1121,25", "0,1256813", "0,2630645"
"1121,3", "0,1267862", "0,2627512"
"1121,35", "0,1277649", "0,2669804"
"1121,4", "0,1286489", "0,259775"
"1121,5", "0,1305116", "0,2627512"
"1121,55", "0,1314587", "0,2671371"
"1121,6", "0,1323268", "0,2646309"
"1121,65", "0,1333529", "0,2735593"
"1121,7", "0,1344736", "0,26933"
"1121,75", "0,1354365", "0,2743425"
"1121,85", "0,1373939", "0,2748124"
"1121,9", "0,1384199", "0,2707398"
