Experiment:, Cathode characterisation
Start date:, ?tvrtek 27. ?ervence 2023
Start time:, 10:42:43 +02:00
"Time (s)", "Current Density (A/cm2)"
"901", "0,09102446"
"902", "0,08120627"
"903", "0,07885668"
"904", "0,07697701"
"905", "0,07541062"
"906", "0,07478406"
"907", "0,07462742"
"908", "0,0741575"
"909", "0,0741575"
"910", "0,0741575"
"911", "0,07384422"
"912", "0,07400087"
"913", "0,07384422"
"914", "0,07306103"
"915", "0,07384422"
"916", "0,07384422"
"917", "0,07306103"
"918", "0,07337431"
"919", "0,07431415"
"920", "0,07400087"
"921", "0,07353094"
"922", "0,07384422"
"923", "0,0741575"
"924", "0,07431415"
"925", "0,07447078"
"926", "0,07368759"
"927", "0,07368759"
"928", "0,07290439"
"929", "0,07274775"
"930", "0,07290439"
"931", "0,07321767"
"932", "0,07337431"
"933", "0,07274775"
"934", "0,07259111"
"935", "0,07290439"
"936", "0,07368759"
"937", "0,07368759"
"938", "0,07431415"
"939", "0,07462742"
"940", "0,0749407"
"941", "0,07572389"
"942", "0,07572389"
"943", "0,07588054"
"944", "0,07650709"
"945", "0,07603717"
"946", "0,07635045"
"947", "0,07650709"
"948", "0,07635045"
"949", "0,07635045"
"950", "0,07666373"
"951", "0,07713365"
"952", "0,07713365"
"953", "0,07744693"
"954", "0,0777602"
"955", "0,07870004"
"956", "0,07870004"
"957", "0,07916996"
"958", "0,08042307"
"959", "0,08214611"
"960", "0,08402578"
"961", "0,08480898"
"962", "0,08527889"
"963", "0,08496562"
"964", "0,08512225"
"965", "0,08590545"
"966", "0,08590545"
"967", "0,08637536"
"968", "0,08606208"
"969", "0,08715856"
"970", "0,08762848"
"971", "0,08825504"
"972", "0,08872496"
"973", "0,08825504"
"974", "0,08856832"
"975", "0,08919487"
"976", "0,08966479"
"977", "0,09029134"
"978", "0,09138783"
"979", "0,0932675"
"980", "0,09499053"
"981", "0,0968702"
"982", "0,0968702"
"983", "0,09796667"
"984", "0,09796667"
"985", "0,09890651"
"986", "0,09921978"
"987", "0,09921978"
"988", "0,09921978"
"989", "0,09937642"
"990", "0,09874986"
"991", "0,09968971"
"992", "0,09953307"
"993", "0,09937642"
"994", "0,1003163"
"995", "0,1003163"
"996", "0,1003163"
"997", "0,1001596"
"998", "0,1006295"
"999", "0,1025092"
"1000", "0,1032924"
"1001", "0,1053287"
"1002", "0,1048588"
"1003", "0,1048588"
"1004", "0,1053287"
"1005", "0,1050154"
"1006", "0,1047022"
"1007", "0,1047022"
"1008", "0,1050154"
"1009", "0,1048588"
"1010", "0,1050154"
"1011", "0,1050154"
"1012", "0,1047022"
"1013", "0,1045455"
"1014", "0,1037623"
"1015", "0,103449"
"1016", "0,1026659"
"1017", "0,1020393"
"1018", "0,1031358"
"1019", "0,1036057"
"1020", "0,1042322"
