Experiment:, Cathode characterisation
Start date:, ?tvrtek 12. ??jna 2023
Start time:, 14:34:25 +02:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"1053,55", "0,0505756", "-0,6332254"
"1053,65", "0,0526908", "-0,3150911"
"1053,7", "0,05351163", "-0,2729551"
"1053,75", "0,05458502", "-0,195732"
"1053,8", "0,05548478", "-0,1711396"
"1053,85", "0,05655816", "-0,1307267"
"1053,9", "0,05763155", "-0,1050378"
"1054", "0,05957313", "-0,07997555"
"1054,05", "0,06053602", "-0,07120374"
"1054,1", "0,0615147", "-0,05741948"
"1054,15", "0,06254073", "-0,03564662"
"1054,2", "0,06359833", "-0,01622335"
"1054,25", "0,06446651", "-0,0271881"
"1054,35", "0,06655016", "0,009935404"
"1054,4", "0,06752884", "0,01197171"
"1054,45", "0,06847595", "0,01698417"
"1054,5", "0,06943884", "0,01714081"
"1054,55", "0,07041752", "0,03139498"
"1054,6", "0,07150669", "0,04690227"
"1054,65", "0,0724538", "0,03875703"
"1054,75", "0,07425331", "0,03891367"
"1054,8", "0,07520042", "0,05551743"
"1054,85", "0,07641587", "0,07823012"
"1054,9", "0,0774577", "0,06820521"
"1054,95", "0,07838901", "0,06475915"
"1055", "0,0794624", "0,07823012"
"1055,1", "0,08151447", "0,08120627"
"1055,15", "0,08252472", "0,07838677"
"1055,2", "0,08362968", "0,0873152"
"1055,25", "0,08454522", "0,07541062"
"1055,3", "0,08553968", "0,08512225"
"1055,35", "0,08656572", "0,09091791"
"1055,4", "0,08748125", "0,08794177"
"1055,5", "0,08962803", "0,1054853"
"1055,55", "0,09059093", "0,09201438"
"1055,6", "0,09161696", "0,1009428"
"1055,65", "0,0924378", "0,08856832"
"1055,7", "0,0933849", "0,09781004"
"1055,75", "0,09447408", "0,1084615"
"1055,8", "0,09545276", "0,105642"
"1055,85", "0,09658929", "0,1166067"
"1055,95", "0,09854664", "0,103449"
"1056", "0,09954111", "0,113004"
"1056,05", "0,1005514", "0,1119076"
"1056,1", "0,101609", "0,1117509"
"1056,15", "0,1025403", "0,1125341"
"1056,2", "0,103519", "0,1081482"
"1056,3", "0,1054763", "0,1131607"
"1056,35", "0,1065024", "0,1155103"
"1056,4", "0,1074179", "0,1139439"
"1056,45", "0,1083492", "0,1076783"
"1056,5", "0,1093437", "0,1184864"
"1056,6", "0,11138", "0,1172333"
"1056,65", "0,1124691", "0,1231856"
"1056,7", "0,1134952", "0,1249086"
"1056,75", "0,114537", "0,1178599"
"1056,8", "0,1156262", "0,1213059"
"1056,85", "0,1165417", "0,113004"
"1056,9", "0,117473", "0,1192696"
"1056,95", "0,1184359", "0,1186431"
"1057", "0,1193988", "0,1153536"
"1057,05", "0,1204564", "0,126475"
"1057,15", "0,1224453", "0,1281981"
"1057,2", "0,1234398", "0,1241254"
"1057,25", "0,1244816", "0,1258485"
"1057,3", "0,1255708", "0,1209926"
"1057,4", "0,1275597", "0,1267883"
"1057,45", "0,1284911", "0,1177032"
"1057,5", "0,129596", "0,1271016"
"1057,55", "0,1304958", "0,1183298"
"1057,6", "0,1314429", "0,1172333"
"1057,65", "0,13239", "0,1234989"
"1057,7", "0,133416", "0,1245953"
"1057,8", "0,1354365", "0,1205227"
"1057,85", "0,1363678", "0,1178599"
"1057,9", "0,1372834", "0,1192696"
"1057,95", "0,1384515", "0,1275715"
"1058", "0,1394302", "0,1197395"
"1058,05", "0,1404404", "0,1255352"
"1058,1", "0,1414033", "0,1194263"
"1058,15", "0,142382", "0,1172333"
"1058,25", "0,1443393", "0,1239688"
"1058,3", "0,1453969", "0,1161368"
"1058,35", "0,1462651", "0,1150403"
"1058,4", "0,1473069", "0,1187997"
"1058,45", "0,1484277", "0,1241254"
"1058,5", "0,1495642", "0,1285113"
"1058,6", "0,1516321", "0,1178599"
"1058,65", "0,1525792", "0,1189563"
"1058,7", "0,1535579", "0,1202094"
"1058,75", "0,1545839", "0,1195829"
"1058,8", "0,1554521", "0,1098713"
"1058,9", "0,1575357", "0,1202094"
"1058,95", "0,158688", "0,1261617"
"1059", "0,1596193", "0,1123775"
"1059,05", "0,1604875", "0,1109677"
"1059,1", "0,1614662", "0,1175466"
"1059,15", "0,162508", "0,1150403"
"1059,2", "0,163392", "0,1136306"
"1059,25", "0,164418", "0,1177032"
"1059,3", "0,1653651", "0,1086181"
"1059,35", "0,1663596", "0,1245953"
"1059,45", "0,168538", "0,1186431"
"1059,5", "0,1694535", "0,1109677"
"1059,55", "0,1703532", "0,1123775"
"1059,6", "0,171474", "0,1177032"
"1059,65", "0,1725", "0,1186431"
"1059,75", "0,1745679", "0,1100279"
"1059,8", "0,175515", "0,1090881"
"1059,85", "0,176399", "0,1114376"
"1059,9", "0,1773618", "0,111281"
"1059,95", "0,1783247", "0,115197"
"1060,05", "0,180582", "0,1219325"
"1060,1", "0,1815765", "0,1120642"
"1060,15", "0,1825709", "0,1126908"
"1060,2", "0,1834865", "0,1098713"
"1060,25", "0,184402", "0,1126908"
"1060,3", "0,1854123", "0,1156669"
"1060,35", "0,1863752", "0,1162935"
"1060,4", "0,1874486", "0,1156669"
"1060,45", "0,1884114", "0,1097146"
"1060,55", "0,1905582", "0,1205227"
"1060,6", "0,1916316", "0,1136306"
"1060,65", "0,1926261", "0,1117509"
"1060,7", "0,1936679", "0,1159802"
"1060,75", "0,1945834", "0,1098713"
"1060,8", "0,1955779", "0,113474"
"1060,85", "0,1965408", "0,1120642"
"1060,95", "0,1984982", "0,113004"
"1061", "0,1994453", "0,1125341"
"1061,05", "0,2006291", "0,1162935"
"1061,1", "0,2017657", "0,1166067"
"1061,15", "0,2025707", "0,1037623"
"1061,2", "0,2035968", "0,115197"
"1061,3", "0,2056488", "0,1100279"
"1061,35", "0,2067222", "0,1092447"
"1061,4", "0,2075588", "0,107365"
"1061,45", "0,2086322", "0,1106544"
"1061,5", "0,2096109", "0,1098713"
"1061,55", "0,2104949", "0,1026659"
"1061,6", "0,2114893", "0,111281"
"1061,7", "0,2137466", "0,1186431"
"1061,75", "0,2147568", "0,1090881"
"1061,8", "0,2156882", "0,1097146"
"1061,85", "0,2167458", "0,1137872"
"1061,9", "0,2176613", "0,1061119"
"1062", "0,2195082", "0,1057986"
"1062,05", "0,2206763", "0,1117509"
"1062,1", "0,2217023", "0,1100279"
"1062,15", "0,222681", "0,1048588"
"1062,2", "0,2236281", "0,1079916"
"1062,25", "0,2246068", "0,1020393"
"1062,3", "0,2255381", "0,1053287"
"1062,4", "0,2274797", "0,1040756"
"1062,45", "0,2285373", "0,1061119"
"1062,5", "0,2294686", "0,1028225"
"1062,55", "0,2305104", "0,1050154"
"1062,6", "0,2315364", "0,1054853"
"1062,65", "0,2324678", "0,1006295"
"1062,7", "0,2335254", "0,1081482"
"1062,75", "0,2344567", "0,100003"
"1062,85", "0,2364299", "0,1023526"
"1062,9", "0,237519", "0,101726"
"1062,95", "0,2384819", "0,1004729"
"1063", "0,2395395", "0,1043889"
"1063,05", "0,2406129", "0,09937642"
"1063,15", "0,2426018", "0,09577372"
"1063,2", "0,2437542", "0,1031358"
"1063,25", "0,2447486", "0,09624365"
"1063,3", "0,2456799", "0,09499053"
"1063,35", "0,2466744", "0,09734011"
"1063,4", "0,2477636", "0,09921978"
"1063,45", "0,248837", "0,09906314"
"1063,5", "0,2497999", "0,09185775"
"1063,6", "0,2518046", "0,09843659"
"1063,65", "0,2528622", "0,09217101"
"1063,7", "0,2538409", "0,09217101"
"1063,75", "0,2547722", "0,09185775"
"1063,8", "0,2557667", "0,09514717"
"1063,85", "0,256698", "0,09232766"
"1063,9", "0,257724", "0,09389405"
"1063,95", "0,2587343", "0,09123117"
"1064,05", "0,260739", "0,08919487"
"1064,1", "0,2616703", "0,09076127"
"1064,15", "0,2626174", "0,09185775"
"1064,2", "0,2636908", "0,09091791"
"1064,3", "0,2655534", "0,09013471"
"1064,35", "0,2665953", "0,09483389"
"1064,4", "0,2676529", "0,08762848"
"1064,45", "0,2685211", "0,08778512"
"1064,5", "0,2694997", "0,09264094"
"1064,55", "0,27051", "0,08982144"
"1064,6", "0,2715044", "0,08809839"
"1064,65", "0,272562", "0,09013471"
"1064,75", "0,2746141", "0,08950816"
"1064,8", "0,275577", "0,08590545"
"1064,85", "0,2765399", "0,08825504"
"1064,9", "0,277487", "0,08747184"
"1064,95", "0,2785604", "0,09029134"
"1065", "0,2796022", "0,08997807"
"1065,05", "0,2806756", "0,08966479"
"1065,15", "0,2827592", "0,08715856"
"1065,2", "0,2837853", "0,08715856"
"1065,25", "0,2847324", "0,08480898"
"1065,3", "0,28579", "0,0888816"
"1065,35", "0,2867055", "0,08606208"
"1065,4", "0,2877947", "0,08794177"
"1065,5", "0,2898152", "0,08355586"
"1065,55", "0,2906834", "0,08747184"
"1065,6", "0,2917568", "0,0873152"
"1065,65", "0,2926407", "0,08559217"
"1065,7", "0,2936826", "0,08762848"
"1065,75", "0,2945823", "0,08230274"
"1065,8", "0,2955136", "0,08747184"
"1065,85", "0,2964765", "0,08794177"
"1065,95", "0,2985917", "0,08668865"
"1066", "0,2995862", "0,086532"
"1066,05", "0,3006438", "0,08449569"
"1066,1", "0,3015751", "0,08590545"
"1066,15", "0,3025222", "0,08574881"
"1066,2", "0,3035483", "0,08355586"
"1066,25", "0,3044796", "0,08762848"
"1066,35", "0,3064212", "0,08418241"
"1066,4", "0,3075735", "0,08684529"
"1066,45", "0,3086153", "0,08559217"
"1066,5", "0,3096887", "0,08543553"
"1066,55", "0,3107937", "0,08559217"
"1066,6", "0,3116776", "0,08355586"
"1066,7", "0,3136666", "0,08590545"
"1066,75", "0,3150886", "0,08574881"
"1066,8", "0,3155626", "0,08292931"
"1066,85", "0,3166686", "0,08606208"
"1066,9", "0,3176165", "0,08574881"
"1066,95", "0,3185645", "0,08230274"
"1067,05", "0,3206185", "0,08512225"
"1067,1", "0,3215664", "0,08402578"
"1067,15", "0,3226724", "0,08559217"
"1067,2", "0,3237784", "0,08668865"
"1067,25", "0,3245684", "0,08198947"
"1067,3", "0,3255163", "0,08386914"
"1067,35", "0,3266223", "0,08559217"
"1067,45", "0,3286762", "0,08386914"
"1067,5", "0,3296242", "0,0837125"
"1067,55", "0,3304142", "0,08261602"
"1067,6", "0,3313622", "0,08418241"
"1067,65", "0,3324681", "0,08449569"
"1067,7", "0,3334161", "0,08120627"
"1067,75", "0,3345221", "0,08433905"
"1067,85", "0,336576", "0,08198947"
"1067,9", "0,337366", "0,08261602"
"1067,95", "0,3383139", "0,08418241"
"1068", "0,3395779", "0,08292931"
"1068,05", "0,3405259", "0,08496562"
"1068,1", "0,3414739", "0,08292931"
"1068,15", "0,3425798", "0,08198947"
"1068,2", "0,3433698", "0,08386914"
"1068,3", "0,3452658", "0,08261602"
"1068,35", "0,3462137", "0,08292931"
"1068,4", "0,3471617", "0,08261602"
"1068,45", "0,3482677", "0,08339922"
"1068,55", "0,3503217", "0,08465233"
"1068,6", "0,3512696", "0,0837125"
"1068,65", "0,3523756", "0,08292931"
"1068,7", "0,3534816", "0,08089299"
"1068,75", "0,3542715", "0,07995315"
"1068,8", "0,3552195", "0,08151954"
"1068,85", "0,3563255", "0,08292931"
"1068,9", "0,3572734", "0,08230274"
"1069", "0,3593274", "0,08198947"
"1069,05", "0,3602754", "0,08151954"
"1069,1", "0,3613814", "0,08198947"
"1069,15", "0,3623293", "0,08465233"
"1069,2", "0,3635933", "0,08496562"
"1069,25", "0,3643833", "0,08386914"
"1069,3", "0,3653312", "0,08402578"
"1069,35", "0,3662792", "0,08230274"
"1069,45", "0,3681751", "0,08418241"
"1069,5", "0,3691231", "0,08606208"
"1069,55", "0,3702291", "0,08449569"
"1069,6", "0,3713351", "0,0873152"
"1069,7", "0,373073", "0,08590545"
"1069,75", "0,374337", "0,08308594"
"1069,8", "0,375285", "0,08449569"
"1069,85", "0,3763909", "0,08433905"
"1069,9", "0,3773389", "0,08621872"
"1069,95", "0,3782869", "0,08574881"
"1070,05", "0,3801828", "0,08230274"
"1070,1", "0,3812888", "0,08496562"
"1070,15", "0,3823948", "0,08433905"
"1070,2", "0,3833427", "0,08245938"
"1070,25", "0,3842907", "0,0837125"
"1070,3", "0,3853967", "0,08543553"
"1070,35", "0,3863447", "0,08715856"
"1070,4", "0,3872926", "0,08386914"
"1070,45", "0,3882406", "0,08339922"
"1070,5", "0,3891886", "0,08590545"
"1070,6", "0,3910845", "0,08621872"
"1070,65", "0,3921905", "0,08668865"
"1070,7", "0,3931385", "0,086532"
"1070,75", "0,3940865", "0,08465233"
"1070,8", "0,3950344", "0,08621872"
"1070,9", "0,3970883", "0,08308594"
"1070,95", "0,3980364", "0,08621872"
"1071", "0,3991423", "0,08762848"
"1071,05", "0,4000903", "0,08762848"
"1071,1", "0,4010383", "0,08402578"
"1071,2", "0,4029342", "0,08778512"
"1071,25", "0,4038822", "0,08496562"
"1071,3", "0,4046721", "0,08559217"
"1071,35", "0,4056201", "0,08496562"
"1071,4", "0,4067261", "0,0873152"
"1071,45", "0,4076741", "0,08606208"
"1071,5", "0,4089381", "0,08324257"
"1071,55", "0,409728", "0,0873152"
"1071,65", "0,41194", "0,08621872"
"1071,7", "0,4128879", "0,08512225"
"1071,75", "0,4138359", "0,08715856"
"1071,8", "0,4149419", "0,08590545"
"1071,85", "0,4158899", "0,0873152"
"1071,9", "0,4169958", "0,08590545"
"1072", "0,4188918", "0,08700192"
"1072,05", "0,4199978", "0,08903823"
"1072,1", "0,4209457", "0,08856832"
"1072,15", "0,4220517", "0,08621872"
"1072,2", "0,4228417", "0,08637536"
"1072,25", "0,4237897", "0,08747184"
"1072,3", "0,4248956", "0,0888816"
"1072,35", "0,4258436", "0,08794177"
"1072,45", "0,4277395", "0,08778512"
"1072,5", "0,4286875", "0,08794177"
"1072,55", "0,4297935", "0,09044799"
"1072,6", "0,4308994", "0,0873152"
"1072,65", "0,4316894", "0,08825504"
"1072,7", "0,4327954", "0,09029134"
"1072,75", "0,4339013", "0,09044799"
"1072,8", "0,4350073", "0,08762848"
"1072,9", "0,4369033", "0,08762848"
"1072,95", "0,4380093", "0,08794177"
"1073", "0,4389572", "0,09123117"
"1073,05", "0,4399052", "0,08809839"
"1073,1", "0,4410112", "0,09107454"
"1073,2", "0,4429071", "0,08982144"
"1073,25", "0,4440131", "0,09185775"
"1073,3", "0,444961", "0,08982144"
"1073,35", "0,4459091", "0,08919487"
"1073,4", "0,446857", "0,09107454"
"1073,45", "0,447963", "0,08825504"
"1073,55", "0,4498589", "0,09123117"
"1073,6", "0,4509649", "0,08997807"
"1073,65", "0,4519129", "0,08935151"
"1073,7", "0,4530188", "0,09060463"
